word;Nb_char (C_w);Freq (F_w);Nb_scan_block (S_w_b);Nb_scan_key (S_w_k);Nb_scan (S_w);Nb_act_block;Nb_act_key;Nb_act;S_w_b x F_w;S_w_k x F_w;S_w x F_w;C_w x F_w
bonjour ;8;142;7;12;19;4;4;8;994;1704;2698;1136
bonsoir ;8;150;12;19;31;6;6;12;1800;2850;4650;1200
banane ;7;54;20;18;38;7;7;14;1080;972;2052;378
tout ;5;32;7;5;12;3;3;6;224;160;384;160
le ;3;1548;2;3;5;2;2;4;3096;4644;7740;4644
