word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
etats;5;3856;20;8;77120;19280;;
celui;5;3828;18;8;68904;19140;;
selon;5;3821;13;4;49673;19105;;
cas;3;3800;13;6;49400;11400;;
ci;2;3762;8;4;30096;7524;;
pouvoir;7;3692;26;10;95992;25844;;
famille;7;3687;16;8;58992;25809;;
forme;5;3674;24;10;88176;18370;;
lors;4;3644;12;4;43728;14576;;
fils;4;3609;14;6;50526;14436;;
va;2;3583;14;4;50162;7166;;
empire;6;3559;20;10;71180;21354;;
place;5;3539;14;8;49546;17695;;
nombre;6;3534;22;6;77748;21204;;
partir;6;3507;25;12;87675;21042;;
francaise;9;3506;30;18;105180;31554;;
hui;3;3495;18;6;62910;10485;;
aujourd;7;3487;28;14;97636;24409;;
permet;6;3471;21;10;72891;20826;;
histoire;8;3413;21;6;71673;27304;;
toutes;6;3380;26;8;87880;20280;;
notamment;9;3369;24;8;80856;30321;;
mer;3;3366;12;6;40392;10098;;
royaume;7;3360;30;8;100800;23520;;
jours;5;3343;24;10;80232;16715;;
grace;5;3343;14;4;46802;16715;;
habitants;9;3290;29;12;95410;29610;;
cours;5;3260;18;8;58680;16300;;
jour;4;3258;21;8;68418;13032;;
me;2;3237;7;4;22659;6474;;
homme;5;3232;22;6;71104;16160;;
armee;5;3220;19;8;61180;16100;;
toujours;8;3200;27;8;86400;25600;;
petit;5;3191;16;6;51056;15955;;
region;6;3179;29;12;92191;19074;;
unis;4;3165;15;8;47475;12660;;
celle;5;3159;20;10;63180;15795;;
discussion;10;3156;23;12;72588;31560;;
pres;4;3147;14;6;44058;12588;;
h;1;3115;10;2;31150;3115;;
sera;4;3114;20;8;62280;12456;;
politique;9;3111;22;10;68442;27999;;
km;2;3101;17;4;52717;6202;;
surtout;7;3087;21;6;64827;21609;;
ne;2;3058;13;4;39754;6116;;
epoque;6;3047;34;12;103598;18282;;
effet;5;3043;16;6;48688;15215;;
gouvernement;12;3037;27;8;81999;36444;;
animaux;7;3033;19;8;57627;21231;;
debut;5;3019;21;10;63399;15095;;
cependant;9;3018;14;6;42252;27162;;
ouest;5;2997;20;8;59940;14985;;
mars;4;2986;16;8;47776;11944;;
age;3;2958;14;6;41412;8874;;
louis;5;2947;14;6;41258;14735;;
mai;3;2914;11;6;32054;8742;;
toute;5;2905;30;10;87150;14525;;
afin;4;2886;18;6;51948;11544;;
population;10;2880;23;8;66240;28800;;
compte;6;2868;22;10;63096;17208;;
pere;4;2868;18;8;51624;11472;;
te;2;2851;12;4;34212;5702;;
juin;4;2850;22;8;62700;11400;;
hommes;6;2849;24;8;68376;17094;;
eux;3;2837;17;6;48229;8511;;
president;9;2820;28;18;78960;25380;;
voir;4;2805;25;8;70125;11220;;
mois;4;2804;17;8;47668;11216;;
suite;5;2791;23;6;64193;13955;;
nombreuses;10;2788;25;8;69700;27880;;
nouveau;7;2785;24;8;66840;19495;;
corps;5;2756;22;8;60632;13780;;
parfois;7;2751;21;10;57771;19257;;
octobre;7;2732;23;8;62836;19124;;
ile;3;2730;13;6;35490;8190;;
cest;4;2727;15;8;40905;10908;;
ceux;4;2718;20;8;54360;10872;;
millions;8;2717;23;10;62491;21736;;
groupe;6;2712;25;8;67800;16272;;
republique;10;2712;42;20;113904;27120;;
pourquoi;8;2711;12;4;32532;21688;;
certaines;9;2701;18;8;48618;24309;;
dit;3;2699;10;6;26990;8097;;
janvier;7;2682;23;8;61686;18774;;
reste;5;2673;19;4;50787;13365;;
septembre;9;2648;24;8;63552;23832;;
nouvelle;8;2641;23;8;60743;21128;;
grands;6;2632;24;12;63168;15792;;
des;3;2626;10;4;26260;7878;;
trop;4;2618;20;6;52360;10472;;
ensuite;7;2614;15;6;39210;18298;;
personne;8;2608;15;6;39120;20864;;
chez;4;2602;13;6;33826;10408;;
quatre;6;2587;21;8;54327;15522;;
origine;7;2580;28;10;72240;18060;;
la;2;2559;9;4;23031;5118;;
r;1;2550;10;2;25500;2550;;
allemagne;9;2546;25;12;63650;22914;;
empereur;8;2519;18;10;45342;20152;;
article;7;2515;17;6;42755;17605;;
appelle;7;2496;22;6;54912;17472;;
general;7;2495;23;8;57385;17465;;
eu;2;2492;10;4;24920;4984;;
b;1;2477;6;2;14862;2477;;
font;4;2476;19;8;47044;9904;;
jeu;3;2464;14;6;34496;7392;;
juillet;7;2463;21;8;51723;17241;;
avril;5;2456;23;8;56488;12280;;
deja;4;2443;17;8;41531;9772;;
ca;2;2400;7;4;16800;4800;;
suis;4;2398;22;8;52756;9592;;
capitale;8;2393;20;8;47860;19144;;
centre;6;2340;15;8;35100;14040;;
petits;6;2331;24;10;55944;13986;;
veut;4;2329;26;8;60554;9316;;
tard;4;2312;25;8;57800;9248;;
anglais;7;2305;22;8;50710;16135;;
site;4;2292;17;8;38964;9168;;
tour;4;2290;23;8;52670;9160;;
ii;2;2284;16;4;36544;4568;;
droit;5;2280;15;6;34200;11400;;
etant;5;2271;20;10;45420;11355;;
dernier;7;2256;17;8;38352;15792;;
ensemble;8;2216;17;8;37672;17728;;
especes;7;2215;28;14;62020;15505;;
decembre;8;2210;25;16;55250;17680;;
novembre;8;2205;28;8;61740;17640;;
seul;4;2202;18;6;39636;8808;;
fevrier;7;2200;33;14;72600;15400;;
point;5;2188;19;8;41572;10940;;
langue;6;2188;17;10;37196;13128;;
aout;4;2187;24;6;52488;8748;;
italie;6;2185;21;8;45885;13110;;
jean;4;2183;16;6;34928;8732;;
notre;5;2171;20;6;43420;10855;;
travail;7;2169;30;12;65070;15183;;
grandes;7;2166;28;14;60648;15162;;
merci;5;2152;11;4;23672;10760;;
assez;5;2145;18;6;38610;10725;;
or;2;2133;13;4;27729;4266;;
ecole;5;2132;21;10;44772;10660;;
systeme;7;2124;26;6;55224;14868;;
serie;5;2116;27;10;57132;10580;;
long;4;2098;18;8;37764;8392;;
moyen;5;2080;21;8;43680;10400;;
parti;5;2070;21;10;43470;10350;;
mere;4;2070;18;8;37260;8280;;
ier;3;2068;13;6;26884;6204;;
periode;7;2062;26;14;53612;14434;;
durant;6;2057;12;6;24684;12342;;
agit;4;2050;23;8;47150;8200;;
differentes;11;2044;14;8;28616;22484;;
ayant;5;2034;20;6;40680;10170;;
jeux;4;2020;22;8;44440;8080;;
bonjour;7;2017;13;4;26221;14119;;
afrique;7;2003;25;10;50075;14021;;
chef;4;1984;15;8;29760;7936;;
autour;6;1982;22;8;43604;11892;;
differents;10;1973;13;8;25649;19730;;
generalement;12;1972;46;24;90712;23664;;
x;1;1968;15;2;29520;1968;;
page;4;1967;14;8;27538;7868;;
charles;7;1966;14;6;27524;13762;;
plupart;7;1963;22;10;43186;13741;;
doivent;7;1962;18;8;35316;13734;;
jeune;5;1960;18;6;35280;9800;;
tete;4;1958;25;8;48950;7832;;
mondiale;8;1955;20;10;39100;15640;;
villes;6;1953;29;12;56637;11718;;
rome;4;1953;20;6;39060;7812;;
mot;3;1952;15;6;29280;5856;;
part;4;1952;14;8;27328;7808;;
seconde;7;1952;20;8;39040;13664;;
petite;6;1943;21;8;40803;11658;;
metres;6;1935;27;12;52245;11610;;
dieu;4;1929;12;6;23148;7716;;
femmes;6;1924;17;8;32708;11544;;
face;4;1923;12;4;23076;7692;;
belgique;8;1890;22;10;41580;15120;;
cause;5;1889;20;8;37780;9445;;
musique;7;1888;17;6;32096;13216;;
situee;6;1886;18;6;33948;11316;;
jeunes;6;1876;23;8;43148;11256;;
ur;2;1868;9;4;16812;3736;;
haut;4;1865;23;8;42895;7460;;
appele;6;1865;25;12;46625;11190;;
aide;4;1865;20;8;37300;7460;;
donne;5;1856;21;10;38976;9280;;
pierre;6;1848;13;6;24024;11088;;
av;2;1848;13;4;24024;3696;;
ancien;6;1846;15;8;27690;11076;;
moment;6;1846;19;8;35074;11076;;
equipe;6;1831;32;12;58592;10986;;
ailleurs;8;1828;17;6;31076;14624;;
russie;6;1827;34;10;62118;10962;;
important;9;1822;24;8;43728;16398;;
soleil;6;1816;24;8;43584;10896;;
regions;7;1815;33;14;59895;12705;;
utilise;7;1811;12;4;21732;12677;;
avaient;7;1802;24;8;43248;12614;;
deuxieme;8;1801;15;8;27015;14408;;
connu;5;1801;21;10;37821;9005;;
jamais;6;1789;16;6;28624;10734;;
parmi;5;1784;13;6;23192;8920;;
mon;3;1783;12;4;21396;5349;;
lorsque;7;1780;13;6;23140;12460;;
ordre;5;1778;21;6;37338;8890;;
passe;5;1778;17;8;30226;8890;;
etc;3;1773;16;6;28368;5319;;
comment;7;1762;14;6;24668;12334;;
espagne;7;1757;24;12;42168;12299;;
fille;5;1751;18;8;31518;8755;;
film;4;1741;16;8;27856;6964;;
bois;4;1738;22;8;38236;6952;;
possible;8;1735;21;8;36435;13880;;
particulier;11;1721;31;16;53351;18931;;
an;2;1718;8;4;13744;3436;;
ecrit;5;1706;19;10;32414;8530;;
angleterre;10;1703;23;10;39169;17030;;
vient;5;1702;23;8;39146;8510;;
donne;5;1702;21;10;35742;8510;;
premiers;8;1700;22;10;37400;13600;;
niveau;6;1697;23;8;39031;10182;;
articles;8;1696;23;10;39008;13568;;
but;3;1691;16;6;27056;5073;;
bas;3;1688;14;6;23632;5064;;
territoire;10;1682;27;10;45414;16820;;
mettre;6;1681;26;10;43706;10086;;
lorsqu;6;1672;23;12;38456;10032;;
prend;5;1669;16;10;26704;8345;;
vit;3;1667;19;6;31673;5001;;
amerique;8;1666;34;16;56644;13328;;
titre;5;1663;26;8;43238;8315;;
membres;7;1656;17;8;28152;11592;;
prix;4;1650;17;8;28050;6600;;
hiver;5;1647;26;8;42822;8235;;
demande;7;1646;14;8;23044;11522;;
contr;5;1644;19;10;31236;8220;;
femme;5;1644;16;8;26304;8220;;
commence;8;1642;22;10;36124;13136;;
cree;4;1640;16;6;26240;6560;;
eglise;6;1639;18;6;29502;9834;;
seulement;9;1635;24;8;39240;14715;;
vont;4;1633;26;8;42458;6532;;
te;2;1632;12;4;19584;3264;;
parce;5;1623;14;6;22722;8115;;
revolution;10;1603;36;12;57708;16030;;
bon;3;1598;12;4;19176;4794;;
parents;7;1592;23;10;36616;11144;;
lumiere;7;1590;18;8;28620;11130;;
porte;5;1589;20;8;31780;7945;;
question;8;1576;21;10;33096;12608;;
aurait;6;1573;23;8;36179;9438;;
cinq;4;1571;13;6;20423;6284;;
possede;7;1566;27;10;42282;10962;;
college;7;1563;22;10;34386;10941;;
prendre;7;1559;22;10;34298;10913;;
fonction;8;1557;23;10;35811;12456;;
rouge;5;1555;25;8;38875;7775;;
the;3;1555;18;6;27990;4665;;
mouvement;9;1548;21;8;32508;13932;;
tes;3;1546;17;6;26282;4638;;
seule;5;1543;23;8;35489;7715;;
departement;11;1543;39;22;60177;16973;;
couleur;7;1539;20;10;30780;10773;;
ministre;8;1533;18;8;27594;12264;;
ligne;5;1530;14;8;21420;7650;;
devant;6;1516;13;6;19708;9096;;
romain;6;1513;26;8;39338;9078;;
succes;6;1507;22;8;33154;9042;;
mieux;5;1505;14;6;21070;7525;;
militaire;9;1503;22;10;33066;13527;;
creer;5;1501;26;10;39026;7505;;
moi;3;1495;15;6;22425;4485;;
bonne;5;1488;14;4;20832;7440;;
mis;3;1487;17;6;25279;4461;;
chine;5;1487;19;10;28253;7435;;
abord;5;1486;24;10;35664;7430;;
savoir;6;1484;23;8;34132;8904;;
mesure;6;1482;21;10;31122;8892;;
taille;6;1481;25;10;37025;8886;;
serait;6;1481;23;10;34063;8886;;
air;3;1477;15;6;22155;4431;;
situe;5;1475;19;6;28025;7375;;
ni;2;1475;10;4;14750;2950;;
nos;3;1475;21;6;30975;4425;;
bataille;8;1475;20;10;29500;11800;;
malgre;6;1474;13;4;19162;8844;;
milieu;6;1469;24;10;35256;8814;;
met;3;1457;13;6;18941;4371;;
raison;6;1455;23;8;33465;8730;;
mal;3;1455;13;6;18915;4365;;
donner;6;1447;20;12;28940;8682;;
union;5;1446;21;10;30366;7230;;
enfant;6;1441;18;8;25938;8646;;
produit;7;1440;20;10;28800;10080;;
animal;6;1440;18;8;25920;8640;;
trouver;7;1435;28;10;40180;10045;;
sol;3;1432;18;6;25776;4296;;
theatre;7;1429;23;10;32867;10003;;
aller;5;1429;23;10;32867;7145;;
rien;4;1428;15;4;21420;5712;;
type;4;1422;29;8;41238;5688;;
maison;6;1420;20;8;28400;8520;;
livre;5;1420;22;8;31240;7100;;
ma;2;1407;8;4;11256;2814;;
energie;7;1406;25;14;35150;9842;;
vu;2;1405;17;4;23885;2810;;
soldats;7;1403;28;10;39284;9821;;
palais;6;1403;15;8;21045;8418;;
napoleon;8;1401;19;6;26619;11208;;
frere;5;1398;22;10;30756;6990;;
commune;7;1391;24;12;33384;9737;;
importante;10;1389;26;10;36114;13890;;
espace;6;1386;21;10;29106;8316;;
celebre;7;1382;24;14;33168;9674;;
loi;3;1381;11;6;15191;4143;;
chateau;7;1380;27;14;37260;9660;;
as;2;1378;12;4;16536;2756;;
base;4;1373;20;8;27460;5492;;
meurt;5;1373;23;8;31579;6865;;
parle;5;1367;19;10;25973;6835;;
gens;4;1366;19;8;25954;5464;;
art;3;1365;13;6;17745;4095;;
plut;4;1362;16;8;21792;5448;;
