word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
grimmaud;8;2;40;24;80;16
quartier;8;732;42;24;30744;5856
ordre;5;1778;26;15;46228;8890
phenix;6;51;32;18;1632;306
saga;4;340;19;12;6460;1360
harry;5;930;28;15;26040;4650
potter;6;598;34;18;20332;3588
famille;7;3687;33;21;121671;25809
sirius;6;87;37;18;3219;522
black;5;349;21;15;7329;1745
frere;5;1398;27;15;37746;6990
regulus;7;6;41;21;246;42
elfe;4;105;20;12;2100;420
kreattur;8;1;49;24;49;8
appartiendra;12;2;59;36;118;24
tard;4;2312;20;12;46240;9248
apparait;8;166;40;24;6640;1328
tome;4;397;22;12;8734;1588
multitude;9;119;48;27;5712;1071
demeure;7;181;34;21;6154;1267
appartenu;9;48;49;27;2352;432
pendant;7;6537;33;21;215721;45759
lieu;4;4206;19;12;79914;16824
magie;5;236;21;15;4956;1180
noire;5;776;27;15;20952;3880
habitants;9;3290;42;27;138180;29610
adorant;7;4;34;21;136;28
puis;4;6508;22;12;143176;26032
devint;6;348;30;18;10440;2088
blanche;7;740;29;21;21460;5180
trouve;6;4133;34;18;140522;24798
tapisserie;10;35;52;30;1820;350
representant;12;438;65;36;28470;5256
arbre;5;650;25;15;16250;3250
genealogique;12;17;57;36;969;204
decore;6;107;28;18;2996;642
couleurs;8;883;42;24;37086;7064
serpentard;10;64;54;30;3456;640
devise;6;87;29;18;2523;522
pur;3;125;18;9;2250;375
maugrey;7;10;37;21;370;70
fol;3;13;16;9;208;39
sorts;5;27;31;15;837;135
protection;10;704;51;30;35904;7040
sort;4;962;25;12;24050;3848
blocklang;9;1;40;27;40;9
jeunes;6;1876;31;18;58156;11256
marche;6;495;25;18;12375;2970
climat;6;1033;27;18;27891;6198
bruxelles;9;604;48;27;28992;5436
fini;4;319;19;12;6061;1276
dernier;7;2256;34;21;76704;15792
deuxieme;8;1801;39;24;70239;14408
consecutive;11;34;53;33;1802;374
milliers;8;633;39;24;24687;5064
defile;6;47;25;18;1175;282
rues;4;321;26;12;8346;1284
nee;3;850;17;9;14450;2550
janvier;7;2682;34;21;91188;18774
manifestation;13;157;60;39;9420;2041
faveur;6;346;32;18;11072;2076
etaient;7;4244;34;21;144296;29708
comptent;8;117;41;24;4797;936
arreter;7;436;37;21;16132;3052
