word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
correspondant;13;156;67;39;10452;2028
ensemble;8;2216;37;24;81992;17728
vide;4;371;25;12;9275;1484
absence;7;382;33;21;12606;2674
exemple;7;5715;39;21;222885;40005
quand;5;4420;26;15;114920;22100
reste;5;2673;32;15;85536;13365
piece;5;678;25;15;16950;3390
porte;5;1589;29;15;46081;7945
monnaie;7;468;32;21;14976;3276
c;1;34853;4;3;139412;34853
plus;4;41215;24;12;989160;164860
pieces;6;835;32;18;26720;5010
langage;7;531;28;21;14868;3717
jours;5;3343;32;15;106976;16715
correspond;10;574;51;30;29274;5740
aucun;5;1060;28;15;29680;5300
eleve;5;610;26;15;15860;3050
absent;6;76;32;18;2432;456
vient;5;1702;32;15;54464;8510
du;2;81566;9;6;734094;163132
latin;5;1185;25;15;29625;5925
zephirus;8;1;56;24;56;8
lui;3;10160;15;9;152400;30480
meme;4;12315;20;12;246300;49260
venant;6;295;36;18;10620;1770
arabe;5;613;25;15;15325;3065
sifr;4;1;28;12;28;4
donne;5;1702;22;15;37444;8510
indien;6;264;30;18;7920;1584
cunya;5;1;31;15;31;5
indiens;7;240;36;21;8640;1680
peuple;6;1237;35;18;43295;7422
decouvert;9;676;47;27;31772;6084
bien;4;8969;19;12;170411;35876
premier;7;5399;35;21;188965;37793
provient;8;284;43;24;12212;2272
babyloniens;11;51;59;33;3009;561
avant;5;5756;29;15;166924;28780
jesus;5;882;36;15;31752;4410
christ;6;392;31;18;12152;2352
quelle;6;523;32;18;16736;3138
soit;4;4037;24;12;96888;16148
valeur;6;775;37;18;28675;4650
prend;5;1669;25;15;41725;8345
cette;5;15351;25;15;383775;76755
propriete;9;377;51;27;19227;3393
explique;8;695;45;24;31275;5560
pourquoi;8;2711;47;24;127417;21688
impossible;10;393;54;30;21222;3930
diviser;7;89;39;21;3471;623
voir;4;2805;27;12;75735;11220
division;8;492;42;24;20664;3936
alphabets;9;32;50;27;1600;288
notamment;9;3369;48;27;161712;30321
asie;4;1186;22;12;26092;4744
on;2;30509;12;6;366108;61018
utilise;7;1240;40;21;49600;8680
symboles;8;209;49;24;10241;1672
mathematiques;13;575;73;39;41975;7475
ecrire;6;941;34;18;31994;5646
voici;5;800;29;15;23200;4000
quelques;8;4005;45;24;180225;32040
exemples;8;345;47;24;16215;2760
i;1;870;6;3;5220;870
chiffres;8;346;38;24;13148;2768
romains;7;1322;41;21;54202;9254
entier;6;726;30;18;21780;4356
non;3;3971;19;9;75449;11913
nul;3;306;22;9;6732;918
suit;4;431;27;12;11637;1724
precede;7;68;37;21;2516;476
represente;10;916;63;30;57708;9160
unite;5;504;30;15;15120;2520
alphabet;8;380;41;24;15580;3040
aeronautique;12;63;69;36;4347;756
seul;4;2202;26;12;57252;8808
dit;3;2699;15;9;40485;8097
differemment;12;110;63;36;6930;1320
vie;3;5033;21;9;105693;15099
courante;8;225;41;24;9225;1800
racine;6;247;33;18;8151;1482
latine;6;176;29;18;5104;1056
uni;3;1162;17;9;19754;3486
unification;11;159;52;33;8268;1749
grecque;7;684;36;21;24624;4788
correspondante;14;33;71;42;2343;462
mono;4;9;22;12;198;36
monologue;9;5;46;27;230;45
discours;8;365;40;24;14600;2920
prononce;8;144;41;24;5904;1152
acteur;6;381;32;18;12192;2286
theatre;7;1429;46;21;65734;10003
entite;6;35;30;18;1050;210
individuelle;12;72;58;36;4176;864
camion;6;64;29;18;1856;384
plusieurs;9;6946;50;27;347300;62514
article;7;2515;33;21;82995;17605
