word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
etats;5;3856;16;10;61696;19280;;
celui;5;3828;22;10;84216;19140;;
selon;5;3821;19;10;72599;19105;;
cas;3;3800;12;6;45600;11400;;
ci;2;3762;10;4;37620;7524;;
pouvoir;7;3692;40;14;147680;25844;;
famille;7;3687;32;14;117984;25809;;
forme;5;3674;29;10;106546;18370;;
lors;4;3644;22;8;80168;14576;;
fils;4;3609;19;8;68571;14436;;
va;2;3583;9;4;32247;7166;;
empire;6;3559;29;12;103211;21354;;
place;5;3539;22;10;77858;17695;;
nombre;6;3534;33;12;116622;21204;;
partir;6;3507;35;12;122745;21042;;
francaise;9;3506;41;18;143746;31554;;
hui;3;3495;16;6;55920;10485;;
aujourd;7;3487;40;14;139480;24409;;
permet;6;3471;29;12;100659;20826;;
histoire;8;3413;38;16;129694;27304;;
toutes;6;3380;23;12;77740;20280;;
notamment;9;3369;38;18;128022;30321;;
mer;3;3366;17;6;57222;10098;;
royaume;7;3360;38;14;127680;23520;;
jours;5;3343;30;10;100290;16715;;
grace;5;3343;26;10;86918;16715;;
habitants;9;3290;39;18;128310;29610;;
cours;5;3260;28;10;91280;16300;;
jour;4;3258;27;8;87966;13032;;
me;2;3237;8;4;25896;6474;;
homme;5;3232;26;10;84032;16160;;
armee;5;3220;22;10;70840;16100;;
toujours;8;3200;44;16;140800;25600;;
petit;5;3191;20;10;63820;15955;;
region;6;3179;30;12;95370;19074;;
unis;4;3165;16;8;50640;12660;;
celle;5;3159;20;10;63180;15795;;
discussion;10;3156;42;20;132552;31560;;
pres;4;3147;20;8;62940;12588;;
h;1;3115;7;2;21805;3115;;
sera;4;3114;17;8;52938;12456;;
politique;9;3111;42;18;130662;27999;;
km;2;3101;14;4;43414;6202;;
surtout;7;3087;35;14;108045;21609;;
ne;2;3058;6;4;18348;6116;;
epoque;6;3047;27;12;82269;18282;;
effet;5;3043;22;10;66946;15215;;
gouvernement;12;3037;55;24;167035;36444;;
animaux;7;3033;32;14;97056;21231;;
debut;5;3019;23;10;69437;15095;;
cependant;9;3018;36;18;108648;27162;;
ouest;5;2997;19;10;56943;14985;;
mars;4;2986;21;8;62706;11944;;
age;3;2958;11;6;32538;8874;;
louis;5;2947;22;10;64834;14735;;
mai;3;2914;13;6;37882;8742;;
toute;5;2905;20;10;58100;14525;;
afin;4;2886;18;8;51948;11544;;
population;10;2880;47;20;135360;28800;;
compte;6;2868;29;12;83172;17208;;
pere;4;2868;19;8;54492;11472;;
te;2;2851;6;4;17106;5702;;
juin;4;2850;21;8;59850;11400;;
hommes;6;2849;29;12;82621;17094;;
eux;3;2837;14;6;39718;8511;;
president;9;2820;39;18;109980;25380;;
voir;4;2805;24;8;67320;11220;;
mois;4;2804;18;8;50472;11216;;
suite;5;2791;18;10;50238;13955;;
nombreuses;10;2788;46;20;128248;27880;;
nouveau;7;2785;30;14;83550;19495;;
corps;5;2756;29;10;79924;13780;;
parfois;7;2751;37;14;101787;19257;;
octobre;7;2732;38;14;103816;19124;;
ile;3;2730;11;6;30030;8190;;
cest;4;2727;15;8;40905;10908;;
ceux;4;2718;20;8;54360;10872;;
millions;8;2717;36;16;97812;21736;;
groupe;6;2712;33;12;89496;16272;;
republique;10;2712;52;20;141024;27120;;
pourquoi;8;2711;46;16;124706;21688;;
certaines;9;2701;37;18;99937;24309;;
dit;3;2699;13;6;35087;8097;;
janvier;7;2682;36;14;96552;18774;;
reste;5;2673;20;10;53460;13365;;
septembre;9;2648;41;18;108568;23832;;
nouvelle;8;2641;34;16;89794;21128;;
grands;6;2632;30;12;78960;15792;;
des;3;2626;10;6;26260;7878;;
trop;4;2618;24;8;62832;10472;;
ensuite;7;2614;24;14;62736;18298;;
personne;8;2608;35;16;91280;20864;;
chez;4;2602;23;8;59846;10408;;
quatre;6;2587;30;12;77610;15522;;
origine;7;2580;34;14;87720;18060;;
la;2;2559;8;4;20472;5118;;
r;1;2550;9;2;22950;2550;;
allemagne;9;2546;36;18;91656;22914;;
