word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
etats;5;3856;25;10;96400;19280;;
celui;5;3828;30;10;114840;19140;;
selon;5;3821;30;10;114630;19105;;
cas;3;3800;11;6;41800;11400;;
ci;2;3762;9;4;33858;7524;;
pouvoir;7;3692;48;14;177216;25844;;
famille;7;3687;40;14;147480;25809;;
forme;5;3674;32;10;117568;18370;;
lors;4;3644;28;8;102032;14576;;
fils;4;3609;25;8;90225;14436;;
va;2;3583;10;4;35830;7166;;
empire;6;3559;37;12;131683;21354;;
place;5;3539;27;10;95553;17695;;
nombre;6;3534;33;12;116622;21204;;
partir;6;3507;38;12;133266;21042;;
francaise;9;3506;45;18;157770;31554;;
hui;3;3495;16;6;55920;10485;;
aujourd;7;3487;42;14;146454;24409;;
permet;6;3471;38;12;131898;20826;;
histoire;8;3413;46;16;156998;27304;;
toutes;6;3380;36;12;121680;20280;;
notamment;9;3369;44;18;148236;30321;;
mer;3;3366;19;6;63954;10098;;
royaume;7;3360;40;14;134400;23520;;
jours;5;3343;33;10;110319;16715;;
grace;5;3343;24;10;80232;16715;;
habitants;9;3290;38;18;125020;29610;;
cours;5;3260;31;10;101060;16300;;
jour;4;3258;28;8;91224;13032;;
me;2;3237;10;4;32370;6474;;
homme;5;3232;24;10;77568;16160;;
armee;5;3220;27;10;86940;16100;;
toujours;8;3200;52;16;166400;25600;;
petit;5;3191;30;10;95730;15955;;
region;6;3179;34;12;108086;19074;;
unis;4;3165;22;8;69630;12660;;
celle;5;3159;32;10;101088;15795;;
discussion;10;3156;52;20;164112;31560;;
pres;4;3147;27;8;84969;12588;;
h;1;3115;4;2;12460;3115;;
sera;4;3114;22;8;68508;12456;;
politique;9;3111;58;18;180438;27999;;
km;2;3101;11;4;34111;6202;;
surtout;7;3087;46;14;142002;21609;;
ne;2;3058;11;4;33638;6116;;
epoque;6;3047;40;12;121880;18282;;
effet;5;3043;32;10;97376;15215;;
gouvernement;12;3037;71;24;215627;36444;;
animaux;7;3033;35;14;106155;21231;;
debut;5;3019;27;10;81513;15095;;
cependant;9;3018;46;18;138828;27162;;
ouest;5;2997;30;10;89910;14985;;
mars;4;2986;20;8;59720;11944;;
age;3;2958;11;6;32538;8874;;
louis;5;2947;31;10;91357;14735;;
mai;3;2914;11;6;32054;8742;;
toute;5;2905;31;10;90055;14525;;
afin;4;2886;19;8;54834;11544;;
population;10;2880;59;20;169920;28800;;
compte;6;2868;33;12;94644;17208;;
pere;4;2868;28;8;80304;11472;;
te;2;2851;12;4;34212;5702;;
juin;4;2850;23;8;65550;11400;;
hommes;6;2849;29;12;82621;17094;;
eux;3;2837;23;6;65251;8511;;
president;9;2820;54;18;152280;25380;;
voir;4;2805;28;8;78540;11220;;
mois;4;2804;20;8;56080;11216;;
suite;5;2791;29;10;80939;13955;;
nombreuses;10;2788;56;20;156128;27880;;
nouveau;7;2785;41;14;114185;19495;;
corps;5;2756;31;10;85436;13780;;
parfois;7;2751;41;14;112791;19257;;
octobre;7;2732;40;14;109280;19124;;
ile;3;2730;19;6;51870;8190;;
cest;4;2727;21;8;57267;10908;;
ceux;4;2718;27;8;73386;10872;;
millions;8;2717;46;16;124982;21736;;
groupe;6;2712;38;12;103056;16272;;
republique;10;2712;66;20;178992;27120;;
pourquoi;8;2711;55;16;149105;21688;;
certaines;9;2701;48;18;129648;24309;;
dit;3;2699;16;6;43184;8097;;
janvier;7;2682;41;14;109962;18774;;
reste;5;2673;32;10;85536;13365;;
septembre;9;2648;52;18;137696;23832;;
nouvelle;8;2641;54;16;142614;21128;;
grands;6;2632;29;12;76328;15792;;
des;3;2626;16;6;42016;7878;;
trop;4;2618;28;8;73304;10472;;
ensuite;7;2614;40;14;104560;18298;;
personne;8;2608;49;16;127792;20864;;
chez;4;2602;21;8;54642;10408;;
quatre;6;2587;38;12;98306;15522;;
origine;7;2580;39;14;100620;18060;;
la;2;2559;10;4;25590;5118;;
r;1;2550;9;2;22950;2550;;
allemagne;9;2546;44;18;112024;22914;;
empereur;8;2519;54;16;136026;20152;;
article;7;2515;40;14;100600;17605;;
appelle;7;2496;44;14;109824;17472;;
general;7;2495;39;14;97305;17465;;
eu;2;2492;13;4;32396;4984;;
b;1;2477;3;2;7431;2477;;
font;4;2476;24;8;59424;9904;;
jeu;3;2464;19;6;46816;7392;;
juillet;7;2463;46;14;113298;17241;;
avril;5;2456;32;10;78592;12280;;
deja;4;2443;19;8;46417;9772;;
ca;2;2400;6;4;14400;4800;;
suis;4;2398;22;8;52756;9592;;
capitale;8;2393;40;16;95720;19144;;
centre;6;2340;36;12;84240;14040;;
petits;6;2331;35;12;81585;13986;;
veut;4;2329;27;8;62883;9316;;
tard;4;2312;22;8;50864;9248;;
anglais;7;2305;30;14;69150;16135;;
site;4;2292;22;8;50424;9168;;
tour;4;2290;28;8;64120;9160;;
ii;2;2284;10;4;22840;4568;;
droit;5;2280;31;10;70680;11400;;
etant;5;2271;25;10;56775;11355;;
dernier;7;2256;45;14;101520;15792;;
ensemble;8;2216;43;16;95288;17728;;
especes;7;2215;39;14;86385;15505;;
decembre;8;2210;43;16;95030;17680;;
novembre;8;2205;47;16;103635;17640;;
seul;4;2202;26;8;57252;8808;;
fevrier;7;2200;50;14;110000;15400;;
point;5;2188;29;10;63452;10940;;
langue;6;2188;31;12;67828;13128;;
aout;4;2187;21;8;45927;8748;;
italie;6;2185;32;12;69920;13110;;
jean;4;2183;19;8;41477;8732;;
notre;5;2171;32;10;69472;10855;;
travail;7;2169;40;14;86760;15183;;
grandes;7;2166;35;14;75810;15162;;
merci;5;2152;28;10;60256;10760;;
assez;5;2145;25;10;53625;10725;;
or;2;2133;15;4;31995;4266;;
ecole;5;2132;30;10;63960;10660;;
systeme;7;2124;38;14;80712;14868;;
serie;5;2116;31;10;65596;10580;;
long;4;2098;22;8;46156;8392;;
moyen;5;2080;27;10;56160;10400;;
parti;5;2070;29;10;60030;10350;;
mere;4;2070;25;8;51750;8280;;
ier;3;2068;20;6;41360;6204;;
periode;7;2062;44;14;90728;14434;;
durant;6;2057;34;12;69938;12342;;
agit;4;2050;16;8;32800;8200;;
differentes;11;2044;67;22;136948;22484;;
ayant;5;2034;21;10;42714;10170;;
jeux;4;2020;29;8;58580;8080;;
bonjour;7;2017;42;14;84714;14119;;
afrique;7;2003;44;14;88132;14021;;
chef;4;1984;21;8;41664;7936;;
autour;6;1982;37;12;73334;11892;;
differents;10;1973;61;20;120353;19730;;
generalement;12;1972;66;24;130152;23664;;
x;1;1968;10;2;19680;1968;;
page;4;1967;18;8;35406;7868;;
charles;7;1966;38;14;74708;13762;;
plupart;7;1963;46;14;90298;13741;;
doivent;7;1962;41;14;80442;13734;;
jeune;5;1960;30;10;58800;9800;;
tete;4;1958;24;8;46992;7832;;
mondiale;8;1955;41;16;80155;15640;;
villes;6;1953;40;12;78120;11718;;
rome;4;1953;25;8;48825;7812;;
mot;3;1952;16;6;31232;5856;;
part;4;1952;24;8;46848;7808;;
seconde;7;1952;37;14;72224;13664;;
petite;6;1943;36;12;69948;11658;;
metres;6;1935;36;12;69660;11610;;
dieu;4;1929;23;8;44367;7716;;
femmes;6;1924;32;12;61568;11544;;
face;4;1923;19;8;36537;7692;;
belgique;8;1890;46;16;86940;15120;;
cause;5;1889;24;10;45336;9445;;
musique;7;1888;42;14;79296;13216;;
situee;6;1886;35;12;66010;11316;;
jeunes;6;1876;35;12;65660;11256;;
ur;2;1868;16;4;29888;3736;;
haut;4;1865;19;8;35435;7460;;
appele;6;1865;36;12;67140;11190;;
aide;4;1865;18;8;33570;7460;;
donne;5;1856;27;10;50112;9280;;
pierre;6;1848;42;12;77616;11088;;
av;2;1848;10;4;18480;3696;;
ancien;6;1846;27;12;49842;11076;;
moment;6;1846;31;12;57226;11076;;
