word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
la;2;231160;13;6;3005080;462320
pataphysique;12;24;59;36;1416;288
est;3;139273;15;9;2089095;417819
une;3;77779;16;9;1244464;233337
science;7;557;32;21;17824;3899
parodique;9;6;40;27;240;54
elle;4;27267;16;12;436272;109068
designe;7;742;28;21;20776;5194
des;3;128016;11;9;1408176;384048
solutions;9;180;49;27;8820;1620
imaginaires;11;61;49;33;2989;671
l;1;157746;4;3;630984;157746
apostrophe;10;11;57;30;627;110
n;1;21546;9;3;193914;21546
pas;3;29643;14;9;415002;88929
utilisee;8;820;40;24;32800;6560
devant;6;1516;27;18;40932;9096
le;2;201192;7;6;1408344;402384
mot;3;1952;17;9;33184;5856
lorsque;7;1780;34;21;60520;12460
terme;5;1084;23;15;24932;5420
utilise;7;1811;33;21;59763;12677
comme;5;22075;21;15;463575;110375
un;2;98321;12;6;1179852;196642
adjectif;8;123;41;24;5043;984
fut;3;3909;18;9;70362;11727
cree;4;1640;19;12;31160;6560
par;3;55637;13;9;723281;166911
ecrivain;8;514;37;24;19018;4112
francais;8;5880;38;24;223440;47040
alfred;6;152;32;18;4864;912
jarry;5;8;31;15;248;40
qui;3;63007;16;9;1008112;189021
avait;5;4938;28;15;138264;24690
defini;6;109;27;18;2943;654
accorde;7;219;31;21;6789;1533
symboliquement;14;34;67;42;2278;476
aux;3;16302;21;9;342342;48906
lineaments;10;1;52;30;52;10
les;3;172027;12;9;2064324;516081
proprietes;10;260;51;30;13260;2600
objets;6;1098;32;18;35136;6588
decrits;7;45;31;21;1395;315
leur;4;13586;18;12;244548;54344
virtualite;10;1;54;30;54;10
dans;4;62106;18;12;1117908;248424
beaucoup;8;6674;40;24;266960;53392
d;1;106690;3;3;320070;106690
uvres;5;936;27;15;25272;4680
de;2;369294;6;6;2215764;738588
cet;3;4792;14;9;67088;14376
tres;4;16228;20;12;324560;64912
presente;8;1277;43;24;54911;10216
se;2;35559;11;6;391149;71118
developpa;9;36;41;27;1476;324
au;2;46340;14;6;648760;92680
e;1;4058;4;3;16232;4058
siecle;6;7152;32;18;228864;42912
college;7;1563;29;21;45327;10941
en;2;131424;10;6;1314240;262848
pour;4;59206;22;12;1302532;236824
enseigner;9;79;40;27;3160;711
il;2;86530;10;6;865300;173060
actuellement;12;1035;55;36;56925;12420
situe;5;1475;27;15;39825;7375
a;1;142169;7;3;995183;142169
paris;5;4580;22;15;100760;22900
ecrivains;9;220;43;27;9460;1980
et;2;162818;10;6;1628180;325636
artistes;8;653;42;24;27426;5224
illustres;9;30;45;27;1350;270
sont;4;40154;24;12;963696;160616
pataphysiciens;14;8;66;42;528;112
marcel;6;148;26;18;3848;888
duchamp;7;10;32;21;320;70
jacques;7;799;33;21;26367;5593
prevert;7;23;37;21;851;161
boris;5;96;29;15;2784;480
vian;4;6;24;12;144;24
raymond;7;109;41;21;4469;763
queneau;7;17;35;21;595;119
man;3;285;14;9;3990;855
ray;3;46;24;9;1104;138
eugene;6;148;29;18;4292;888
ionesco;7;7;38;21;266;49
georges;7;362;36;21;13032;2534
perec;5;6;30;15;180;30
antonin;7;36;39;21;1404;252
artaud;6;6;33;18;198;36
jean;4;2183;19;12;41477;8732
christophe;10;198;48;30;9504;1980
averty;6;1;38;18;38;6
fernando;8;39;41;24;1599;312
arrabal;7;2;40;21;80;14
mais;4;25550;18;12;459900;102200
aussi;5;15694;28;15;439432;78470
peintres;8;198;44;24;8712;1584
tels;4;810;21;12;17010;3240
que;3;45724;15;9;685860;137172
joan;4;21;21;12;441;84
mir;3;30;17;9;510;90
dubuffet;8;5;43;24;215;40
david;5;438;22;15;9636;2190
hockney;7;2;38;21;76;14
ou;2;31878;14;6;446292;63756
encore;6;5618;27;18;151686;33708
academiciens;12;6;57;36;342;72
pascal;6;128;25;18;3200;768
ory;3;5;24;9;120;15
ne;2;24536;13;6;318968;49072
revolutionnaires;16;296;85;48;25160;4736
ambitionnent;12;1;64;36;64;12
changer;7;650;30;21;19500;4550
monde;5;7979;21;15;167559;39895
mouvement;9;1548;44;27;68112;13932
dada;4;21;18;12;378;84
surrealiste;11;25;58;33;1450;275
essence;7;138;28;21;3864;966
ailleurs;8;1828;38;24;69464;14624
dadaistes;9;3;43;27;129;27
surrealistes;12;16;63;36;1008;192
s;1;28036;7;3;196252;28036
apprend;7;432;37;21;15984;3024
pratique;8;991;39;24;38649;7928
tous;4;7150;25;12;178750;28600
peut;4;13949;21;12;292929;55796
initier;7;22;36;21;792;154
aisement;8;45;38;24;1710;360
cela;4;5619;15;12;84285;22476
suffit;6;403;33;18;13299;2418
efforcer;8;3;35;24;105;24
penser;6;348;29;18;10092;2088
choses;6;1106;27;18;29862;6636
auxquelles;10;101;51;30;5151;1010
vous;4;4254;24;12;102096;17016
pensez;6;104;30;18;3120;624
autres;6;10414;33;18;343662;62484
pensent;7;495;36;21;17820;3465
faire;5;9379;21;15;196959;46895
necessite;9;167;47;27;7849;1503
toutefois;9;825;47;27;38775;7425
appliquer;9;233;48;27;11184;2097
principe;8;621;36;24;22356;4968
important;9;1822;48;27;87456;16398
equivalence;11;18;53;33;954;198
toutes;6;3380;34;18;114920;20280
ainsi;5;6582;27;15;177714;32910
pataphysicien;13;2;61;39;122;26
ce;2;29011;8;6;232088;58022
serieux;7;158;37;21;5846;1106
strictement;11;75;53;33;3975;825
equivalent;10;290;52;30;15080;2900
rond;4;116;24;12;2784;464
parfaitement;12;218;55;36;11990;2616
carre;5;236;22;15;5192;1180
vrai;4;895;22;12;19690;3580
indemontrable;13;2;68;39;136;26
kurt;4;22;28;12;616;88
godel;5;8;29;15;232;40
patafix;7;1;38;21;38;7
moteur;6;530;31;18;16430;3180
recherche;9;1023;39;27;39897;9207
patakosmos;10;1;61;30;61;10
reference;9;380;47;27;17860;3420
univers;7;765;35;21;26775;5355
ecrit;5;1706;24;15;40944;8530
lettres;7;569;33;21;18777;3983
zero;4;213;26;12;5538;852
chiffre;7;242;27;21;6534;1694
nombre;6;3534;30;18;106020;21204
naturel;7;536;40;21;21440;3752
cardinal;8;210;37;24;7770;1680
