word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
de;2;369294;4;4;1477176;738588
la;2;231160;5;4;1155800;462320
le;2;201192;4;4;804768;402384
les;3;172027;7;6;1204189;516081
et;2;162818;9;4;1465362;325636
a;1;142169;5;2;710845;142169
est;3;139273;11;6;1532003;417819
en;2;131424;8;4;1051392;262848
des;3;128016;8;6;1024128;384048
d;1;106690;3;2;320070;106690
un;2;98321;7;4;688247;196642
il;2;86530;10;4;865300;173060
du;2;81566;7;4;570962;163132
une;3;77779;10;6;777790;233337
qui;3;63007;9;6;567063;189021
dans;4;62106;11;8;683166;248424
pour;4;59206;10;8;592060;236824
par;3;55637;7;6;389459;166911
au;2;46340;9;4;417060;92680
que;3;45724;8;6;365792;137172
plus;4;41215;11;8;453365;164860
sont;4;40154;13;8;522002;160616
se;2;35559;7;4;248913;71118
c;1;34853;5;2;174265;34853
sur;3;34442;11;6;378862;103326
ou;2;31878;9;4;286902;63756
on;2;30509;8;4;244072;61018
son;3;30237;10;6;302370;90711
pas;3;29643;8;6;237144;88929
ce;2;29011;8;4;232088;58022
s;1;28036;4;2;112144;28036
elle;4;27267;14;8;381738;109068
avec;4;26472;15;8;397080;105888
qu;2;25763;6;4;154578;51526
mais;4;25550;13;8;332150;102200
ne;2;24536;9;4;220824;49072
comme;5;22075;14;10;309050;110375
n;1;21546;6;2;129276;21546
sa;2;18696;9;4;168264;37392
ils;3;17444;14;6;244216;52332
ont;3;17423;11;6;191653;52269
ete;3;17041;14;6;238574;51123
y;1;16352;8;2;130816;16352
aux;3;16302;12;6;195624;48906
tres;4;16228;15;8;243420;64912
aussi;5;15694;17;10;266798;78470
ses;3;15661;10;6;156610;46983
cette;5;15351;15;10;230265;76755
fait;4;14532;12;8;174384;58128
peut;4;13949;12;8;167388;55796
leur;4;13586;9;8;122274;54344
deux;4;13274;11;8;146014;53096
etre;4;13146;16;8;210336;52584
meme;4;12315;15;8;184725;49260
etait;5;11616;19;10;220704;58080
entre;5;11581;15;10;173715;57905
je;2;11517;9;4;103653;23034
france;6;10672;16;12;170752;64032
apres;5;10577;18;10;190386;52885
autres;6;10414;18;12;187452;62484
pays;4;10308;10;8;103080;41232
ces;3;10300;11;6;113300;30900
ans;3;10179;10;6;101790;30537
lui;3;10160;10;6;101600;30480
o;1;9817;6;2;58902;9817
alors;5;9631;18;10;173358;48155
faire;5;9379;15;10;140685;46895
si;2;9322;8;4;74576;18644
tout;4;9271;14;8;129794;37084
j;1;9028;7;2;63196;9028
bien;4;8969;16;8;143504;35876
donc;4;8648;12;8;103776;34592
ville;5;8242;19;10;156598;41210
sous;4;8064;13;8;104832;32256
monde;5;7979;16;10;127664;39895
roi;3;7628;14;6;106792;22884
nom;3;7508;14;6;105112;22524
guerre;6;7165;20;12;143300;42990
siecle;6;7152;27;12;193104;42912
tous;4;7150;15;8;107250;28600
partie;6;7136;15;12;107040;42816
plusieurs;9;6946;22;18;152812;62514
depuis;6;6924;16;12;110784;41544
dont;4;6896;11;8;75856;27584
contre;6;6824;15;12;102360;40944
beaucoup;8;6674;24;16;160176;53392
ainsi;5;6582;18;10;118476;32910
leurs;5;6562;12;10;78744;32810
pendant;7;6537;18;14;117666;45759
puis;4;6508;11;8;71588;26032
grand;5;6287;16;10;100592;31435
car;3;6265;12;6;75180;18795
peu;3;6180;10;6;61800;18540
avoir;5;6113;17;10;103921;30565
grande;6;6074;18;12;109332;36444
t;1;6042;6;2;36252;6042
tu;2;5996;11;4;65956;11992
egalement;9;5973;28;18;167244;53757
sans;4;5962;14;8;83468;23848
nord;4;5949;17;8;101133;23796
sud;3;5944;14;6;83216;17832
souvent;7;5906;23;14;135838;41342
francais;8;5880;25;16;147000;47040
avant;5;5756;17;10;97852;28780
exemple;7;5715;23;14;131445;40005
cela;4;5619;15;8;84285;22476
encore;6;5618;18;12;101124;33708
jusqu;5;5599;17;10;95183;27995
fois;4;5568;14;8;77952;22272
temps;5;5539;18;10;99702;27695
eau;3;5501;13;6;71513;16503
premier;7;5399;17;14;91783;37793
elles;5;5315;17;10;90355;26575
nous;4;5290;15;8;79350;21160
vers;4;5257;14;8;73598;21028
dire;4;5243;11;8;57673;20972
autre;5;5155;16;10;82480;25775
vie;3;5033;13;6;65429;15099
mort;4;5033;15;8;75495;20132
trois;5;4965;17;10;84405;24825
avait;5;4938;16;10;79008;24690
m;1;4929;6;2;29574;4929
premiere;8;4885;20;16;97700;39080
moins;5;4855;17;10;82535;24275
certains;8;4815;23;16;110745;38520
annees;6;4804;24;12;115296;28824
cet;3;4792;11;6;52712;14376
peuvent;7;4739;19;14;90041;33173
paris;5;4580;12;10;54960;22900
fin;3;4441;9;6;39969;13323
quand;5;4420;15;10;66300;22100
personnes;9;4306;22;18;94732;38754
vous;4;4254;17;8;72318;17016
etaient;7;4244;23;14;97612;29708
lieu;4;4206;11;8;46266;16824
ai;2;4152;8;4;33216;8304
doit;4;4141;12;8;49692;16564
terre;5;4134;19;10;78546;20670
trouve;6;4133;20;12;82660;24798
etat;4;4129;14;8;57806;16516
e;1;4058;5;2;20290;4058
faut;4;4051;13;8;52663;16204
nombreux;8;4048;26;16;105248;32384
soit;4;4037;14;8;56518;16148
vikidia;7;4014;34;14;136476;28098
quelques;8;4005;19;16;76095;32040
chaque;6;4001;19;12;76019;24006
annee;5;3983;20;10;79660;19915
europe;6;3982;18;12;71676;23892
environ;7;3972;21;14;83412;27804
non;3;3971;14;6;55594;11913
devient;7;3965;19;14;75335;27755
fut;3;3909;13;6;50817;11727
saint;5;3907;18;10;70326;19535
enfants;7;3894;22;14;85668;27258
existe;6;3881;19;12;73739;23286
etats;5;3856;17;10;65552;19280
celui;5;3828;17;10;65076;19140
selon;5;3821;16;10;61136;19105
cas;3;3800;13;6;49400;11400
ci;2;3762;9;4;33858;7524
pouvoir;7;3692;17;14;62764;25844
famille;7;3687;21;14;77427;25809
forme;5;3674;16;10;58784;18370
lors;4;3644;11;8;40084;14576
fils;4;3609;13;8;46917;14436
va;2;3583;11;4;39413;7166
empire;6;3559;22;12;78298;21354
place;5;3539;14;10;49546;17695
nombre;6;3534;21;12;74214;21204
partir;6;3507;16;12;56112;21042
francaise;9;3506;28;18;98168;31554
hui;3;3495;14;6;48930;10485
aujourd;7;3487;23;14;80201;24409
permet;6;3471;16;12;55536;20826
histoire;8;3413;25;16;85325;27304
toutes;6;3380;20;12;67600;20280
notamment;9;3369;27;18;90963;30321
mer;3;3366;12;6;40392;10098
royaume;7;3360;26;14;87360;23520
jours;5;3343;16;10;53488;16715
grace;5;3343;21;10;70203;16715
habitants;9;3290;28;18;92120;29610
cours;5;3260;14;10;45640;16300
jour;4;3258;14;8;45612;13032
me;2;3237;8;4;25896;6474
homme;5;3232;17;10;54944;16160
armee;5;3220;22;10;70840;16100
toujours;8;3200;24;16;76800;25600
petit;5;3191;16;10;51056;15955
region;6;3179;23;12;73117;19074
unis;4;3165;12;8;37980;12660
celle;5;3159;16;10;50544;15795
discussion;10;3156;24;20;75744;31560
pres;4;3147;12;8;37764;12588
h;1;3115;8;2;24920;3115
sera;4;3114;13;8;40482;12456
politique;9;3111;22;18;68442;27999
km;2;3101;15;4;46515;6202
surtout;7;3087;21;14;64827;21609
ne;2;3058;9;4;27522;6116
epoque;6;3047;25;12;76175;18282
effet;5;3043;17;10;51731;15215
gouvernement;12;3037;32;24;97184;36444
animaux;7;3033;22;14;66726;21231
debut;5;3019;18;10;54342;15095
cependant;9;3018;26;18;78468;27162
ouest;5;2997;19;10;56943;14985
mars;4;2986;15;8;44790;11944
age;3;2958;13;6;38454;8874
louis;5;2947;15;10;44205;14735
mai;3;2914;11;6;32054;8742
toute;5;2905;17;10;49385;14525
afin;4;2886;17;8;49062;11544
population;10;2880;25;20;72000;28800
compte;6;2868;17;12;48756;17208
pere;4;2868;16;8;45888;11472
te;2;2851;9;4;25659;5702
juin;4;2850;15;8;42750;11400
hommes;6;2849;20;12;56980;17094
eux;3;2837;12;6;34044;8511
president;9;2820;24;18;67680;25380
voir;4;2805;16;8;44880;11220
mois;4;2804;16;8;44864;11216
suite;5;2791;16;10;44656;13955
nombreuses;10;2788;31;20;86428;27880
nouveau;7;2785;23;14;64055;19495
corps;5;2756;17;10;46852;13780
parfois;7;2751;18;14;49518;19257
octobre;7;2732;24;14;65568;19124
ile;3;2730;14;6;38220;8190
cest;4;2727;15;8;40905;10908
ceux;4;2718;15;8;40770;10872
millions;8;2717;22;16;59774;21736
groupe;6;2712;19;12;51528;16272
republique;10;2712;31;20;84072;27120
pourquoi;8;2711;21;16;56931;21688
certaines;9;2701;25;18;67525;24309
dit;3;2699;9;6;24291;8097
janvier;7;2682;21;14;56322;18774
reste;5;2673;17;10;45441;13365
septembre;9;2648;24;18;63552;23832
nouvelle;8;2641;25;16;66025;21128
grands;6;2632;19;12;50008;15792
des;3;2626;8;6;21008;7878
trop;4;2618;17;8;44506;10472
ensuite;7;2614;22;14;57508;18298
personne;8;2608;19;16;49552;20864
chez;4;2602;14;8;36428;10408
quatre;6;2587;17;12;43979;15522
origine;7;2580;22;14;56760;18060
la;2;2559;5;4;12795;5118
r;1;2550;7;2;17850;2550
allemagne;9;2546;28;18;71288;22914
empereur;8;2519;28;16;70532;20152
article;7;2515;21;14;52815;17605
appelle;7;2496;21;14;52416;17472
general;7;2495;24;14;59880;17465
eu;2;2492;9;4;22428;4984
b;1;2477;7;2;17339;2477
font;4;2476;15;8;37140;9904
jeu;3;2464;12;6;29568;7392
juillet;7;2463;24;14;59112;17241
avril;5;2456;18;10;44208;12280
deja;4;2443;16;8;39088;9772
ca;2;2400;9;4;21600;4800
suis;4;2398;15;8;35970;9592
capitale;8;2393;25;16;59825;19144
centre;6;2340;18;12;42120;14040
petits;6;2331;19;12;44289;13986
veut;4;2329;17;8;39593;9316
tard;4;2312;17;8;39304;9248
anglais;7;2305;21;14;48405;16135
site;4;2292;14;8;32088;9168
tour;4;2290;15;8;34350;9160
ii;2;2284;14;4;31976;4568
droit;5;2280;15;10;34200;11400
etant;5;2271;18;10;40878;11355
dernier;7;2256;17;14;38352;15792
ensemble;8;2216;23;16;50968;17728
especes;7;2215;26;14;57590;15505
decembre;8;2210;27;16;59670;17680
novembre;8;2205;25;16;55125;17640
seul;4;2202;14;8;30828;8808
fevrier;7;2200;28;14;61600;15400
point;5;2188;14;10;30632;10940
langue;6;2188;16;12;35008;13128
aout;4;2187;18;8;39366;8748
italie;6;2185;20;12;43700;13110
jean;4;2183;15;8;32745;8732
notre;5;2171;20;10;43420;10855
travail;7;2169;23;14;49887;15183
grandes;7;2166;21;14;45486;15162
merci;5;2152;17;10;36584;10760
assez;5;2145;19;10;40755;10725
or;2;2133;9;4;19197;4266
ecole;5;2132;19;10;40508;10660
systeme;7;2124;22;14;46728;14868
serie;5;2116;18;10;38088;10580
long;4;2098;11;8;23078;8392
moyen;5;2080;19;10;39520;10400
parti;5;2070;12;10;24840;10350
mere;4;2070;19;8;39330;8280
ier;3;2068;13;6;26884;6204
periode;7;2062;25;14;51550;14434
durant;6;2057;17;12;34969;12342
agit;4;2050;16;8;32800;8200
differentes;11;2044;40;22;81760;22484
ayant;5;2034;19;10;38646;10170
jeux;4;2020;16;8;32320;8080
bonjour;7;2017;27;14;54459;14119
afrique;7;2003;23;14;46069;14021
chef;4;1984;13;8;25792;7936
autour;6;1982;20;12;39640;11892
differents;10;1973;36;20;71028;19730
generalement;12;1972;38;24;74936;23664
x;1;1968;9;2;17712;1968
page;4;1967;12;8;23604;7868
charles;7;1966;23;14;45218;13762
plupart;7;1963;18;14;35334;13741
doivent;7;1962;19;14;37278;13734
jeune;5;1960;16;10;31360;9800
tete;4;1958;20;8;39160;7832
mondiale;8;1955;23;16;44965;15640
villes;6;1953;22;12;42966;11718
rome;4;1953;18;8;35154;7812
mot;3;1952;14;6;27328;5856
part;4;1952;10;8;19520;7808
seconde;7;1952;23;14;44896;13664
petite;6;1943;18;12;34974;11658
metres;6;1935;23;12;44505;11610
dieu;4;1929;15;8;28935;7716
femmes;6;1924;20;12;38480;11544
face;4;1923;13;8;24999;7692
belgique;8;1890;26;16;49140;15120
cause;5;1889;18;10;34002;9445
musique;7;1888;23;14;43424;13216
situee;6;1886;23;12;43378;11316
jeunes;6;1876;18;12;33768;11256
ur;2;1868;6;4;11208;3736
haut;4;1865;16;8;29840;7460
appele;6;1865;20;12;37300;11190
aide;4;1865;15;8;27975;7460
donne;5;1856;14;10;25984;9280
pierre;6;1848;17;12;31416;11088
