word;Nb_char (C_w);Freq (F_w);Nb_scan_block (S_w_b);Nb_scan_key (S_w_k);Nb_scan (S_w);Nb_act_block;Nb_act_key;Nb_act;S_w_b x F_w;S_w_k x F_w;S_w x F_w;C_w x F_w
peu ;4;6180;7;19;26;4;4;8;43260;117420;160680;24720
avoir ;6;6113;12;17;29;6;6;12;73356;103921;177277;36678
grande ;7;6074;10;29;39;7;7;14;60740;176146;236886;42518
t ;2;6042;4;4;8;2;2;4;24168;24168;48336;12084
tu ;3;5996;7;8;15;3;3;6;41972;47968;89940;17988
egalement ;10;5973;15;47;62;10;10;20;89595;280731;370326;59730
sans ;5;5962;10;13;23;5;5;10;59620;77506;137126;29810
nord ;5;5949;9;20;29;5;5;10;53541;118980;172521;29745
sud ;4;5944;8;12;20;4;4;8;47552;71328;118880;23776
souvent ;8;5906;18;34;52;8;8;16;106308;200804;307112;47248
francais ;9;5880;15;26;41;9;9;18;88200;152880;241080;52920
avant ;6;5756;11;19;30;6;6;12;63316;109364;172680;34536
exemple ;8;5715;13;43;56;8;8;16;74295;245745;320040;45720
cela ;5;5619;6;17;23;5;5;10;33714;95523;129237;28095
encore ;7;5618;11;31;42;7;7;14;61798;174158;235956;39326
jusqu ;6;5599;14;22;36;6;6;12;78386;123178;201564;33594
fois ;5;5568;9;18;27;5;5;10;50112;100224;150336;27840
temps ;6;5539;12;25;37;6;6;12;66468;138475;204943;33234
eau ;4;5501;6;13;19;4;4;8;33006;71513;104519;22004
premier ;8;5399;15;29;44;8;8;16;80985;156571;237556;43192
elles ;6;5315;10;23;33;6;6;12;53150;122245;175395;31890
nous ;5;5290;11;20;31;5;5;10;58190;105800;163990;26450
vers ;5;5257;11;15;26;5;5;10;57827;78855;136682;26285
dire ;5;5243;8;14;22;5;5;10;41944;73402;115346;26215
autre ;6;5155;12;17;29;6;6;12;61860;87635;149495;30930
vie ;4;5033;7;13;20;4;4;8;35231;65429;100660;20132
mort ;5;5033;11;17;28;5;5;10;55363;85561;140924;25165
trois ;6;4965;14;15;29;6;6;12;69510;74475;143985;29790
avait ;6;4938;11;14;25;6;6;12;54318;69132;123450;29628
m ;2;4929;3;6;9;2;2;4;14787;29574;44361;9858
premiere ;9;4885;16;35;51;9;9;18;78160;170975;249135;43965
moins ;6;4855;12;22;34;6;6;12;58260;106810;165070;29130
certains ;9;4815;17;26;43;9;9;18;81855;125190;207045;43335
annees ;7;4804;11;29;40;7;7;14;52844;139316;192160;33628
cet ;4;4792;6;14;20;4;4;8;28752;67088;95840;19168
peuvent ;8;4739;16;39;55;8;8;16;75824;184821;260645;37912
paris ;6;4580;12;15;27;6;6;12;54960;68700;123660;27480
fin ;4;4441;6;15;21;4;4;8;26646;66615;93261;17764
quand ;6;4420;10;27;37;6;6;12;44200;119340;163540;26520
personnes ;10;4306;20;45;65;10;10;20;86120;193770;279890;43060
vous ;5;4254;12;19;31;5;5;10;51048;80826;131874;21270
etaient ;8;4244;14;28;42;8;8;16;59416;118832;178248;33952
lieu ;5;4206;9;16;25;5;5;10;37854;67296;105150;21030
ai ;3;4152;4;4;8;3;3;6;16608;16608;33216;12456
doit ;5;4141;9;17;26;5;5;10;37269;70397;107666;20705
terre ;6;4134;12;18;30;6;6;12;49608;74412;124020;24804
trouve ;7;4133;16;27;43;7;7;14;66128;111591;177719;28931
etat ;5;4129;9;15;24;5;5;10;37161;61935;99096;20645
e ;2;4058;2;7;9;2;2;4;8116;28406;36522;8116
faut ;5;4051;9;17;26;5;5;10;36459;68867;105326;20255
nombreux ;9;4048;18;40;58;9;9;18;72864;161920;234784;36432
soit ;5;4037;11;14;25;5;5;10;44407;
