word,Nb_char (C_w),Freq (F_w),Nb_scan_block (S_w_b),Nb_scan_key (S_w_k),Nb_scan (S_w),Nb_act_block,Nb_act_key,Nb_act,S_w_b x F_w,S_w_k x F_w,S_w x F_w,C_w x F_w,,,
blast ,6,1,15,12,27,6,6,12,15,12,27,6,,,
blazed ,7,1,18,18,36,7,7,14,18,18,36,7,,,
blazing ,8,1,23,20,43,8,8,16,23,20,43,8,,,
blocked ,8,1,19,23,42,8,8,16,19,23,42,8,,,
bloodshed ,10,1,23,25,48,10,10,20,23,25,48,10,,,
blow ,5,1,16,10,26,5,5,10,16,10,26,5,,,
blues ,6,1,14,16,30,6,6,12,14,16,30,6,,,
borrower ,9,1,20,22,42,9,9,18,20,22,42,9,,,
boss ,5,1,15,8,23,5,5,10,15,8,23,5,,,
boys ,5,1,15,10,25,5,5,10,15,10,25,5,,,
break ,6,1,12,17,29,6,6,12,12,17,29,6,,,
breaks ,7,1,15,19,34,7,7,14,15,19,34,7,,,
breathing ,10,1,23,22,45,10,10,20,23,22,45,10,,,
broke ,6,1,13,16,29,6,6,12,13,16,29,6,,,
brown ,6,1,18,11,29,6,6,12,18,11,29,6,,,
browser ,8,1,20,18,38,8,8,16,20,18,38,8,,,
buckle ,7,1,17,22,39,7,7,14,17,22,39,7,,,
bullet ,7,1,15,19,34,7,7,14,15,19,34,7,,,
burglars ,9,1,18,30,48,9,9,18,18,30,48,9,,,
buried ,7,1,13,22,35,7,7,14,13,22,35,7,,,
business ,9,1,23,20,43,9,9,18,23,20,43,9,,,
bypass ,7,1,21,16,37,7,7,14,21,16,37,7,,,
cake ,5,1,9,14,23,5,5,10,9,14,23,5,,,
call ,5,1,10,14,24,5,5,10,10,14,24,5,,,
called ,7,1,12,21,33,7,7,14,12,21,33,7,,,
camping ,8,1,22,19,41,8,8,16,22,19,41,8,,,
canada ,7,1,12,18,30,7,7,14,12,18,30,7,,,
cancer ,7,1,15,15,30,7,7,14,15,15,30,7,,,
cape ,5,1,11,11,22,5,5,10,11,11,22,5,,,
capital ,8,1,17,20,37,8,8,16,17,20,37,8,,,
capitalist ,11,1,24,26,50,11,11,22,24,26,50,11,,,
card ,5,1,8,15,23,5,5,10,8,15,23,5,,,
careless ,9,1,17,22,39,9,9,18,17,22,39,9,,,
cares ,6,1,11,14,25,6,6,12,11,14,25,6,,,
cat ,4,1,8,7,15,4,4,8,8,7,15,4,,,
cells ,6,1,13,15,28,6,6,12,13,15,28,6,,,
century ,8,1,16,21,37,8,8,16,16,21,37,8,,,
challenged ,11,1,22,30,52,11,11,22,22,30,52,11,,,
chamber ,8,1,23,15,38,8,8,16,23,15,38,8,,,
chancellor ,11,1,25,26,51,11,11,22,25,26,51,11,,,
changed ,8,1,17,20,37,8,8,16,17,20,37,8,,,
checks ,7,1,19,16,35,7,7,14,19,16,35,7,,,
cheese ,7,1,15,12,27,7,7,14,15,12,27,7,,,
