word,Nb_char (C_w),Freq (F_w),Nb_scan_block (S_w_b),Nb_scan_key (S_w_k),Nb_scan (S_w),Nb_act_block,Nb_act_key,Nb_act,S_w_b x F_w,S_w_k x F_w,S_w x F_w,C_w x F_w,,,
creation ,9,1077,0,44,44,0,9,9,0,47388,47388,9693,,,
main ,5,1075,0,19,19,0,5,5,0,20425,20425,5375,,,
appeles ,8,1073,0,36,36,0,8,8,0,38628,38628,8584,,,
voit ,5,1067,0,29,29,0,5,5,0,30943,30943,5335,,,
ancienne ,9,1063,0,25,25,0,9,9,0,26575,26575,9567,,,
genre ,6,1063,0,30,30,0,6,6,0,31890,31890,6378,,,
economique ,11,1061,0,33,33,0,11,11,0,35013,35013,11671,,,
romaine ,8,1061,0,43,43,0,8,8,0,45623,45623,8488,,,
aucun ,6,1060,0,24,24,0,6,6,0,25440,25440,6360,,,
forment ,8,1060,0,24,24,0,8,8,0,25440,25440,8480,,,
permettent ,11,1057,0,21,21,0,11,11,0,22197,22197,11627,,,
troupes ,8,1056,0,28,28,0,8,8,0,29568,29568,8448,,,
juste ,6,1056,0,24,24,0,6,6,0,25344,25344,6336,,,
zone ,5,1055,0,31,31,0,5,5,0,32705,32705,5275,,,
mise ,5,1055,0,20,20,0,5,5,0,21100,21100,5275,,,
printemps ,10,1051,0,21,21,0,10,10,0,22071,22071,10510,,,
vitesse ,8,1050,0,34,34,0,8,8,0,35700,35700,8400,,,
majorite ,9,1047,0,28,28,0,9,9,0,29316,29316,9423,,,
vue ,4,1047,0,29,29,0,4,4,0,30363,30363,4188,,,
desormais ,10,1043,0,41,41,0,10,10,0,42763,42763,10430,,,
six ,4,1042,0,24,24,0,4,4,0,25008,25008,4168,,,
elu ,4,1041,0,25,25,0,4,4,0,26025,26025,4164,,,
national ,9,1040,0,34,34,0,9,9,0,35360,35360,9360,,,
vraiment ,9,1038,0,36,36,0,9,9,0,37368,37368,9342,,,
pense ,6,1036,0,15,15,0,6,6,0,15540,15540,6216,,,
actuellement ,13,1035,0,35,35,0,13,13,0,36225,36225,13455,,,
difficile ,10,1033,0,19,19,0,10,10,0,19627,19627,10330,,,
climat ,7,1033,0,28,28,0,7,7,0,28924,28924,7231,,,
classe ,7,1033,0,25,25,0,7,7,0,25825,25825,7231,,,
feu ,4,1032,0,23,23,0,4,4,0,23736,23736,4128,,,
objet ,6,1030,0,30,30,0,6,6,0,30900,30900,6180,,,
idees ,6,1030,0,42,42,0,6,6,0,43260,43260,6180,,,
haute ,6,1029,0,32,32,0,6,6,0,32928,32928,6174,,,
lyon ,5,1029,0,19,19,0,5,5,0,19551,19551,5145,,,
pourrait ,9,1027,0,14,14,0,9,9,0,14378,14378,9243,,,
retrouve ,9,1026,0,39,39,0,9,9,0,40014,40014,9234,,,
coup ,5,1025,0,15,15,0,5,5,0,15375,15375,5125,,,
recherche ,10,1023,0,35,35,0,10,10,0,35805,35805,10230,,,
langues ,8,1020,0,15,15,0,8,8,0,15300,15300,8160,,,
toi ,4,1020,0,28,28,0,4,4,0,28560,28560,4080,,,
v ,2,1020,0,28,28,0,2,2,0,28560,28560,2040,,,
assemblee ,10,1019,0,49,49,0,10,10,0,49931,49931,10190,,,
mots ,5,1018,0,25,25,0,5,5,0,25450,25450,5090,,,
accord ,7,1015,0,26,26,0,7,7,0,26390,26390,7105,,,
eviter ,7,1015,0,40,40,0,7,7,0,40600,40600,7105,,,
aime ,5,1013,0,25,25,0,5,5,0,25325,25325,5065,,,
oiseaux ,8,1011,0,28,28,0,8,8,0,28308,28308,8088,,,
image ,6,1010,0,31,31,0,6,6,0,31310,31310,6060,,,
peux ,5,1010,0,16,16,0,5,5,0,16160,16160,5050,,,
finalement ,11,1007,0,22,22,0,11,11,0,22154,22154,11077,,,
devenu ,7,1005,0,15,15,0,7,7,0,15075,15075,7035,,,
planete ,8,1004,0,30,30,0,8,8,0,30120,30120,8032,,,
version ,8,1004,0,30,30,0,8,8,0,30120,30120,8032,,,
maladie ,8,1001,0,26,26,0,8,8,0,26026,26026,8008,,,
developpement ,14,999,0,34,34,0,14,14,0,33966,33966,13986,,,
carriere ,9,999,0,29,29,0,9,9,0,28971,28971,8991,,,
ocean ,6,998,0,34,34,0,6,6,0,33932,33932,5988,,,
courant ,8,997,0,21,21,0,8,8,0,20937,20937,7976,,,
lois ,5,996,0,13,13,0,5,5,0,12948,12948,4980,,,
terres ,7,996,0,27,27,0,7,7,0,26892,26892,6972,,,
tel ,4,995,0,24,24,0,4,4,0,23880,23880,3980,,,
livres ,7,993,0,22,22,0,7,7,0,21846,21846,6951,,,
gaz ,4,992,0,28,28,0,4,4,0,27776,27776,3968,,,
pratique ,9,991,0,16,16,0,9,9,0,15856,15856,8919,,,
scientifiques ,14,990,0,39,39,0,14,14,0,38610,38610,13860,,,
traite ,7,986,0,26,26,0,7,7,0,25636,25636,6902,,,
travaux ,8,985,0,26,26,0,8,8,0,25610,25610,7880,,,
sauf ,5,982,0,28,28,0,5,5,0,27496,27496,4910,,,
loin ,5,981,0,15,15,0,5,5,0,14715,14715,4905,,,
nature ,7,981,0,30,30,0,7,7,0,29430,29430,6867,,,
egypte ,7,977,0,35,35,0,7,7,0,34195,34195,6839,,,
epouse ,7,977,0,29,29,0,7,7,0,28333,28333,6839,,,
premieres ,10,973,0,22,22,0,10,10,0,21406,21406,9730,,,
moyenne ,8,972,0,29,29,0,8,8,0,28188,28188,7776,,,
combat ,7,970,0,18,18,0,7,7,0,17460,17460,6790,,,
sort ,5,962,0,21,21,0,5,5,0,20202,20202,4810,,,
paix ,5,960,0,14,14,0,5,5,0,13440,13440,4800,,,
fer ,4,960,0,22,22,0,4,4,0,21120,21120,3840,,,
sang ,5,958,0,19,19,0,5,5,0,18202,18202,4790,,,
aider ,6,957,0,25,25,0,6,6,0,23925,23925,5742,,,
cinema ,7,957,0,32,32,0,7,7,0,30624,30624,6699,,,
album ,6,957,0,37,37,0,6,6,0,35409,35409,5742,,,
maintenant ,11,956,0,27,27,0,11,11,0,25812,25812,10516,,,
furent ,7,955,0,27,27,0,7,7,0,25785,25785,6685,,,
militaires ,11,955,0,28,28,0,11,11,0,26740,26740,10505,,,
poissons ,9,954,0,25,25,0,9,9,0,23850,23850,8586,,,
connue ,7,952,0,22,22,0,7,7,0,20944,20944,6664,,,
liberte ,8,952,0,19,19,0,8,8,0,18088,18088,7616,,,
dix ,4,951,0,19,19,0,4,4,0,18069,18069,3804,,,
yeux ,5,951,0,30,30,0,5,5,0,28530,28530,4755,,,
francois ,9,950,0,25,25,0,9,9,0,23750,23750,8550,,,
considere ,10,947,0,28,28,0,10,10,0,26516,26516,9470,,,
quoi ,5,946,0,13,13,0,5,5,0,12298,12298,4730,,,
