word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
took;4;426;19;8;8094;1704
far;3;439;15;6;6585;1317
once;4;505;17;8;8585;2020
something;9;451;42;18;18942;4059
end;3;427;13;6;5551;1281
set;3;425;11;6;4675;1275
public;6;454;38;12;17252;2724
night;5;424;24;10;10176;2120
told;4;413;19;8;7847;1652
house;5;600;24;10;14400;3000
almost;6;432;28;12;12096;2592
better;6;417;24;12;10008;2502
eyes;4;408;18;8;7344;1632
going;5;404;27;10;10908;2020
system;6;419;29;12;12151;2514
find;4;400;21;8;8400;1600
knew;4;395;22;8;8690;1580
present;7;402;30;14;12060;2814
group;5;397;30;10;11910;1985
however;7;552;35;14;19320;3864
face;4;386;19;8;7334;1544
four;4;415;22;8;9130;1660
give;4;391;23;8;8993;1564
asked;5;398;26;10;10348;1990
point;5;402;23;10;9246;2010
side;4;392;19;8;7448;1568
half;4;392;21;8;8232;1568
room;4;398;19;8;7562;1592
toward;6;386;29;12;11194;2316
days;4;385;22;8;8470;1540
per;3;380;15;6;5700;1140
though;6;440;31;12;13640;2640
social;6;397;30;12;11910;2382
given;5;378;27;10;10206;1890
look;4;401;22;8;8822;1604
possible;8;374;42;16;15708;2992
program;7;392;38;14;14896;2744
important;9;375;41;18;15375;3375
large;5;377;25;10;9425;1885
john;4;366;21;8;7686;1464
business;8;396;41;16;16236;3168
looked;6;367;31;12;11377;2202
second;6;398;28;12;11144;2388
form;4;383;21;8;8043;1532
next;4;396;18;8;7128;1584
nothing;7;412;32;14;13184;2884
order;5;377;23;10;8671;1885
case;4;368;18;8;6624;1472
things;6;368;29;12;10672;2208
become;6;359;29;12;10411;2154
later;5;397;21;10;8337;1985
young;5;385;29;10;11165;1925
felt;4;357;18;8;6426;1428
ever;4;365;19;8;6935;1460
rather;6;373;25;12;9325;2238
need;4;360;16;8;5760;1440
best;4;361;18;8;6498;1444
saw;3;353;16;6;5648;1059
often;5;369;20;10;7380;1845
along;5;355;25;10;8875;1775
children;8;355;40;16;14200;2840
least;5;343;21;10;7203;1715
five;4;385;22;8;8470;1540
several;7;378;34;14;12852;2646
light;5;351;26;10;9126;1755
early;5;368;25;10;9200;1840
power;5;350;26;10;9100;1750
seemed;6;333;26;12;8658;1998
war;3;491;16;6;7856;1473
thing;5;333;24;10;7992;1665
big;3;371;19;6;7049;1113
mind;4;327;21;8;6867;1308
want;4;328;18;8;5904;1312
area;4;329;16;8;5264;1316
interest;8;330;31;16;10230;2640
within;6;358;29;12;10382;2148
turned;6;322;28;12;9016;1932
door;4;321;19;8;6099;1284
help;4;326;21;8;6846;1304
among;5;369;25;10;9225;1845
family;6;339;34;12;11526;2034
open;4;332;18;8;5976;1328
done;4;319;17;8;5423;1276
u;1;315;7;2;2205;315
whole;5;318;25;10;7950;1590
problem;7;315;38;14;11970;2205
sense;5;314;20;10;6280;1570
began;5;312;25;10;7800;1560
country;7;324;36;14;11664;2268
general;7;499;32;14;15968;3493
members;7;325;35;14;11375;2275
kind;4;313;23;8;7199;1252
different;9;313;41;18;12833;2817
development;11;331;53;22;17543;3641
matter;6;309;24;12;7416;1854
york;4;305;24;8;7320;1220
certain;7;313;30;14;9390;2191
itself;6;305;28;12;8540;1830
god;3;304;17;6;5168;912
name;4;305;17;8;5185;1220
let;3;384;12;6;4608;1152
line;4;316;18;8;5688;1264
action;6;302;26;12;7852;1812
law;3;320;17;6;5440;960
human;5;302;26;10;7852;1510
others;6;323;25;12;8075;1938
means;5;310;22;10;6820;1550
example;7;292;37;14;10804;2044
hands;5;291;24;10;6984;1455
yet;3;420;13;6;5460;1260
gave;4;285;22;8;6270;1140
feet;4;284;15;8;4260;1136
above;5;301;26;10;7826;1505
government;10;426;47;20;20022;4260
past;4;283;19;8;5377;1132
taken;5;281;22;10;6182;1405
week;4;298;21;8;6258;1192
white;5;386;23;10;8878;1930
body;4;283;24;8;6792;1132
free;4;293;17;8;4981;1172
local;5;289;26;10;7514;1445
seen;4;279;15;8;4185;1116
show;4;291;21;8;6111;1164
across;6;283;29;12;8207;1698
car;3;278;15;6;4170;834
city;4;407;21;8;8547;1628
history;7;290;34;14;9860;2030
either;6;285;24;12;6840;1710
experience;10;276;47;20;12972;2760
quite;5;282;26;10;7332;1410
death;5;283;21;10;5943;1415
