word;Nb_char (C_w);Freq (F_w);Nb_scan_block (S_w_b);Nb_scan_key (S_w_k);Nb_scan (S_w);Nb_act_block;Nb_act_key;Nb_act;S_w_b x F_w;S_w_k x F_w;S_w x F_w;C_w x F_w
bonjour ;8;142;14;11;25;3;3;6;1988;1562;3550;1136
bonsoir ;8;150;16;15;31;4;4;8;2400;2250;4650;1200
banane ;7;54;19;16;35;6;6;12;1026;864;1890;378
tout ;5;32;11;10;21;3;3;6;352;320;672;160
le ;3;1548;10;6;16;2;2;4;15480;9288;24768;4644
