word;Nb_char (C_w);Freq (F_w);Nb_scan_block (S_w_b);Nb_scan_key (S_w_k);Nb_scan (S_w);Nb_act_block;Nb_act_key;Nb_act;S_w_b x F_w;S_w_k x F_w;S_w x F_w;C_w x F_w
mille ;6;404;10;21;31;6;6;12;4040;8484;12524;2424
italienne ;10;404;17;36;53;10;10;20;6868;14544;21412;4040
suffit ;7;403;14;25;39;7;7;14;5642;10075;15717;2821
alimentation ;13;403;24;47;71;13;13;26;9672;18941;28613;5239
george ;7;403;10;37;47;7;7;14;4030;14911;18941;2821
portes ;7;403;15;28;43;7;7;14;6045;11284;17329;2821
dame ;5;403;6;19;25;5;5;10;2418;7657;10075;2015
peche ;6;403;7;34;41;6;6;12;2821;13702;16523;2418
puissant ;9;402;20;29;49;9;9;18;8040;11658;19698;3618
reaction ;9;401;16;31;47;9;9;18;6416;12431;18847;3609
devrait ;8;401;15;24;39;8;8;16;6015;9624;15639;3208
hongrie ;8;401;13;39;52;8;8;16;5213;15639;20852;3208
cent ;5;401;8;20;28;5;5;10;3208;8020;11228;2005
cherche ;8;401;10;40;50;8;8;16;4010;16040;20050;3208
conseils ;9;401;17;33;50;9;9;18;6817;13233;20050;3609
flotte ;7;401;13;31;44;7;7;14;5213;12431;17644;2807
affaire ;8;399;11;27;38;8;8;16;4389;10773;15162;3192
titres ;7;399;16;17;33;7;7;14;6384;6783;13167;2793
martin ;7;399;14;19;33;7;7;14;5586;7581;13167;2793
echange ;8;399;9;42;51;8;8;16;3591;16758;20349;3192
carbone ;8;399;12;30;42;8;8;16;4788;11970;16758;3192
envers ;7;398;14;27;41;7;7;14;5572;10746;16318;2786
domination ;11;398;20;44;64;11;11;22;7960;17512;25472;4378
tome ;5;397;9;22;31;5;5;10;3573;8734;12307;1985
relief ;7;397;11;26;37;7;7;14;4367;10322;14689;2779
instrument ;11;397;25;38;63;11;11;22;9925;15086;25011;4367
augmente ;9;397;15;41;56;9;9;18;5955;16277;22232;3573
sinon ;6;397;12;23;35;6;6;12;4764;9131;13895;2382
candidats ;10;397;16;31;47;10;10;20;6352;12307;18659;3970
concerne ;9;397;14;41;55;9;9;18;5558;16277;21835;3573
caractere ;10;396;16;30;46;10;10;20;6336;11880;18216;3960
endroits ;9;396;18;32;50;9;9;18;7128;12672;19800;3564
attendre ;9;395;16;33;49;9;9;18;6320;13035;19355;3555
spectacle ;10;395;16;40;56;10;10;20;6320;15800;22120;3950
vecu ;5;395;9;20;29;5;5;10;3555;7900;11455;1975
princesse ;10;395;19;37;56;10;10;20;7505;14615;22120;3950
souris ;7;395;17;18;35;7;7;14;6715;7110;13825;2765
portent ;8;394;17;35;52;8;8;16;6698;13790;20488;3152
augmentation ;13;394;24;54;78;13;13;26;9456;21276;30732;5122
berlin ;7;394;12;22;34;7;7;14;4728;8668;13396;2758
maritime ;9;394;17;25;42;9;9;18;6698;9850;16548;3546
definitivement ;15;394;27;62;89;15;15;30;10638;24428;35066;5910
impossible ;11;393;21;40;61;11;11;22;8253;15720;23973;4323
sociaux ;8;393;16;28;44;8;8;16;6288;11004;17292;3144
completement ;13;393;23;64;87;13;13;26;9039;25152;34191;5109
opera ;6;393;10;25;35;6;6;12;3930;9825;13755;2358
vetements ;10;393;20;43;63;10;10;20;7860;16899;24759;3930
seigneurs ;10;393;20;37;57;10;10;20;7860;14541;22401;3930
medecin ;8;393;11;34;45;8;8;16;4323;13362;17685;3144
materiel ;9;393;16;29;45;9;9;18;6288;11397;17685;3537
caracteristiques ;17;393;34;52;86;17;17;34;13362;20436;33798;6681
roches ;7;393;12;30;42;7;7;14;4716;11790;16506;2751
christ ;7;392;14;21;35;7;7;14;5488;8232;13720;2744
avais ;6;392;11;13;24;6;6;12;4312;5096;9408;2352
evenement ;10;392;17;50;67;10;10;20;6664;19600;26264;3920
attaques ;9;392;18;32;50;9;9;18;7056;12544;19600;3528
comte ;6;392;10;26;36;6;6;12;3920;10192;14112;2352
courte ;7;392;14;26;40;7;7;14;5488;10192;15680;2744
turcs ;6;391;14;15;29;6;6;12;5474;5865;11339;2346
bible ;6;391;8;18;26;6;6;12;3128;7038;10166;2346
predateurs ;11;391;22;39;61;11;11;22;8602;15249;23851;4301
gout ;5;391;10;23;33;5;5;10;3910;8993;12903;1955
