word;Nb_char (C_w);Freq (F_w);Nb_scan_block (S_w_b);Nb_scan_key (S_w_k);Nb_scan (S_w);Nb_act_block;Nb_act_key;Nb_act;S_w_b x F_w;S_w_k x F_w;S_w x F_w;C_w x F_w
solution ;9;387;20;35;55;9;9;18;7740;13545;21285;3483
morte ;6;386;12;23;35;6;6;12;4632;8878;13510;2316
note ;5;386;9;23;32;5;5;10;3474;8878;12352;1930
rock ;5;385;9;16;25;5;5;10;3465;6160;9625;1925
garcons ;8;385;14;31;45;8;8;16;5390;11935;17325;3080
rive ;5;385;10;14;24;5;5;10;3850;5390;9240;1925
morceaux ;9;385;17;37;54;9;9;18;6545;14245;20790;3465
cinquieme ;10;384;17;43;60;10;10;20;6528;16512;23040;3840
organise ;9;384;16;34;50;9;9;18;6144;13056;19200;3456
inspire ;8;384;16;26;42;8;8;16;6144;9984;16128;3072
chant ;6;384;9;25;34;6;6;12;3456;9600;13056;2304
matieres ;9;383;17;27;44;9;9;18;6511;10341;16852;3447
nations ;8;383;16;28;44;8;8;16;6128;10724;16852;3064
telle ;6;383;10;24;34;6;6;12;3830;9192;13022;2298
absence ;8;382;11;30;41;8;8;16;4202;11460;15662;3056
hauts ;6;382;12;21;33;6;6;12;4584;8022;12606;2292
certaine ;9;382;15;30;45;9;9;18;5730;11460;17190;3438
disparition ;12;382;24;38;62;12;12;24;9168;14516;23684;4584
graines ;8;382;14;27;41;8;8;16;5348;10314;15662;3056
acteur ;7;381;13;21;34;7;7;14;4953;8001;12954;2667
gagne ;6;381;7;31;38;6;6;12;2667;11811;14478;2286
monuments ;10;381;21;45;66;10;10;20;8001;17145;25146;3810
diametre ;9;381;15;30;45;9;9;18;5715;11430;17145;3429
orleans ;8;381;15;29;44;8;8;16;5715;11049;16764;3048
connues ;8;381;15;36;51;8;8;16;5715;13716;19431;3048
limite ;7;381;13;21;34;7;7;14;4953;8001;12954;2667
reference ;10;380;15;44;59;10;10;20;5700;16720;22420;3800
alphabet ;9;380;13;38;51;9;9;18;4940;14440;19380;3420
reprendre ;10;380;18;41;59;10;10;20;6840;15580;22420;3800
offre ;6;380;9;29;38;6;6;12;3420;11020;14440;2280
commencent ;11;380;18;53;71;11;11;22;6840;20140;26980;4180
elevage ;8;380;11;38;49;8;8;16;4180;14440;18620;3040
memoire ;8;380;14;32;46;8;8;16;5320;12160;17480;3040
web ;4;380;6;16;22;4;4;8;2280;6080;8360;1520
archipel ;9;380;14;36;50;9;9;18;5320;13680;19000;3420
capables ;9;379;13;32;45;9;9;18;4927;12128;17055;3411
chretienne ;11;379;18;49;67;11;11;22;6822;18571;25393;4169
representent ;13;379;26;55;81;13;13;26;9854;20845;30699;4927
bacteries ;10;379;17;29;46;10;10;20;6443;10991;17434;3790
israel ;7;379;13;17;30;7;7;14;4927;6443;11370;2653
republicains ;13;379;24;43;67;13;13;26;9096;16297;25393;4927
cycle ;6;378;9;27;36;6;6;12;3402;10206;13608;2268
savant ;7;378;14;21;35;7;7;14;5292;7938;13230;2646
revenir ;8;378;16;27;43;8;8;16;6048;10206;16254;3024
visible ;8;378;15;23;38;8;8;16;5670;8694;14364;3024
redaction ;10;378;17;36;53;10;10;20;6426;13608;20034;3780
occupation ;11;378;20;47;67;11;11;22;7560;17766;25326;4158
propriete ;10;377;20;42;62;10;10;20;7540;15834;23374;3770
visite ;7;377;15;19;34;7;7;14;5655;7163;12818;2639
vii ;4;377;8;8;16;4;4;8;3016;3016;6032;1508
issue ;6;377;13;16;29;6;6;12;4901;6032;10933;2262
vaut ;5;377;11;15;26;5;5;10;4147;5655;9802;1885
pousse ;7;377;15;30;45;7;7;14;5655;11310;16965;2639
transports ;11;377;26;36;62;11;11;22;9802;13572;23374;4147
evenements ;11;376;20;52;72;11;11;22;7520;19552;27072;4136
messages ;9;376;16;34;50;9;9;18;6016;12784;18800;3384
devaient ;9;376;15;35;50;9;9;18;5640;13160;18800;3384
accepte ;8;376;11;34;45;8;8;16;4136;12784;16920;3008
ressources ;11;376;24;36;60;11;11;22;9024;13536;22560;4136
echelle ;8;376;10;40;50;8;8;16;3760;15040;18800;3008
capacite ;9;376;13;31;44;9;9;18;4888;11656;16544;3384
camps ;6;376;10;22;32;6;6;12;3760;8272;12032;2256
revenus ;8;375;17;31;48;8;8;16;6375;11625;18000;3000
chacune ;8;375;11;36;47;8;8;16;4125;13500;17625;3000
invente ;8;375;15;34;49;8;8;16;5625;12750;18375;3000
colonie ;8;375;13;36;49;8;8;16;4875;13500;18375;3000
utile ;6;375;12;19;31;6;6;12;4500;7125;11625;2250
tourne ;7;375;15;28;43;7;7;14;5625;10500;16125;2625
chimique ;9;375;15;40;55;9;9;18;5625;15000;20625;3375
malade ;7;374;9;25;34;7;7;14;3366;9350;12716;2618
auparavant ;11;374;21;36;57;11;11;22;7854;13464;21318;4114
douze ;6;374;11;32;43;6;6;12;4114;11968;16082;2244
windows ;8;373;17;34;51;8;8;16;6341;12682;19023;2984
frederic ;9;373;14;32;46;9;9;18;5222;11936;17158;3357
quitter ;8;372;18;28;46;8;8;16;6696;10416;17112;2976
flandre ;8;372;12;32;44;8;8;16;4464;11904;16368;2976
arabes ;7;372;11;17;28;7;7;14;4092;6324;10416;2604
echec ;6;372;6;30;36;6;6;12;2232;11160;13392;2232
croissance ;11;372;20;36;56;11;11;22;7440;13392;20832;4092
bronze ;7;372;13;33;46;7;7;14;4836;12276;17112;2604
vide ;5;371;8;18;26;5;5;10;2968;6678;9646;1855
patrimoine ;11;371;21;41;62;11;11;22;7791;15211;23002;4081
invasion ;9;371;18;31;49;9;9;18;6678;11501;18179;3339
observer ;9;371;18;32;50;9;9;18;6678;11872;18550;3339
buts ;5;371;11;13;24;5;5;10;4081;4823;8904;1855
nez ;4;371;7;22;29;4;4;8;2597;8162;10759;1484
drapeau ;8;371;13;29;42;8;8;16;4823;10759;15582;2968
participe ;10;370;18;35;53;10;10;20;6660;12950;19610;3700
wikipedia ;10;370;17;34;51;10;10;20;6290;12580;18870;3700
duche ;6;370;8;29;37;6;6;12;2960;10730;13690;2220
violence ;9;369;15;40;55;9;9;18;5535;14760;20295;3321
voitures ;9;369;21;30;51;9;9;18;7749;11070;18819;3321
parle ;6;369;10;22;32;6;6;12;3690;8118;11808;2214
fruit ;6;369;13;17;30;6;6;12;4797;6273;11070;2214
auraient ;9;369;17;26;43;9;9;18;6273;9594;15867;3321
regle ;6;369;9;26;35;6;6;12;3321;9594;12915;2214
lycee ;6;369;9;29;38;6;6;12;3321;10701;14022;2214
periodes ;9;369;16;37;53;9;9;18;5904;13653;19557;3321
disponible ;11;368;19;44;63;11;11;22;6992;16192;23184;4048
roche ;6;368;9;28;37;6;6;12;3312;10304;13616;2208
attaquer ;9;368;18;31;49;9;9;18;6624;11408;18032;3312
traverse ;9;368;19;27;46;9;9;18;6992;9936;16928;3312
presenter ;10;368;20;40;60;10;10;20;7360;14720;22080;3680
projets ;8;368;17;30;47;8;8;16;6256;11040;17296;2944
depend ;7;367;9;37;46;7;7;14;3303;13579;16882;2569
tenir ;6;367;12;18;30;6;6;12;4404;6606;11010;2202
envoye ;7;367;13;39;52;7;7;14;4771;14313;19084;2569
directeur ;10;367;19;32;51;10;10;20;6973;11744;18717;3670
lion ;5;367;9;19;28;5;5;10;3303;6973;10276;1835
capitaine ;10;367;16;34;50;10;10;20;5872;12478;18350;3670
complexe ;9;367;15;48;63;9;9;18;5505;17616;23121;3303
expliquer ;10;366;20;47;67;10;10;20;7320;17202;24522;3660
differente ;11;366;17;49;66;11;11;22;6222;17934;24156;4026
mourir ;7;366;16;20;36;7;7;14;5856;7320;13176;2562
revolte ;8;366;16;33;49;8;8;16;5856;12078;17934;2928
generaux ;9;366;16;41;57;9;9;18;5856;15006;20862;3294
marseille ;10;366;18;32;50;10;10;20;6588;11712;18300;3660
discours ;9;365;19;27;46;9;9;18;6935;9855;16790;3285
reduire ;8;365;15;25;40;8;8;16;5475;9125;14600;2920
arriver ;8;365;17;18;35;8;8;16;6205;6570;12775;2920
tellement ;10;365;18;44;62;10;10;20;6570;16060;22630;3650
economiques ;12;365;22;58;80;12;12;24;8030;21170;29200;4380
echapper ;9;365;13;45;58;9;9;18;4745;16425;21170;3285
populaires ;11;365;22;44;66;11;11;22;8030;16060;24090;4015
artiste ;8;365;17;19;36;8;8;16;6205;6935;13140;2920
petrole ;8;365;15;36;51;8;8;16;5475;13140;18615;2920
representants ;14;365;29;53;82;14;14;28;10585;19345;29930;5110
contributions ;14;365;30;49;79;14;14;28;10950;17885;28835;5110
hautes ;7;364;13;27;40;7;7;14;4732;9828;14560;2548
www ;4;364;10;19;29;4;4;8;3640;6916;10556;1456
james ;6;364;10;18;28;6;6;12;3640;6552;10192;2184
million ;8;363;15;29;44;8;8;16;5445;10527;15972;2904
utilisant ;10;363;22;27;49;10;10;20;7986;9801;17787;3630
normalement ;12;363;22;52;74;12;12;24;7986;18876;26862;4356
dizaines ;9;363;16;33;49;9;9;18;5808;11979;17787;3267
quartiers ;10;363;22;30;52;10;10;20;7986;10890;18876;3630
georges ;8;362;13;39;52;8;8;16;4706;14118;18824;2896
organiser ;10;362;19;35;54;10;10;20;6878;12670;19548;3620
euro ;5;362;10;19;29;5;5;10;3620;6878;10498;1810
primaire ;9;362;17;26;43;9;9;18;6154;9412;15566;3258
peintre ;8;362;15;32;47;8;8;16;5430;11584;17014;2896
cap ;4;362;5;15;20;4;4;8;1810;5430;7240;1448
bonnes ;7;362;12;31;43;7;7;14;4344;11222;15566;2534
sauver ;7;361;15;21;36;7;7;14;5415;7581;12996;2527
anniversaire ;13;361;25;40;65;13;13;26;9025;14440;23465;4693
difficiles ;11;361;17;39;56;11;11;22;6137;14079;20216;3971
arrivent ;9;361;19;26;45;9;9;18;6859;9386;16245;3249
bouche ;7;361;10;34;44;7;7;14;3610;12274;15884;2527
pate ;5;361;8;20;28;5;5;10;2888;7220;10108;1805
modernes ;9;361;16;39;55;9;9;18;5776;14079;19855;3249
vin ;4;361;8;13;21;4;4;8;2888;4693;7581;1444
antoine ;8;361;14;32;46;8;8;16;5054;11552;16606;2888
sicile ;7;361;12;19;31;7;7;14;4332;6859;11191;2527
coreen ;7;361;11;31;42;7;7;14;3971;11191;15162;2527
crees ;6;360;10;20;30;6;6;12;3600;7200;10800;2160
social ;7;360;12;21;33;7;7;14;4320;7560;11880;2520
sel ;4;360;7;13;20;4;4;8;2520;4680;7200;1440
decrit ;7;360;12;21;33;7;7;14;4320;7560;11880;2520
sommes ;7;360;14;28;42;7;7;14;5040;10080;15120;2520
modifications ;14;360;25;52;77;14;14;28;9000;18720;27720;5040
journaliste ;12;359;25;39;64;12;12;24;8975;14001;22976;4308
accueil ;8;359;12;26;38;8;8;16;4308;9334;13642;2872
champ ;6;359;8;29;37;6;6;12;2872;10411;13283;2154
civilisation ;13;359;26;38;64;13;13;26;9334;13642;22976;4667
ceremonie ;10;358;16;43;59;10;10;20;5728;15394;21122;3580
necessaires ;12;358;22;39;61;12;12;24;7876;13962;21838;4296
residence ;10;358;16;38;54;10;10;20;5728;13604;19332;3580
byzantin ;9;358;18;39;57;9;9;18;6444;13962;20406;3222
accueillir ;11;357;19;32;51;11;11;22;6783;11424;18207;3927
erreur ;7;357;15;20;35;7;7;14;5355;7140;12495;2499
compter ;8;357;15;35;50;8;8;16;5355;12495;17850;2856
sultan ;7;357;15;22;37;7;7;14;5355;7854;13209;2499
viii ;5;357;10;9;19;5;5;10;3570;3213;6783;1785
architecte ;11;357;18;40;58;11;11;22;6426;14280;20706;3927
menace ;7;357;9;30;39;7;7;14;3213;10710;13923;2499
