word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
roi;3;7628;16;6;122048;22884
nom;3;7508;19;6;142652;22524
guerre;6;7165;25;12;179125;42990
siecle;6;7152;28;12;200256;42912
tous;4;7150;21;8;150150;28600
partie;6;7136;16;12;114176;42816
plusieurs;9;6946;26;18;180596;62514
depuis;6;6924;22;12;152328;41544
dont;4;6896;13;8;89648;27584
contre;6;6824;19;12;129656;40944
beaucoup;8;6674;33;16;220242;53392
ainsi;5;6582;20;10;131640;32910
leurs;5;6562;14;10;91868;32810
pendant;7;6537;21;14;137277;45759
puis;4;6508;13;8;84604;26032
grand;5;6287;20;10;125740;31435
car;3;6265;14;6;87710;18795
peu;3;6180;10;6;61800;18540
avoir;5;6113;23;10;140599;30565
grande;6;6074;22;12;133628;36444
t;1;6042;9;2;54378;6042
tu;2;5996;16;4;95936;11992
egalement;9;5973;31;18;185163;53757
sans;4;5962;17;8;101354;23848
nord;4;5949;24;8;142776;23796
sud;3;5944;17;6;101048;17832
souvent;7;5906;30;14;177180;41342
francais;8;5880;29;16;170520;47040
avant;5;5756;23;10;132388;28780
exemple;7;5715;26;14;148590;40005
cela;4;5619;12;8;67428;22476
encore;6;5618;18;12;101124;33708
jusqu;5;5599;23;10;128777;27995
fois;4;5568;15;8;83520;22272
temps;5;5539;24;10;132936;27695
eau;3;5501;11;6;60511;16503
premier;7;5399;18;14;97182;37793
elles;5;5315;13;10;69095;26575
nous;4;5290;21;8;111090;21160
vers;4;5257;20;8;105140;21028
dire;4;5243;13;8;68159;20972
autre;5;5155;21;10;108255;25775
vie;3;5033;17;6;85561;15099
mort;4;5033;17;8;85561;20132
trois;5;4965;20;10;99300;24825
avait;5;4938;22;10;108636;24690
m;1;4929;7;2;34503;4929
premiere;8;4885;20;16;97700;39080
moins;5;4855;18;10;87390;24275
certains;8;4815;25;16;120375;38520
annees;6;4804;32;12;153728;28824
cet;3;4792;11;6;52712;14376
peuvent;7;4739;22;14;104258;33173
paris;5;4580;13;10;59540;22900
fin;3;4441;11;6;48851;13323
quand;5;4420;17;10;75140;22100
personnes;9;4306;26;18;111956;38754
vous;4;4254;21;8;89334;17016
etaient;7;4244;24;14;101856;29708
lieu;4;4206;13;8;54678;16824
ai;2;4152;9;4;37368;8304
doit;4;4141;12;8;49692;16564
terre;5;4134;21;10;86814;20670
trouve;6;4133;23;12;95059;24798
etat;4;4129;15;8;61935;16516
e;1;4058;4;2;16232;4058
faut;4;4051;15;8;60765;16204
nombreux;8;4048;33;16;133584;32384
soit;4;4037;17;8;68629;16148
vikidia;7;4014;39;14;156546;28098
quelques;8;4005;23;16;92115;32040
chaque;6;4001;22;12;88022;24006
annee;5;3983;26;10;103558;19915
europe;6;3982;23;12;91586;23892
environ;7;3972;26;14;103272;27804
non;3;3971;20;6;79420;11913
devient;7;3965;24;14;95160;27755
fut;3;3909;15;6;58635;11727
saint;5;3907;21;10;82047;19535
enfants;7;3894;25;14;97350;27258
existe;6;3881;23;12;89263;23286
etats;5;3856;18;10;69408;19280
celui;5;3828;14;10;53592;19140
selon;5;3821;17;10;64957;19105
cas;3;3800;16;6;60800;11400
ci;2;3762;9;4;33858;7524
pouvoir;7;3692;22;14;81224;25844
famille;7;3687;23;14;84801;25809
forme;5;3674;19;10;69806;18370
lors;4;3644;12;8;43728;14576
fils;4;3609;14;8;50526;14436
va;2;3583;16;4;57328;7166
empire;6;3559;25;12;88975;21354
place;5;3539;13;10;46007;17695
nombre;6;3534;27;12;95418;21204
partir;6;3507;17;12;59619;21042
francaise;9;3506;31;18;108686;31554
hui;3;3495;18;6;62910;10485
aujourd;7;3487;28;14;97636;24409
permet;6;3471;18;12;62478;20826
histoire;8;3413;33;16;112629;27304
toutes;6;3380;24;12;81120;20280
notamment;9;3369;37;18;124653;30321
mer;3;3366;14;6;47124;10098
royaume;7;3360;35;14;117600;23520
jours;5;3343;21;10;70203;16715
grace;5;3343;25;10;83575;16715
habitants;9;3290;34;18;111860;29610
cours;5;3260;19;10;61940;16300
jour;4;3258;18;8;58644;13032
me;2;3237;9;4;29133;6474
homme;5;3232;23;10;74336;16160
armee;5;3220;24;10;77280;16100
toujours;8;3200;30;16;96000;25600
petit;5;3191;18;10;57438;15955
region;6;3179;28;12;89012;19074
unis;4;3165;14;8;44310;12660
celle;5;3159;13;10;41067;15795
discussion;10;3156;28;20;88368;31560
