word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
president;9;2820;38;27;107160;25380;;
voir;4;2805;23;11;64515;11220;;
mois;4;2804;22;12;61688;11216;;
suite;5;2791;20;8;55820;13955;;
nombreuses;10;2788;26;11;72488;27880;;
nouveau;7;2785;25;11;69625;19495;;
corps;5;2756;22;11;60632;13780;;
parfois;7;2751;22;14;60522;19257;;
octobre;7;2732;23;11;62836;19124;;
ile;3;2730;18;9;49140;8190;;
cest;4;2727;19;12;51813;10908;;
ceux;4;2718;20;11;54360;10872;;
millions;8;2717;26;14;70642;21736;;
groupe;6;2712;23;11;62376;16272;;
republique;10;2712;46;30;124752;27120;;
pourquoi;8;2711;11;5;29821;21688;;
certaines;9;2701;19;11;51319;24309;;
dit;3;2699;13;9;35087;8097;;
janvier;7;2682;26;11;69732;18774;;
reste;5;2673;15;5;40095;13365;;
septembre;9;2648;22;11;58256;23832;;
nouvelle;8;2641;24;11;63384;21128;;
grands;6;2632;28;18;73696;15792;;
des;3;2626;9;5;23634;7878;;
trop;4;2618;17;8;44506;10472;;
ensuite;7;2614;15;8;39210;18298;;
personne;8;2608;15;8;39120;20864;;
chez;4;2602;13;8;33826;10408;;
quatre;6;2587;20;11;51740;15522;;
origine;7;2580;29;14;74820;18060;;
la;2;2559;8;5;20472;5118;;
r;1;2550;8;3;20400;2550;;
allemagne;9;2546;29;17;73834;22914;;
empereur;8;2519;19;14;47861;20152;;
article;7;2515;18;8;45270;17605;;
appelle;7;2496;21;8;52416;17472;;
general;7;2495;22;11;54890;17465;;
eu;2;2492;12;6;29904;4984;;
b;1;2477;9;3;22293;2477;;
font;4;2476;20;11;49520;9904;;
jeu;3;2464;19;9;46816;7392;;
juillet;7;2463;23;11;56649;17241;;
avril;5;2456;24;11;58944;12280;;
deja;4;2443;20;12;48860;9772;;
ca;2;2400;10;6;24000;4800;;
suis;4;2398;23;12;55154;9592;;
capitale;8;2393;22;11;52646;19144;;
centre;6;2340;16;11;37440;14040;;
petits;6;2331;26;14;60606;13986;;
veut;4;2329;24;11;55896;9316;;
tard;4;2312;22;11;50864;9248;;
anglais;7;2305;23;11;53015;16135;;
