word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
aujourd;7;3487;44;14;153428;24409
permet;6;3471;29;12;100659;20826
histoire;8;3413;45;16;153585;27304
toutes;6;3380;36;12;121680;20280
notamment;9;3369;56;18;188664;30321
mer;3;3366;14;6;47124;10098
royaume;7;3360;43;14;144480;23520
jours;5;3343;32;10;106976;16715
grace;5;3343;25;10;83575;16715
habitants;9;3290;54;18;177660;29610
cours;5;3260;29;10;94540;16300
jour;4;3258;27;8;87966;13032
me;2;3237;10;4;32370;6474
homme;5;3232;30;10;96960;16160
armee;5;3220;23;10;74060;16100
toujours;8;3200;53;16;169600;25600
petit;5;3191;27;10;86157;15955
region;6;3179;36;12;114444;19074
unis;4;3165;27;8;85455;12660
celle;5;3159;27;10;85293;15795
discussion;10;3156;59;20;186204;31560
pres;4;3147;18;8;56646;12588
h;1;3115;7;2;21805;3115
sera;4;3114;18;8;56052;12456
politique;9;3111;57;18;177327;27999
km;2;3101;16;4;49616;6202
surtout;7;3087;44;14;135828;21609
ne;2;3058;12;4;36696;6116
epoque;6;3047;36;12;109692;18282
effet;5;3043;26;10;79118;15215
gouvernement;12;3037;73;24;221701;36444
animaux;7;3033;48;14;145584;21231
debut;5;3019;28;10;84532;15095
cependant;9;3018;49;18;147882;27162
ouest;5;2997;30;10;89910;14985
mars;4;2986;20;8;59720;11944
age;3;2958;16;6;47328;8874
louis;5;2947;33;10;97251;14735
mai;3;2914;17;6;49538;8742
toute;5;2905;31;10;90055;14525
afin;4;2886;25;8;72150;11544
population;10;2880;64;20;184320;28800
compte;6;2868;33;12;94644;17208
pere;4;2868;17;8;48756;11472
te;2;2851;10;4;28510;5702
juin;4;2850;30;8;85500;11400
hommes;6;2849;35;12;99715;17094
eux;3;2837;22;6;62414;8511
president;9;2820;46;18;129720;25380
voir;4;2805;24;8;67320;11220
mois;4;2804;24;8;67296;11216
suite;5;2791;29;10;80939;13955
nombreuses;10;2788;57;20;158916;27880
nouveau;7;2785;47;14;130895;19495
corps;5;2756;26;10;71656;13780
parfois;7;2751;38;14;104538;19257
octobre;7;2732;39;14;106548;19124
ile;3;2730;17;6;46410;8190
cest;4;2727;20;8;54540;10908
ceux;4;2718;27;8;73386;10872
millions;8;2717;52;16;141284;21736
groupe;6;2712;35;12;94920;16272
republique;10;2712;60;20;162720;27120
pourquoi;8;2711;53;16;143683;21688
certaines;9;2701;47;18;126947;24309
dit;3;2699;16;6;43184;8097
janvier;7;2682;42;14;112644;18774
reste;5;2673;23;10;61479;13365
septembre;9;2648;44;18;116512;23832
nouvelle;8;2641;52;16;137332;21128
grands;6;2632;33;12;86856;15792
des;3;2626;13;6;34138;7878
trop;4;2618;22;8;57596;10472
ensuite;7;2614;41;14;107174;18298
personne;8;2608;45;16;117360;20864
chez;4;2602;25;8;65050;10408
quatre;6;2587;35;12;90545;15522
origine;7;2580;42;14;108360;18060
la;2;2559;12;4;30708;5118
r;1;2550;4;2;10200;2550
allemagne;9;2546;53;18;134938;22914
empereur;8;2519;39;16;98241;20152
article;7;2515;37;14;93055;17605
appelle;7;2496;37;14;92352;17472
general;7;2495;39;14;97305;17465
eu;2;2492;12;4;29904;4984
b;1;2477;6;2;14862;2477
font;4;2476;27;8;66852;9904
jeu;3;2464;20;6;49280;7392
juillet;7;2463;46;14;113298;17241
avril;5;2456;29;10;71224;12280
deja;4;2443;21;8;51303;9772
ca;2;2400;10;4;24000;4800
suis;4;2398;24;8;57552;9592
capitale;8;2393;43;16;102899;19144
centre;6;2340;31;12;72540;14040
petits;6;2331;32;12;74592;13986
veut;4;2329;25;8;58225;9316
tard;4;2312;19;8;43928;9248
anglais;7;2305;43;14;99115;16135
site;4;2292;21;8;48132;9168
tour;4;2290;25;8;57250;9160
ii;2;2284;12;4;27408;4568
droit;5;2280;27;10;61560;11400
etant;5;2271;29;10;65859;11355
dernier;7;2256;34;14;76704;15792
ensemble;8;2216;44;16;97504;17728
especes;7;2215;32;14;70880;15505
decembre;8;2210;37;16;81770;17680
novembre;8;2205;46;16;101430;17640
seul;4;2202;24;8;52848;8808
fevrier;7;2200;35;14;77000;15400
point;5;2188;32;10;70016;10940
langue;6;2188;39;12;85332;13128
aout;4;2187;26;8;56862;8748
italie;6;2185;34;12;74290;13110
jean;4;2183;25;8;54575;8732
notre;5;2171;29;10;62959;10855
travail;7;2169;40;14;86760;15183
grandes;7;2166;37;14;80142;15162
