word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
etats;5;3856;25;10;96400;19280;;
celui;5;3828;28;10;107184;19140;;
selon;5;3821;27;10;103167;19105;;
cas;3;3800;11;6;41800;11400;;
ci;2;3762;8;4;30096;7524;;
pouvoir;7;3692;43;14;158756;25844;;
famille;7;3687;41;14;151167;25809;;
forme;5;3674;34;10;124916;18370;;
lors;4;3644;25;8;91100;14576;;
fils;4;3609;23;8;83007;14436;;
va;2;3583;10;4;35830;7166;;
empire;6;3559;38;12;135242;21354;;
place;5;3539;25;10;88475;17695;;
nombre;6;3534;34;12;120156;21204;;
partir;6;3507;34;12;119238;21042;;
francaise;9;3506;42;18;147252;31554;;
hui;3;3495;14;6;48930;10485;;
aujourd;7;3487;39;14;135993;24409;;
permet;6;3471;40;12;138840;20826;;
histoire;8;3413;41;16;139933;27304;;
toutes;6;3380;35;12;118300;20280;;
notamment;9;3369;49;18;165081;30321;;
mer;3;3366;22;6;74052;10098;;
royaume;7;3360;44;14;147840;23520;;
jours;5;3343;30;10;100290;16715;;
grace;5;3343;28;10;93604;16715;;
habitants;9;3290;35;18;115150;29610;;
cours;5;3260;29;10;94540;16300;;
jour;4;3258;25;8;81450;13032;;
me;2;3237;14;4;45318;6474;;
homme;5;3232;30;10;96960;16160;;
armee;5;3220;30;10;96600;16100;;
toujours;8;3200;48;16;153600;25600;;
petit;5;3191;28;10;89348;15955;;
region;6;3179;35;12;111265;19074;;
unis;4;3165;20;8;63300;12660;;
celle;5;3159;30;10;94770;15795;;
discussion;10;3156;48;20;151488;31560;;
pres;4;3147;25;8;78675;12588;;
h;1;3115;3;2;9345;3115;;
sera;4;3114;21;8;65394;12456;;
politique;9;3111;52;18;161772;27999;;
km;2;3101;14;4;43414;6202;;
surtout;7;3087;44;14;135828;21609;;
ne;2;3058;10;4;30580;6116;;
epoque;6;3047;37;12;112739;18282;;
effet;5;3043;32;10;97376;15215;;
gouvernement;12;3037;76;24;230812;36444;;
animaux;7;3033;34;14;103122;21231;;
debut;5;3019;27;10;81513;15095;;
cependant;9;3018;43;18;129774;27162;;
ouest;5;2997;29;10;86913;14985;;
mars;4;2986;23;8;68678;11944;;
age;3;2958;16;6;47328;8874;;
louis;5;2947;28;10;82516;14735;;
mai;3;2914;14;6;40796;8742;;
toute;5;2905;30;10;87150;14525;;
afin;4;2886;17;8;49062;11544;;
population;10;2880;52;20;149760;28800;;
compte;6;2868;35;12;100380;17208;;
pere;4;2868;26;8;74568;11472;;
te;2;2851;12;4;34212;5702;;
juin;4;2850;20;8;57000;11400;;
hommes;6;2849;35;12;99715;17094;;
eux;3;2837;20;6;56740;8511;;
president;9;2820;50;18;141000;25380;;
voir;4;2805;25;8;70125;11220;;
mois;4;2804;22;8;61688;11216;;
suite;5;2791;28;10;78148;13955;;
nombreuses;10;2788;57;20;158916;27880;;
nouveau;7;2785;39;14;108615;19495;;
corps;5;2756;28;10;77168;13780;;
parfois;7;2751;37;14;101787;19257;;
octobre;7;2732;37;14;101084;19124;;
ile;3;2730;17;6;46410;8190;;
cest;4;2727;21;8;57267;10908;;
ceux;4;2718;24;8;65232;10872;;
millions;8;2717;44;16;119548;21736;;
groupe;6;2712;40;12;108480;16272;;
republique;10;2712;61;20;165432;27120;;
pourquoi;8;2711;49;16;132839;21688;;
certaines;9;2701;45;18;121545;24309;;
dit;3;2699;15;6;40485;8097;;
janvier;7;2682;37;14;99234;18774;;
reste;5;2673;31;10;82863;13365;;
septembre;9;2648;54;18;142992;23832;;
nouvelle;8;2641;50;16;132050;21128;;
grands;6;2632;32;12;84224;15792;;
des;3;2626;16;6;42016;7878;;
trop;4;2618;25;8;65450;10472;;
ensuite;7;2614;38;14;99332;18298;;
personne;8;2608;44;16;114752;20864;;
chez;4;2602;20;8;52040;10408;;
quatre;6;2587;36;12;93132;15522;;
origine;7;2580;39;14;100620;18060;;
la;2;2559;9;4;23031;5118;;
r;1;2550;8;2;20400;2550;;
allemagne;9;2546;50;18;127300;22914;;
empereur;8;2519;55;16;138545;20152;;
article;7;2515;37;14;93055;17605;;
appelle;7;2496;40;14;99840;17472;;
general;7;2495;41;14;102295;17465;;
eu;2;2492;13;4;32396;4984;;
b;1;2477;3;2;7431;2477;;
font;4;2476;22;8;54472;9904;;
jeu;3;2464;18;6;44352;7392;;
juillet;7;2463;42;14;103446;17241;;
avril;5;2456;29;10;71224;12280;;
deja;4;2443;18;8;43974;9772;;
ca;2;2400;6;4;14400;4800;;
suis;4;2398;21;8;50358;9592;;
capitale;8;2393;37;16;88541;19144;;
centre;6;2340;34;12;79560;14040;;
petits;6;2331;33;12;76923;13986;;
veut;4;2329;27;8;62883;9316;;
tard;4;2312;21;8;48552;9248;;
anglais;7;2305;32;14;73760;16135;;
site;4;2292;21;8;48132;9168;;
tour;4;2290;26;8;59540;9160;;
ii;2;2284;8;4;18272;4568;;
droit;5;2280;28;10;63840;11400;;
etant;5;2271;24;10;54504;11355;;
dernier;7;2256;41;14;92496;15792;;
ensemble;8;2216;45;16;99720;17728;;
especes;7;2215;38;14;84170;15505;;
decembre;8;2210;46;16;101660;17680;;
novembre;8;2205;48;16;105840;17640;;
seul;4;2202;25;8;55050;8808;;
fevrier;7;2200;47;14;103400;15400;;
point;5;2188;25;10;54700;10940;;
langue;6;2188;34;12;74392;13128;;
aout;4;2187;20;8;43740;8748;;
italie;6;2185;29;12;63365;13110;;
jean;4;2183;17;8;37111;8732;;
notre;5;2171;29;10;62959;10855;;
travail;7;2169;37;14;80253;15183;;
grandes;7;2166;38;14;82308;15162;;
merci;5;2152;30;10;64560;10760;;
assez;5;2145;25;10;53625;10725;;
or;2;2133;13;4;27729;4266;;
ecole;5;2132;28;10;59696;10660;;
systeme;7;2124;44;14;93456;14868;;
serie;5;2116;29;10;61364;10580;;
long;4;2098;24;8;50352;8392;;
moyen;5;2080;31;10;64480;10400;;
parti;5;2070;26;10;53820;10350;;
mere;4;2070;28;8;57960;8280;;
ier;3;2068;18;6;37224;6204;;
periode;7;2062;40;14;82480;14434;;
durant;6;2057;32;12;65824;12342;;
agit;4;2050;20;8;41000;8200;;
differentes;11;2044;64;22;130816;22484;;
ayant;5;2034;22;10;44748;10170;;
jeux;4;2020;25;8;50500;8080;;
bonjour;7;2017;37;14;74629;14119;;
afrique;7;2003;41;14;82123;14021;;
chef;4;1984;20;8;39680;7936;;
autour;6;1982;35;12;69370;11892;;
differents;10;1973;58;20;114434;19730;;
generalement;12;1972;71;24;140012;23664;;
x;1;1968;7;2;13776;1968;;
page;4;1967;22;8;43274;7868;;
charles;7;1966;35;14;68810;13762;;
plupart;7;1963;42;14;82446;13741;;
doivent;7;1962;38;14;74556;13734;;
jeune;5;1960;28;10;54880;9800;;
tete;4;1958;24;8;46992;7832;;
mondiale;8;1955;41;16;80155;15640;;
villes;6;1953;37;12;72261;11718;;
rome;4;1953;27;8;52731;7812;;
mot;3;1952;19;6;37088;5856;;
part;4;1952;22;8;42944;7808;;
seconde;7;1952;35;14;68320;13664;;
petite;6;1943;34;12;66062;11658;;
metres;6;1935;39;12;75465;11610;;
dieu;4;1929;22;8;42438;7716;;
femmes;6;1924;40;12;76960;11544;;
face;4;1923;19;8;36537;7692;;
belgique;8;1890;48;16;90720;15120;;
cause;5;1889;24;10;45336;9445;;
musique;7;1888;44;14;83072;13216;;
situee;6;1886;34;12;64124;11316;;
jeunes;6;1876;33;12;61908;11256;;
ur;2;1868;15;4;28020;3736;;
haut;4;1865;18;8;33570;7460;;
appele;6;1865;33;12;61545;11190;;
aide;4;1865;17;8;31705;7460;;
donne;5;1856;24;10;44544;9280;;
pierre;6;1848;38;12;70224;11088;;
av;2;1848;10;4;18480;3696;;
ancien;6;1846;24;12;44304;11076;;
moment;6;1846;37;12;68302;11076;;
equipe;6;1831;36;12;65916;10986;;
ailleurs;8;1828;46;16;84088;14624;;
russie;6;1827;35;12;63945;10962;;
important;9;1822;49;18;89278;16398;;
soleil;6;1816;34;12;61744;10896;;
regions;7;1815;40;14;72600;12705;;
utilise;7;1811;39;14;70629;12677;;
avaient;7;1802;32;14;57664;12614;;
deuxieme;8;1801;49;16;88249;14408;;
connu;5;1801;24;10;43224;9005;;
jamais;6;1789;26;12;46514;10734;;
parmi;5;1784;28;10;49952;8920;;
mon;3;1783;17;6;30311;5349;;
lorsque;7;1780;45;14;80100;12460;;
ordre;5;1778;32;10;56896;8890;;
passe;5;1778;24;10;42672;8890;;
etc;3;1773;16;6;28368;5319;;
comment;7;1762;41;14;72242;12334;;
espagne;7;1757;37;14;65009;12299;;
fille;5;1751;31;10;54281;8755;;
