word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
etats;5;3856;21;15;80976;19280;;
celui;5;3828;27;15;103356;19140;;
selon;5;3821;24;15;91704;19105;;
cas;3;3800;15;9;57000;11400;;
ci;2;3762;12;6;45144;7524;;
pouvoir;7;3692;47;21;173524;25844;;
famille;7;3687;39;21;143793;25809;;
forme;5;3674;34;15;124916;18370;;
lors;4;3644;26;12;94744;14576;;
fils;4;3609;23;12;83007;14436;;
va;2;3583;11;6;39413;7166;;
empire;6;3559;35;18;124565;21354;;
place;5;3539;27;15;95553;17695;;
nombre;6;3534;39;18;137826;21204;;
partir;6;3507;41;18;143787;21042;;
francaise;9;3506;50;27;175300;31554;;
hui;3;3495;19;9;66405;10485;;
aujourd;7;3487;47;21;163889;24409;;
permet;6;3471;35;18;121485;20826;;
histoire;8;3413;46;24;156998;27304;;
toutes;6;3380;29;18;98020;20280;;
notamment;9;3369;47;27;158343;30321;;
mer;3;3366;20;9;67320;10098;;
royaume;7;3360;45;21;151200;23520;;
jours;5;3343;35;15;117005;16715;;
grace;5;3343;31;15;103633;16715;;
habitants;9;3290;48;27;157920;29610;;
cours;5;3260;33;15;107580;16300;;
jour;4;3258;31;12;100998;13032;;
me;2;3237;10;6;32370;6474;;
homme;5;3232;31;15;100192;16160;;
armee;5;3220;27;15;86940;16100;;
toujours;8;3200;52;24;166400;25600;;
petit;5;3191;25;15;79775;15955;;
region;6;3179;36;18;114444;19074;;
unis;4;3165;20;12;63300;12660;;
celle;5;3159;25;15;78975;15795;;
discussion;10;3156;52;30;164112;31560;;
pres;4;3147;24;12;75528;12588;;
h;1;3115;8;3;24920;3115;;
sera;4;3114;21;12;65394;12456;;
politique;9;3111;51;27;158661;27999;;
km;2;3101;16;6;49616;6202;;
surtout;7;3087;42;21;129654;21609;;
ne;2;3058;8;6;24464;6116;;
epoque;6;3047;33;18;100551;18282;;
effet;5;3043;27;15;82161;15215;;
gouvernement;12;3037;67;36;203479;36444;;
animaux;7;3033;39;21;118287;21231;;
debut;5;3019;28;15;84532;15095;;
cependant;9;3018;45;27;135810;27162;;
ouest;5;2997;24;15;71928;14985;;
mars;4;2986;25;12;74650;11944;;
age;3;2958;14;9;41412;8874;;
louis;5;2947;27;15;79569;14735;;
mai;3;2914;16;9;46624;8742;;
toute;5;2905;25;15;72625;14525;;
afin;4;2886;22;12;63492;11544;;
population;10;2880;57;30;164160;28800;;
compte;6;2868;35;18;100380;17208;;
pere;4;2868;23;12;65964;11472;;
te;2;2851;8;6;22808;5702;;
juin;4;2850;25;12;71250;11400;;
hommes;6;2849;35;18;99715;17094;;
eux;3;2837;17;9;48229;8511;;
president;9;2820;48;27;135360;25380;;
voir;4;2805;28;12;78540;11220;;
mois;4;2804;22;12;61688;11216;;
suite;5;2791;23;15;64193;13955;;
nombreuses;10;2788;56;30;156128;27880;;
nouveau;7;2785;37;21;103045;19495;;
corps;5;2756;34;15;93704;13780;;
parfois;7;2751;44;21;121044;19257;;
octobre;7;2732;45;21;122940;19124;;
ile;3;2730;14;9;38220;8190;;
cest;4;2727;19;12;51813;10908;;
ceux;4;2718;24;12;65232;10872;;
millions;8;2717;44;24;119548;21736;;
groupe;6;2712;39;18;105768;16272;;
republique;10;2712;62;30;168144;27120;;
pourquoi;8;2711;54;24;146394;21688;;
certaines;9;2701;46;27;124246;24309;;
dit;3;2699;16;9;43184;8097;;
janvier;7;2682;43;21;115326;18774;;
reste;5;2673;25;15;66825;13365;;
septembre;9;2648;50;27;132400;23832;;
nouvelle;8;2641;42;24;110922;21128;;
grands;6;2632;36;18;94752;15792;;
des;3;2626;13;9;34138;7878;;
trop;4;2618;28;12;73304;10472;;
ensuite;7;2614;31;21;81034;18298;;
personne;8;2608;43;24;112144;20864;;
chez;4;2602;27;12;70254;10408;;
quatre;6;2587;36;18;93132;15522;;
origine;7;2580;41;21;105780;18060;;
la;2;2559;10;6;25590;5118;;
r;1;2550;10;3;25500;2550;;
allemagne;9;2546;45;27;114570;22914;;
empereur;8;2519;49;24;123431;20152;;
article;7;2515;40;21;100600;17605;;
appelle;7;2496;36;21;89856;17472;;
general;7;2495;38;21;94810;17465;;
eu;2;2492;9;6;22428;4984;;
b;1;2477;8;3;19816;2477;;
font;4;2476;24;12;59424;9904;;
jeu;3;2464;18;9;44352;7392;;
juillet;7;2463;40;21;98520;17241;;
avril;5;2456;32;15;78592;12280;;
deja;4;2443;22;12;53746;9772;;
ca;2;2400;11;6;26400;4800;;
suis;4;2398;19;12;45562;9592;;
capitale;8;2393;41;24;98113;19144;;
centre;6;2340;33;18;77220;14040;;
petits;6;2331;29;18;67599;13986;;
veut;4;2329;21;12;48909;9316;;
tard;4;2312;25;12;57800;9248;;
anglais;7;2305;35;21;80675;16135;;
site;4;2292;17;12;38964;9168;;
tour;4;2290;27;12;61830;9160;;
ii;2;2284;10;6;22840;4568;;
droit;5;2280;32;15;72960;11400;;
etant;5;2271;22;15;49962;11355;;
dernier;7;2256;42;21;94752;15792;;
ensemble;8;2216;39;24;86424;17728;;
especes;7;2215;31;21;68665;15505;;
decembre;8;2210;47;24;103870;17680;;
novembre;8;2205;49;24;108045;17640;;
seul;4;2202;19;12;41838;8808;;
fevrier;7;2200;46;21;101200;15400;;
point;5;2188;28;15;61264;10940;;
langue;6;2188;31;18;67828;13128;;
aout;4;2187;21;12;45927;8748;;
italie;6;2185;28;18;61180;13110;;
jean;4;2183;21;12;45843;8732;;
notre;5;2171;29;15;62959;10855;;
travail;7;2169;41;21;88929;15183;;
grandes;7;2166;39;21;84474;15162;;
merci;5;2152;32;15;68864;10760;;
assez;5;2145;24;15;51480;10725;;
or;2;2133;16;6;34128;4266;;
ecole;5;2132;25;15;53300;10660;;
systeme;7;2124;35;21;74340;14868;;
serie;5;2116;25;15;52900;10580;;
long;4;2098;24;12;50352;8392;;
moyen;5;2080;30;15;62400;10400;;
parti;5;2070;31;15;64170;10350;;
mere;4;2070;23;12;47610;8280;;
ier;3;2068;18;9;37224;6204;;
periode;7;2062;40;21;82480;14434;;
durant;6;2057;36;18;74052;12342;;
agit;4;2050;21;12;43050;8200;;
differentes;11;2044;60;33;122640;22484;;
ayant;5;2034;27;15;54918;10170;;
jeux;4;2020;26;12;52520;8080;;
bonjour;7;2017;50;21;100850;14119;;
afrique;7;2003;44;21;88132;14021;;
chef;4;1984;26;12;51584;7936;;
autour;6;1982;37;18;73334;11892;;
differents;10;1973;57;30;112461;19730;;
generalement;12;1972;61;36;120292;23664;;
x;1;1968;8;3;15744;1968;;
page;4;1967;21;12;41307;7868;;
charles;7;1966;42;21;82572;13762;;
plupart;7;1963;45;21;88335;13741;;
doivent;7;1962;37;21;72594;13734;;
jeune;5;1960;26;15;50960;9800;;
tete;4;1958;16;12;31328;7832;;
mondiale;8;1955;42;24;82110;15640;;
villes;6;1953;31;18;60543;11718;;
rome;4;1953;26;12;50778;7812;;
mot;3;1952;18;9;35136;5856;;
part;4;1952;26;12;50752;7808;;
seconde;7;1952;34;21;66368;13664;;
petite;6;1943;28;18;54404;11658;;
metres;6;1935;32;18;61920;11610;;
dieu;4;1929;20;12;38580;7716;;
femmes;6;1924;32;18;61568;11544;;
face;4;1923;22;12;42306;7692;;
belgique;8;1890;46;24;86940;15120;;
cause;5;1889;24;15;45336;9445;;
musique;7;1888;39;21;73632;13216;;
situee;6;1886;26;18;49036;11316;;
jeunes;6;1876;30;18;56280;11256;;
ur;2;1868;16;6;29888;3736;;
haut;4;1865;23;12;42895;7460;;
appele;6;1865;30;18;55950;11190;;
aide;4;1865;18;12;33570;7460;;
donne;5;1856;25;15;46400;9280;;
pierre;6;1848;38;18;70224;11088;;
av;2;1848;11;6;20328;3696;;
ancien;6;1846;29;18;53534;11076;;
moment;6;1846;33;18;60918;11076;;
equipe;6;1831;32;18;58592;10986;;
ailleurs;8;1828;44;24;80432;14624;;
russie;6;1827;32;18;58464;10962;;
important;9;1822;54;27;98388;16398;;
soleil;6;1816;30;18;54480;10896;;
regions;7;1815;40;21;72600;12705;;
utilise;7;1811;34;21;61574;12677;;
avaient;7;1802;33;21;59466;12614;;
deuxieme;8;1801;41;24;73841;14408;;
connu;5;1801;29;15;52229;9005;;
jamais;6;1789;33;18;59037;10734;;
parmi;5;1784;33;15;58872;8920;;
mon;3;1783;18;9;32094;5349;;
lorsque;7;1780;43;21;76540;12460;;
ordre;5;1778;35;15;62230;8890;;
passe;5;1778;22;15;39116;8890;;
etc;3;1773;15;9;26595;5319;;
comment;7;1762;40;21;70480;12334;;
espagne;7;1757;33;21;57981;12299;;
fille;5;1751;28;15;49028;8755;;
film;4;1741;26;12;45266;6964;;
bois;4;1738;23;12;39974;6952;;
possible;8;1735;43;24;74605;13880;;
particulier;11;1721;68;33;117028;18931;;
an;2;1718;9;6;15462;3436;;
ecrit;5;1706;30;15;51180;8530;;
angleterre;10;1703;56;30;95368;17030;;
vient;5;1702;25;15;42550;8510;;
donne;5;1702;25;15;42550;8510;;
premiers;8;1700;49;24;83300;13600;;
niveau;6;1697;30;18;50910;10182;;
articles;8;1696;44;24;74624;13568;;
but;3;1691;19;9;32129;5073;;
bas;3;1688;16;9;27008;5064;;
territoire;10;1682;62;30;104284;16820;;
mettre;6;1681;33;18;55473;10086;;
lorsqu;6;1672;40;18;66880;10032;;
prend;5;1669;31;15;51739;8345;;
vit;3;1667;17;9;28339;5001;;
amerique;8;1666;46;24;76636;13328;;
titre;5;1663;28;15;46564;8315;;
membres;7;1656;42;21;69552;11592;;
prix;4;1650;30;12;49500;6600;;
hiver;5;1647;33;15;54351;8235;;
demande;7;1646;34;21;55964;11522;;
contr;5;1644;33;15;54252;8220;;
femme;5;1644;28;15;46032;8220;;
commence;8;1642;45;24;73890;13136;;
cree;4;1640;23;12;37720;6560;;
eglise;6;1639;28;18;45892;9834;;
seulement;9;1635;42;27;68670;14715;;
vont;4;1633;23;12;37559;6532;;
te;2;1632;8;6;13056;3264;;
parce;5;1623;31;15;50313;8115;;
revolution;10;1603;59;30;94577;16030;;
bon;3;1598;19;9;30362;4794;;
parents;7;1592;38;21;60496;11144;;
lumiere;7;1590;40;21;63600;11130;;
porte;5;1589;31;15;49259;7945;;
question;8;1576;42;24;66192;12608;;
aurait;6;1573;34;18;53482;9438;;
cinq;4;1571;25;12;39275;6284;;
possede;7;1566;33;21;51678;10962;;
college;7;1563;38;21;59394;10941;;
prendre;7;1559;44;21;68596;10913;;
fonction;8;1557;47;24;73179;12456;;
rouge;5;1555;32;15;49760;7775;;
the;3;1555;16;9;24880;4665;;
mouvement;9;1548;49;27;75852;13932;;
tes;3;1546;12;9;18552;4638;;
seule;5;1543;22;15;33946;7715;;
departement;11;1543;58;33;89494;16973;;
couleur;7;1539;44;21;67716;10773;;
ministre;8;1533;44;24;67452;12264;;
ligne;5;1530;26;15;39780;7650;;
devant;6;1516;30;18;45480;9096;;
romain;6;1513;37;18;55981;9078;;
succes;6;1507;31;18;46717;9042;;
mieux;5;1505;29;15;43645;7525;;
militaire;9;1503;50;27;75150;13527;;
creer;5;1501;33;15;49533;7505;;
moi;3;1495;18;9;26910;4485;;
bonne;5;1488;27;15;40176;7440;;
mis;3;1487;16;9;23792;4461;;
chine;5;1487;28;15;41636;7435;;
abord;5;1486;34;15;50524;7430;;
savoir;6;1484;36;18;53424;8904;;
mesure;6;1482;33;18;48906;8892;;
taille;6;1481;29;18;42949;8886;;
serait;6;1481;31;18;45911;8886;;
air;3;1477;19;9;28063;4431;;
situe;5;1475;23;15;33925;7375;;
ni;2;1475;10;6;14750;2950;;
nos;3;1475;15;9;22125;4425;;
bataille;8;1475;41;24;60475;11800;;
malgre;6;1474;37;18;54538;8844;;
milieu;6;1469;32;18;47008;8814;;
met;3;1457;15;9;21855;4371;;
raison;6;1455;34;18;49470;8730;;
mal;3;1455;17;9;24735;4365;;
donner;6;1447;35;18;50645;8682;;
union;5;1446;27;15;39042;7230;;
enfant;6;1441;30;18;43230;8646;;
produit;7;1440;45;21;64800;10080;;
animal;6;1440;31;18;44640;8640;;
trouver;7;1435;47;21;67445;10045;;
sol;3;1432;16;9;22912;4296;;
theatre;7;1429;38;21;54302;10003;;
aller;5;1429;29;15;41441;7145;;
rien;4;1428;23;12;32844;5712;;
type;4;1422;24;12;34128;5688;;
maison;6;1420;31;18;44020;8520;;
livre;5;1420;31;15;44020;7100;;
ma;2;1407;11;6;15477;2814;;
energie;7;1406;36;21;50616;9842;;
