word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
etats;5;3856;25;10;96400;19280;;
celui;5;3828;26;10;99528;19140;;
selon;5;3821;34;10;129914;19105;;
cas;3;3800;11;6;41800;11400;;
ci;2;3762;7;4;26334;7524;;
pouvoir;7;3692;50;14;184600;25844;;
famille;7;3687;37;14;136419;25809;;
forme;5;3674;33;10;121242;18370;;
lors;4;3644;24;8;87456;14576;;
fils;4;3609;21;8;75789;14436;;
va;2;3583;10;4;35830;7166;;
empire;6;3559;36;12;128124;21354;;
place;5;3539;28;10;99092;17695;;
nombre;6;3534;37;12;130758;21204;;
partir;6;3507;29;12;101703;21042;;
francaise;9;3506;41;18;143746;31554;;
hui;3;3495;19;6;66405;10485;;
aujourd;7;3487;38;14;132506;24409;;
permet;6;3471;39;12;135369;20826;;
histoire;8;3413;45;16;153585;27304;;
toutes;6;3380;39;12;131820;20280;;
notamment;9;3369;59;18;198771;30321;;
mer;3;3366;17;6;57222;10098;;
royaume;7;3360;46;14;154560;23520;;
jours;5;3343;29;10;96947;16715;;
grace;5;3343;24;10;80232;16715;;
habitants;9;3290;44;18;144760;29610;;
cours;5;3260;29;10;94540;16300;;
jour;4;3258;24;8;78192;13032;;
me;2;3237;13;4;42081;6474;;
homme;5;3232;38;10;122816;16160;;
armee;5;3220;25;10;80500;16100;;
toujours;8;3200;51;16;163200;25600;;
petit;5;3191;31;10;98921;15955;;
region;6;3179;38;12;120802;19074;;
unis;4;3165;23;8;72795;12660;;
celle;5;3159;28;10;88452;15795;;
discussion;10;3156;54;20;170424;31560;;
pres;4;3147;25;8;78675;12588;;
h;1;3115;9;2;28035;3115;;
sera;4;3114;17;8;52938;12456;;
politique;9;3111;61;18;189771;27999;;
km;2;3101;12;4;37212;6202;;
surtout;7;3087;44;14;135828;21609;;
ne;2;3058;14;4;42812;6116;;
epoque;6;3047;49;12;149303;18282;;
effet;5;3043;32;10;97376;15215;;
gouvernement;12;3037;83;24;252071;36444;;
animaux;7;3033;39;14;118287;21231;;
debut;5;3019;27;10;81513;15095;;
cependant;9;3018;55;18;165990;27162;;
ouest;5;2997;33;10;98901;14985;;
mars;4;2986;18;8;53748;11944;;
age;3;2958;16;6;47328;8874;;
louis;5;2947;30;10;88410;14735;;
mai;3;2914;12;6;34968;8742;;
toute;5;2905;34;10;98770;14525;;
afin;4;2886;20;8;57720;11544;;
population;10;2880;70;20;201600;28800;;
compte;6;2868;42;12;120456;17208;;
pere;4;2868;26;8;74568;11472;;
te;2;2851;12;4;34212;5702;;
juin;4;2850;22;8;62700;11400;;
hommes;6;2849;43;12;122507;17094;;
eux;3;2837;23;6;65251;8511;;
president;9;2820;53;18;149460;25380;;
voir;4;2805;24;8;67320;11220;;
mois;4;2804;24;8;67296;11216;;
suite;5;2791;27;10;75357;13955;;
nombreuses;10;2788;60;20;167280;27880;;
nouveau;7;2785;47;14;130895;19495;;
corps;5;2756;32;10;88192;13780;;
parfois;7;2751;40;14;110040;19257;;
octobre;7;2732;41;14;112012;19124;;
ile;3;2730;15;6;40950;8190;;
cest;4;2727;21;8;57267;10908;;
ceux;4;2718;27;8;73386;10872;;
millions;8;2717;47;16;127699;21736;;
groupe;6;2712;44;12;119328;16272;;
republique;10;2712;63;20;170856;27120;;
pourquoi;8;2711;60;16;162660;21688;;
certaines;9;2701;44;18;118844;24309;;
dit;3;2699;14;6;37786;8097;;
janvier;7;2682;35;14;93870;18774;;
reste;5;2673;27;10;72171;13365;;
septembre;9;2648;53;18;140344;23832;;
nouvelle;8;2641;56;16;147896;21128;;
grands;6;2632;32;12;84224;15792;;
des;3;2626;16;6;42016;7878;;
trop;4;2618;29;8;75922;10472;;
