word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
europe;6;3982;44;18;175208;23892;;;
environ;7;3972;51;21;202572;27804;;;
non;3;3971;13;9;51623;11913;;;
devient;7;3965;57;21;226005;27755;;;
fut;3;3909;29;9;113361;11727;;;
saint;5;3907;37;15;144559;19535;;;
enfants;7;3894;45;21;175230;27258;;;
existe;6;3881;58;18;225098;23286;;;
etats;5;3856;39;15;150384;19280;;;
celui;5;3828;48;15;183744;19140;;;
selon;5;3821;39;15;149019;19105;;;
cas;3;3800;17;9;64600;11400;;;
ci;2;3762;16;6;60192;7524;;;
pouvoir;7;3692;58;21;214136;25844;;;
famille;7;3687;72;21;265464;25809;;;
forme;5;3674;43;15;157982;18370;;;
lors;4;3644;36;12;131184;14576;;;
fils;4;3609;42;12;151578;14436;;;
va;2;3583;15;6;53745;7166;;;
empire;6;3559;54;18;192186;21354;;;
place;5;3539;35;15;123865;17695;;;
nombre;6;3534;43;18;151962;21204;;;
partir;6;3507;46;18;161322;21042;;;
francaise;9;3506;58;27;203348;31554;;;
hui;3;3495;32;9;111840;10485;;;
aujourd;7;3487;56;21;195272;24409;;;
permet;6;3471;53;18;183963;20826;;;
histoire;8;3413;71;24;242323;27304;;;
toutes;6;3380;52;18;175760;20280;;;
notamment;9;3369;73;27;245937;30321;;;
mer;3;3366;30;9;100980;10098;;;
royaume;7;3360;64;21;215040;23520;;;
jours;5;3343;45;15;150435;16715;;;
grace;5;3343;32;15;106976;16715;;;
habitants;9;3290;64;27;210560;29610;;;
cours;5;3260;38;15;123880;16300;;;
jour;4;3258;36;12;117288;13032;;;
me;2;3237;22;6;71214;6474;;;
homme;5;3232;52;15;168064;16160;;;
armee;5;3220;40;15;128800;16100;;;
toujours;8;3200;71;24;227200;25600;;;
petit;5;3191;44;15;140404;15955;;;
region;6;3179;44;18;139876;19074;;;
unis;4;3165;35;12;110775;12660;;;
celle;5;3159;47;15;148473;15795;;;
discussion;10;3156;80;30;252480;31560;;;
pres;4;3147;30;12;94410;12588;;;
h;1;3115;10;3;31150;3115;;;
sera;4;3114;27;12;84078;12456;;;
politique;9;3111;82;27;255102;27999;;;
km;2;3101;28;6;86828;6202;;;
surtout;7;3087;64;21;197568;21609;;;
ne;2;3058;11;6;33638;6116;;;
epoque;6;3047;43;18;131021;18282;;;
effet;5;3043;40;15;121720;15215;;;
gouvernement;12;3037;99;36;300663;36444;;;
animaux;7;3033;61;21;185013;21231;;;
debut;5;3019;38;15;114722;15095;;;
cependant;9;3018;52;27;156936;27162;;;
ouest;5;2997;42;15;125874;14985;;;
mars;4;2986;35;12;104510;11944;;;
age;3;2958;19;9;56202;8874;;;
louis;5;2947;50;15;147350;14735;;;
mai;3;2914;29;9;84506;8742;;;
toute;5;2905;43;15;124915;14525;;;
afin;4;2886;26;12;75036;11544;;;
population;10;2880;75;30;216000;28800;;;
compte;6;2868;48;18;137664;17208;;;
pere;4;2868;28;12;80304;11472;;;
te;2;2851;17;6;48467;5702;;;
juin;4;2850;38;12;108300;11400;;;
hommes;6;2849;61;18;173789;17094;;;
eux;3;2837;32;9;90784;8511;;;
president;9;2820;68;27;191760;25380;;;
voir;4;2805;36;12;100980;11220;;;
mois;4;2804;40;12;112160;11216;;;
suite;5;2791;48;15;133968;13955;;;
nombreuses;10;2788;79;30;220252;27880;;;
nouveau;7;2785;53;21;147605;19495;;;
corps;5;2756;33;15;90948;13780;;;
parfois;7;2751;50;21;137550;19257;;;
octobre;7;2732;44;21;120208;19124;;;
ile;3;2730;32;9;87360;8190;;;
cest;4;2727;31;12;84537;10908;;;
ceux;4;2718;37;12;100566;10872;;;
millions;8;2717;83;24;225511;21736;;;
groupe;6;2712;46;18;124752;16272;;;
republique;10;2712;86;30;233232;27120;;;
pourquoi;8;2711;64;24;173504;21688;;;
certaines;9;2701;64;27;172864;24309;;;
dit;3;2699;27;9;72873;8097;;;
janvier;7;2682;57;21;152874;18774;;;
reste;5;2673;41;15;109593;13365;;;
septembre;9;2648;73;27;193304;23832;;;
nouvelle;8;2641;74;24;195434;21128;;;
grands;6;2632;39;18;102648;15792;;;
des;3;2626;22;9;57772;7878;;;
trop;4;2618;29;12;75922;10472;;;
ensuite;7;2614;59;21;154226;18298;;;
personne;8;2608;50;24;130400;20864;;;
chez;4;2602;38;12;98876;10408;;;
quatre;6;2587;46;18;119002;15522;;;
origine;7;2580;55;21;141900;18060;;;
la;2;2559;17;6;43503;5118;;;
r;1;2550;8;3;20400;2550;;;
allemagne;9;2546;76;27;193496;22914;;;
empereur;8;2519;69;24;173811;20152;;;
article;7;2515;58;21;145870;17605;;;
appelle;7;2496;57;21;142272;17472;;;
general;7;2495;52;21;129740;17465;;;
eu;2;2492;18;6;44856;4984;;;
b;1;2477;4;3;9908;2477;;;
font;4;2476;27;12;66852;9904;;;
jeu;3;2464;30;9;73920;7392;;;
juillet;7;2463;79;21;194577;17241;;;
avril;5;2456;48;15;117888;12280;;;
deja;4;2443;28;12;68404;9772;;;
ca;2;2400;8;6;19200;4800;;;
suis;4;2398;40;12;95920;9592;;;
capitale;8;2393;59;24;141187;19144;;;
centre;6;2340;41;18;95940;14040;;;
petits;6;2331;53;18;123543;13986;;;
veut;4;2329;40;12;93160;9316;;;
tard;4;2312;27;12;62424;9248;;;
anglais;7;2305;53;21;122165;16135;;;
site;4;2292;37;12;84804;9168;;;
tour;4;2290;34;12;77860;9160;;;
ii;2;2284;22;6;50248;4568;;;
droit;5;2280;40;15;91200;11400;;;
etant;5;2271;34;15;77214;11355;;;
dernier;7;2256;51;21;115056;15792;;;
ensemble;8;2216;67;24;148472;17728;;;
especes;7;2215;50;21;110750;15505;;;
decembre;8;2210;59;24;130390;17680;;;
novembre;8;2205;62;24;136710;17640;;;
seul;4;2202;41;12;90282;8808;;;
fevrier;7;2200;61;21;134200;15400;;;
point;5;2188;36;15;78768;10940;;;
langue;6;2188;48;18;105024;13128;;;
aout;4;2187;29;12;63423;8748;;;
italie;6;2185;56;18;122360;13110;;;
