word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
ai;2;4152;8;4;33216;8304;;;
doit;4;4141;21;8;86961;16564;;;
terre;5;4134;21;10;86814;20670;;;
trouve;6;4133;31;12;128123;24798;;;
etat;4;4129;17;8;70193;16516;;;
e;1;4058;3;2;12174;4058;;;
faut;4;4051;21;8;85071;16204;;;
nombreux;8;4048;44;16;178112;32384;;;
soit;4;4037;18;8;72666;16148;;;
vikidia;7;4014;38;14;152532;28098;;;
quelques;8;4005;38;16;152190;32040;;;
chaque;6;4001;33;12;132033;24006;;;
annee;5;3983;18;10;71694;19915;;;
europe;6;3982;28;12;111496;23892;;;
environ;7;3972;33;14;131076;27804;;;
non;3;3971;14;6;55594;11913;;;
devient;7;3965;32;14;126880;27755;;;
fut;3;3909;17;6;66453;11727;;;
saint;5;3907;20;10;78140;19535;;;
enfants;7;3894;30;14;116820;27258;;;
existe;6;3881;26;12;100906;23286;;;
etats;5;3856;20;10;77120;19280;;;
celui;5;3828;23;10;88044;19140;;;
selon;5;3821;21;10;80241;19105;;;
cas;3;3800;13;6;49400;11400;;;
ci;2;3762;10;4;37620;7524;;;
pouvoir;7;3692;39;14;143988;25844;;;
famille;7;3687;34;14;125358;25809;;;
forme;5;3674;27;10;99198;18370;;;
lors;4;3644;19;8;69236;14576;;;
fils;4;3609;19;8;68571;14436;;;
va;2;3583;11;4;39413;7166;;;
empire;6;3559;27;12;96093;21354;;;
place;5;3539;24;10;84936;17695;;;
nombre;6;3534;31;12;109554;21204;;;
partir;6;3507;29;12;101703;21042;;;
francaise;9;3506;40;18;140240;31554;;;
hui;3;3495;17;6;59415;10485;;;
aujourd;7;3487;39;14;135993;24409;;;
permet;6;3471;28;12;97188;20826;;;
histoire;8;3413;38;16;129694;27304;;;
toutes;6;3380;27;12;91260;20280;;;
notamment;9;3369;43;18;144867;30321;;;
mer;3;3366;14;6;47124;10098;;;
royaume;7;3360;37;14;124320;23520;;;
