word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
five ;5;2;24;10;48;10
found ;6;2;29;12;58;12
four ;5;2;24;10;48;10
fox ;4;2;20;8;40;8
fuel ;5;2;24;10;48;10
gas ;4;2;18;8;36;8
gets ;5;2;20;10;40;10
getting ;8;2;34;16;68;16
glasses ;8;2;37;16;74;16
gun ;4;2;20;8;40;8
had ;4;2;17;8;34;8
hair ;5;2;21;10;42;10
hardest ;8;2;33;16;66;16
head ;5;2;20;10;40;10
his ;4;2;17;8;34;8
immediately ;12;2;56;24;112;24
information ;12;2;52;24;104;24
job ;4;2;23;8;46;8
join ;5;2;24;10;48;10
jumping ;8;2;47;16;94;16
know ;5;2;25;10;50;10
largest ;8;2;35;16;70;16
learn ;6;2;24;12;48;12
levee ;6;2;25;12;50;12
life ;5;2;22;10;44;10
light ;6;2;28;12;56;12
listen ;7;2;28;14;56;14
locked ;7;2;35;14;70;14
look ;5;2;24;10;48;10
looks ;6;2;29;12;58;12
loose ;6;2;24;12;48;12
made ;5;2;21;10;42;10
man ;4;2;16;8;32;8
means ;6;2;24;12;48;12
meet ;5;2;17;10;34;10
meeting ;8;2;33;16;66;16
mind ;5;2;23;10;46;10
monkey ;7;2;34;14;68;14
monthly ;8;2;37;16;74;16
need ;5;2;18;10;36;10
needs ;6;2;23;12;46;12
news ;5;2;21;10;42;10
nose ;5;2;18;10;36;10
objects ;8;2;40;16;80;16
or ;3;2;11;6;22;6
organization ;13;2;60;26;120;26
over ;5;2;22;10;44;10
people ;7;2;32;14;64;14
place ;6;2;28;12;56;12
put ;4;2;19;8;38;8
quick ;6;2;37;12;74;12
reading ;8;2;36;16;72;16
red ;4;2;16;8;32;8
registered ;11;2;47;22;94;22
response ;9;2;38;18;76;18
right ;6;2;27;12;54;12
rises ;6;2;25;12;50;12
risk ;5;2;25;10;50;10
round ;6;2;28;12;56;12
run ;4;2;18;8;36;8
say ;4;2;18;8;36;8
sent ;5;2;17;10;34;10
seven ;6;2;25;12;50;12
she ;4;2;15;8;30;8
shop ;5;2;23;10;46;10
shopping ;9;2;46;18;92;18
six ;4;2;20;8;40;8
small ;6;2;29;12;58;12
someone ;8;2;31;16;62;16
speed ;6;2;26;12;52;12
