word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
espace;6;1386;22;14;30492;8316
celebre;7;1382;28;21;38696;9674
loi;3;1381;13;9;17953;4143
chateau;7;1380;32;21;44160;9660
as;2;1378;15;6;20670;2756
base;4;1373;22;11;30206;5492
meurt;5;1373;25;11;34325;6865
parle;5;1367;21;14;28707;6835
gens;4;1366;22;12;30052;5464
art;3;1365;19;9;25935;4095
plut;4;1362;22;12;29964;5448
marie;5;1352;20;11;27040;6760
films;5;1348;24;14;32352;6740
argent;6;1343;22;11;29546;8058
droite;6;1342;19;11;25498;8052
mes;3;1342;15;8;20130;4026
ados;4;1341;26;12;34866;5364
ici;3;1341;10;5;13410;4023
devenir;7;1339;23;14;30797;9373
chose;5;1332;23;14;30636;6660
besoin;6;1330;21;11;27930;7980
appelee;7;1327;38;21;50426;9289
principalement;14;1325;20;11;26500;18550
romains;7;1322;35;17;46270;9254
longtemps;9;1318;17;11;22406;11862
seront;6;1318;23;14;30314;7908
coree;5;1315;24;15;31560;6575
scientifique;12;1315;23;11;30245;15780
espece;6;1314;15;8;19710;7884
heures;6;1313;24;11;31512;7878
laquelle;8;1310;19;11;24890;10480
troisieme;9;1310;25;11;32750;11790
uvre;4;1310;23;12;30130;5240
rapidement;10;1307;17;8;22219;13070
enfin;5;1303;10;5;13030;6515
force;5;1302;23;14;29946;6510
conseil;7;1301;28;17;36428;9107
proche;6;1300;21;14;27300;7800
duc;3;1299;12;9;15588;3897
nomme;5;1297;24;11;31128;6485
produits;8;1296;25;14;32400;10368
vivent;6;1294;30;14;38820;7764
societe;7;1293;19;11;24567;9051
ton;3;1287;20;8;25740;3861
texte;5;1286;24;11;30864;6430
nationale;9;1279;32;14;40928;11511
presente;8;1277;41;24;52357;10216
plantes;7;1275;29;17;36975;8925
vote;4;1270;27;11;34290;5080
er;2;1267;10;6;12670;2534
idee;4;1263;17;8;21471;5052
allemand;8;1257;28;17;35196;10056
parler;6;1255;24;14;30120;7530
derniere;8;1253;16;11;20048;10024
nouvelles;9;1253;33;14;41349;11277
dessus;6;1252;25;14;31300;7512
nuit;4;1246;24;8;29904;4984
religion;8;1241;25;14;31025;9928
saison;6;1241;26;14;32266;7446
utilise;7;1240;11;5;13640;8680
presque;7;1240;16;8;19840;8680
rapport;7;1239;25;11;30975;8673
public;6;1238;21;11;25998;7428
japon;5;1238;20;11;24760;6190
interieur;9;1238;45;27;55710;11142
peuple;6;1237;24;14;29688;7422
regime;6;1237;32;18;39584;7422
maniere;7;1233;34;21;41922;8631
arrive;6;1231;18;8;22158;7386
reine;5;1229;23;11;28267;6145
super;5;1228;19;8;23332;6140
sert;4;1227;22;12;26994;4908
passer;6;1222;27;14;32994;7332
naissance;9;1222;23;11;28106;10998
pris;4;1221;17;11;20757;4884
plein;5;1213;15;8;18195;6065
politiques;10;1211;30;17;36330;12110
droits;6;1207;20;11;24140;7242
eleves;6;1205;29;18;34945;7230
pape;4;1197;18;12;21546;4788
xixe;4;1193;26;11;31018;4772
simple;6;1192;23;11;27416;7152
tant;4;1191;16;8;19056;4764
asie;4;1186;25;11;29650;4744
latin;5;1185;17;11;20145;5925
surface;7;1185;30;14;35550;8295
autriche;8;1184;32;14;37888;9472
education;9;1183;22;11;26026;10647
europeenne;10;1181;32;17;37792;11810
nouveaux;8;1180;34;14;40120;9440
philippe;8;1180;14;8;16520;9440
regne;5;1180;29;15;34220;5900
sens;4;1178;22;11;25916;4712
noir;4;1172;21;11;24612;4688
points;6;1171;21;11;24591;7026
utiliser;8;1170;20;8;23400;9360
celles;6;1168;22;14;25696;7008
service;7;1166;24;14;27984;8162
memes;5;1164;29;15;33756;5820
uni;3;1162;16;9;18592;3486
iles;4;1162;16;11;18592;4648
situation;9;1161;22;11;25542;10449
construction;12;1161;45;26;52245;13932
petites;7;1159;34;20;39406;8113
projet;6;1157;22;14;25454;6942
gros;4;1156;18;8;20808;4624
signifie;8;1151;22;11;25322;9208
photo;5;1150;19;11;21850;5750
henri;5;1147;12;5;13764;5735
vite;4;1146;17;8;19482;4584
action;6;1145;20;11;22900;6870
displaystyle;12;1139;23;14;26197;13668
gauche;6;1135;22;11;24970;6810
blanc;5;1132;25;14;28300;5660
catholique;10;1129;21;11;23709;11290
russe;5;1125;29;11;32625;5625
musee;5;1124;26;11;29224;5620
facon;5;1123;22;15;24706;5615
americain;9;1123;42;27;47166;10107
club;4;1123;20;11;22460;4492
