word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
aujourd;7;3487;37;21;129019;24409
permet;6;3471;31;18;107601;20826
histoire;8;3413;41;24;139933;27304
toutes;6;3380;34;18;114920;20280
notamment;9;3369;47;27;158343;30321
mer;3;3366;16;9;53856;10098
royaume;7;3360;39;21;131040;23520
jours;5;3343;29;15;96947;16715
grace;5;3343;21;15;70203;16715
habitants;9;3290;42;27;138180;29610
cours;5;3260;26;15;84760;16300
jour;4;3258;23;12;74934;13032
me;2;3237;9;6;29133;6474
homme;5;3232;25;15;80800;16160
armee;5;3220;24;15;77280;16100
toujours;8;3200;46;24;147200;25600
petit;5;3191;27;15;86157;15955
region;6;3179;31;18;98549;19074
unis;4;3165;21;12;66465;12660
celle;5;3159;21;15;66339;15795
discussion;10;3156;49;30;154644;31560
pres;4;3147;22;12;69234;12588
h;1;3115;6;3;18690;3115
sera;4;3114;21;12;65394;12456
politique;9;3111;46;27;143106;27999
km;2;3101;13;6;40313;6202
surtout;7;3087;45;21;138915;21609
ne;2;3058;11;6;33638;6116
epoque;6;3047;37;18;112739;18282
effet;5;3043;23;15;69989;15215
gouvernement;12;3037;62;36;188294;36444
animaux;7;3033;35;21;106155;21231
debut;5;3019;25;15;75475;15095
cependant;9;3018;42;27;126756;27162
ouest;5;2997;29;15;86913;14985
mars;4;2986;20;12;59720;11944
age;3;2958;13;9;38454;8874
louis;5;2947;26;15;76622;14735
mai;3;2914;12;9;34968;8742
toute;5;2905;28;15;81340;14525
afin;4;2886;18;12;51948;11544
population;10;2880;53;30;152640;28800
compte;6;2868;30;18;86040;17208
pere;4;2868;22;12;63096;11472
te;2;2851;11;6;31361;5702
juin;4;2850;21;12;59850;11400
hommes;6;2849;31;18;88319;17094
eux;3;2837;19;9;53903;8511
president;9;2820;45;27;126900;25380
voir;4;2805;23;12;64515;11220
mois;4;2804;20;12;56080;11216
suite;5;2791;29;15;80939;13955
nombreuses;10;2788;52;30;144976;27880
nouveau;7;2785;37;21;103045;19495
corps;5;2756;27;15;74412;13780
parfois;7;2751;35;21;96285;19257
octobre;7;2732;34;21;92888;19124
ile;3;2730;13;9;35490;8190
cest;4;2727;19;12;51813;10908
ceux;4;2718;21;12;57078;10872
millions;8;2717;39;24;105963;21736
groupe;6;2712;32;18;86784;16272
republique;10;2712;54;30;146448;27120
pourquoi;8;2711;46;24;124706;21688
certaines;9;2701;42;27;113442;24309
dit;3;2699;14;9;37786;8097
janvier;7;2682;34;21;91188;18774
reste;5;2673;29;15;77517;13365
septembre;9;2648;48;27;127104;23832
nouvelle;8;2641;42;24;110922;21128
grands;6;2632;29;18;76328;15792
des;3;2626;14;9;36764;7878
trop;4;2618;24;12;62832;10472
ensuite;7;2614;36;21;94104;18298
personne;8;2608;41;24;106928;20864
chez;4;2602;18;12;46836;10408
quatre;6;2587;32;18;82784;15522
origine;7;2580;33;21;85140;18060
la;2;2559;8;6;20472;5118
r;1;2550;9;3;22950;2550
allemagne;9;2546;39;27;99294;22914
empereur;8;2519;44;24;110836;20152
article;7;2515;32;21;80480;17605
appelle;7;2496;36;21;89856;17472
general;7;2495;33;21;82335;17465
eu;2;2492;12;6;29904;4984
b;1;2477;5;3;12385;2477
font;4;2476;22;12;54472;9904
jeu;3;2464;16;9;39424;7392
juillet;7;2463;37;21;91131;17241
avril;5;2456;27;15;66312;12280
deja;4;2443;17;12;41531;9772
ca;2;2400;6;6;14400;4800
suis;4;2398;25;12;59950;9592
capitale;8;2393;36;24;86148;19144
centre;6;2340;28;18;65520;14040
petits;6;2331;33;18;76923;13986
veut;4;2329;24;12;55896;9316
tard;4;2312;20;12;46240;9248
anglais;7;2305;32;21;73760;16135
site;4;2292;22;12;50424;9168
tour;4;2290;24;12;54960;9160
ii;2;2284;10;6;22840;4568
droit;5;2280;25;15;57000;11400
etant;5;2271;25;15;56775;11355
dernier;7;2256;34;21;76704;15792
ensemble;8;2216;37;24;81992;17728
especes;7;2215;36;21;79740;15505
decembre;8;2210;34;24;75140;17680
novembre;8;2205;42;24;92610;17640
seul;4;2202;23;12;50646;8808
fevrier;7;2200;39;21;85800;15400
point;5;2188;26;15;56888;10940
langue;6;2188;27;18;59076;13128
aout;4;2187;23;12;50301;8748
italie;6;2185;26;18;56810;13110
jean;4;2183;18;12;39294;8732
notre;5;2171;29;15;62959;10855
travail;7;2169;34;21;73746;15183
grandes;7;2166;33;21;71478;15162
merci;5;2152;23;15;49496;10760
assez;5;2145;28;15;60060;10725
or;2;2133;12;6;25596;4266
ecole;5;2132;22;15;46904;10660
systeme;7;2124;41;21;87084;14868
serie;5;2116;27;15;57132;10580
long;4;2098;19;12;39862;8392
moyen;5;2080;26;15;54080;10400
parti;5;2070;25;15;51750;10350
mere;4;2070;21;12;43470;8280
ier;3;2068;14;9;28952;6204
periode;7;2062;34;21;70108;14434
durant;6;2057;30;18;61710;12342
agit;4;2050;19;12;38950;8200
differentes;11;2044;54;33;110376;22484
ayant;5;2034;25;15;50850;10170
jeux;4;2020;23;12;46460;8080
bonjour;7;2017;37;21;74629;14119
afrique;7;2003;35;21;70105;14021
chef;4;1984;15;12;29760;7936
autour;6;1982;34;18;67388;11892
differents;10;1973;49;30;96677;19730
generalement;12;1972;58;36;114376;23664
x;1;1968;10;3;19680;1968
page;4;1967;17;12;33439;7868
charles;7;1966;32;21;62912;13762
plupart;7;1963;39;21;76557;13741
doivent;7;1962;35;21;68670;13734
jeune;5;1960;25;15;49000;9800
tete;4;1958;22;12;43076;7832
mondiale;8;1955;35;24;68425;15640
villes;6;1953;32;18;62496;11718
rome;4;1953;24;12;46872;7812
mot;3;1952;17;9;33184;5856
part;4;1952;21;12;40992;7808
seconde;7;1952;33;21;64416;13664
petite;6;1943;31;18;60233;11658
metres;6;1935;32;18;61920;11610
dieu;4;1929;19;12;36651;7716
femmes;6;1924;32;18;61568;11544
face;4;1923;16;12;30768;7692
belgique;8;1890;38;24;71820;15120
cause;5;1889;23;15;43447;9445
musique;7;1888;37;21;69856;13216
situee;6;1886;34;18;64124;11316
jeunes;6;1876;31;18;58156;11256
ur;2;1868;12;6;22416;3736
haut;4;1865;21;12;39165;7460
appele;6;1865;31;18;57815;11190
aide;4;1865;17;12;31705;7460
donne;5;1856;23;15;42688;9280
pierre;6;1848;30;18;55440;11088
av;2;1848;12;6;22176;3696
ancien;6;1846;25;18;46150;11076
moment;6;1846;31;18;57226;11076
equipe;6;1831;35;18;64085;10986
ailleurs;8;1828;40;24;73120;14624
russie;6;1827;36;18;65772;10962
important;9;1822;48;27;87456;16398
soleil;6;1816;31;18;56296;10896
regions;7;1815;37;21;67155;12705
utilise;7;1811;35;21;63385;12677
avaient;7;1802;34;21;61268;12614
deuxieme;8;1801;39;24;70239;14408
connu;5;1801;24;15;43224;9005
jamais;6;1789;28;18;50092;10734
parmi;5;1784;24;15;42816;8920
mon;3;1783;15;9;26745;5349
lorsque;7;1780;38;21;67640;12460
ordre;5;1778;26;15;46228;8890
passe;5;1778;26;15;46228;8890
etc;3;1773;15;9;26595;5319
comment;7;1762;34;21;59908;12334
espagne;7;1757;34;21;59738;12299
fille;5;1751;24;15;42024;8755
film;4;1741;20;12;34820;6964
bois;4;1738;20;12;34760;6952
possible;8;1735;39;24;67665;13880
particulier;11;1721;53;33;91213;18931
an;2;1718;9;6;15462;3436
ecrit;5;1706;24;15;40944;8530
angleterre;10;1703;49;30;83447;17030
vient;5;1702;27;15;45954;8510
donne;5;1702;23;15;39146;8510
premiers;8;1700;41;24;69700;13600
niveau;6;1697;31;18;52607;10182
articles;8;1696;38;24;64448;13568
but;3;1691;17;9;28747;5073
bas;3;1688;15;9;25320;5064
territoire;10;1682;52;30;87464;16820
mettre;6;1681;31;18;52111;10086
lorsqu;6;1672;34;18;56848;10032
prend;5;1669;26;15;43394;8345
vit;3;1667;18;9;30006;5001
amerique;8;1666;41;24;68306;13328
titre;5;1663;27;15;44901;8315
membres;7;1656;34;21;56304;11592
prix;4;1650;23;12;37950;6600
