word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
funds;5;5923;28;10;165844;29615
return;6;5916;39;12;230724;35496
grounds;7;5915;42;14;248430;41405
prevent;7;5905;44;14;259820;41335
user;4;5901;26;8;153426;23604
measures;8;5896;47;16;277112;47168
earth;5;5894;25;10;147350;29470
sitting;7;5894;37;14;218078;41258
communication;13;5885;65;26;382525;76505
operations;10;5885;51;20;300135;58850
german;6;5884;36;12;211824;35304
read;4;5876;21;8;123396;23504
soft;4;5876;23;8;135148;23504
japan;5;5867;19;10;111473;29335
needed;6;5863;32;12;187616;35178
putting;7;5862;41;14;240342;41034
tree;4;5861;26;8;152386;23444
freedom;7;5860;45;14;263700;41020
wine;4;5860;20;8;117200;23440
sides;5;5859;25;10;146475;29295
pounds;6;5842;32;12;186944;35052
relationships;13;5842;65;26;379730;75946
selection;9;5838;47;18;274386;52542
led;3;5824;18;6;104832;17472
suitable;8;5823;40;16;232920;46584
papers;6;5819;33;12;192027;34914
walls;5;5819;27;10;157113;29095
ahead;5;5815;18;10;104670;29075
techniques;10;5814;52;20;302328;58140
warm;4;5805;24;8;139320;23220
joint;5;5801;24;10;139224;29005
win;3;5793;14;6;81102;17379
equal;5;5792;29;10;167968;28960
games;5;5790;29;10;167910;28950
achieve;7;5784;33;14;190872;40488
watching;8;5782;37;16;213934;46256
past;4;5772;19;8;109668;23088
background;10;5768;52;20;299936;57680
