word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
permet;6;3471;21;12;72891;20826
histoire;8;3413;34;16;116042;27304
toutes;6;3380;28;12;94640;20280
notamment;9;3369;38;18;128022;30321
mer;3;3366;12;6;40392;10098
royaume;7;3360;33;14;110880;23520
jours;5;3343;23;10;76889;16715
grace;5;3343;19;10;63517;16715
habitants;9;3290;36;18;118440;29610
cours;5;3260;21;10;68460;16300
jour;4;3258;19;8;61902;13032
me;2;3237;6;4;19422;6474
homme;5;3232;20;10;64640;16160
armee;5;3220;23;10;74060;16100
toujours;8;3200;36;16;115200;25600
petit;5;3191;21;10;67011;15955
region;6;3179;28;12;89012;19074
unis;4;3165;17;8;53805;12660
celle;5;3159;14;10;44226;15795
discussion;10;3156;35;20;110460;31560
pres;4;3147;15;8;47205;12588
h;1;3115;8;2;24920;3115
sera;4;3114;16;8;49824;12456
politique;9;3111;34;18;105774;27999
km;2;3101;15;4;46515;6202
surtout;7;3087;36;14;111132;21609
ne;2;3058;11;4;33638;6116
epoque;6;3047;30;12;91410;18282
effet;5;3043;17;10;51731;15215
gouvernement;12;3037;49;24;148813;36444
animaux;7;3033;29;14;87957;21231
debut;5;3019;19;10;57361;15095
cependant;9;3018;32;18;96576;27162
ouest;5;2997;25;10;74925;14985
mars;4;2986;16;8;47776;11944
age;3;2958;14;6;41412;8874
louis;5;2947;19;10;55993;14735
mai;3;2914;10;6;29140;8742
toute;5;2905;24;10;69720;14525
afin;4;2886;19;8;54834;11544
population;10;2880;42;20;120960;28800
compte;6;2868;22;12;63096;17208
pere;4;2868;19;8;54492;11472
te;2;2851;9;4;25659;5702
juin;4;2850;18;8;51300;11400
hommes;6;2849;25;12;71225;17094
eux;3;2837;14;6;39718;8511
president;9;2820;31;18;87420;25380
voir;4;2805;18;8;50490;11220
mois;4;2804;16;8;44864;11216
suite;5;2791;22;10;61402;13955
nombreuses;10;2788;39;20;108732;27880
nouveau;7;2785;32;14;89120;19495
corps;5;2756;22;10;60632;13780
parfois;7;2751;27;14;74277;19257
octobre;7;2732;27;14;73764;19124
ile;3;2730;11;6;30030;8190
cest;4;2727;15;8;40905;10908
ceux;4;2718;17;8;46206;10872
millions;8;2717;28;16;76076;21736
groupe;6;2712;26;12;70512;16272
republique;10;2712;41;20;111192;27120
pourquoi;8;2711;36;16;97596;21688
certaines;9;2701;31;18;83731;24309
dit;3;2699;10;6;26990;8097
janvier;7;2682;27;14;72414;18774
reste;5;2673;22;10;58806;13365
septembre;9;2648;34;18;90032;23832
