word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
environ;7;3972;23;14;91356;27804;;;
non;3;3971;14;6;55594;11913;;;
devient;7;3965;19;14;75335;27755;;;
fut;3;3909;13;6;50817;11727;;;
saint;5;3907;21;10;82047;19535;;;
enfants;7;3894;22;14;85668;27258;;;
existe;6;3881;17;12;65977;23286;;;
etats;5;3856;14;10;53984;19280;;;
celui;5;3828;21;10;80388;19140;;;
selon;5;3821;17;10;64957;19105;;;
cas;3;3800;14;6;53200;11400;;;
ci;2;3762;9;4;33858;7524;;;
pouvoir;7;3692;24;14;88608;25844;;;
famille;7;3687;28;14;103236;25809;;;
forme;5;3674;21;10;77154;18370;;;
lors;4;3644;16;8;58304;14576;;;
fils;4;3609;18;8;64962;14436;;;
va;2;3583;10;4;35830;7166;;;
empire;6;3559;24;12;85416;21354;;;
place;5;3539;17;10;60163;17695;;;
nombre;6;3534;27;12;95418;21204;;;
partir;6;3507;21;12;73647;21042;;;
francaise;9;3506;34;18;119204;31554;;;
hui;3;3495;16;6;55920;10485;;;
aujourd;7;3487;28;14;97636;24409;;;
permet;6;3471;22;12;76362;20826;;;
histoire;8;3413;28;16;95564;27304;;;
toutes;6;3380;23;12;77740;20280;;;
notamment;9;3369;34;18;114546;30321;;;
mer;3;3366;14;6;47124;10098;;;
royaume;7;3360;35;14;117600;23520;;;
jours;5;3343;22;10;73546;16715;;;
grace;5;3343;19;10;63517;16715;;;
habitants;9;3290;32;18;105280;29610;;;
cours;5;3260;18;10;58680;16300;;;
jour;4;3258;19;8;61902;13032;;;
me;2;3237;9;4;29133;6474;;;
homme;5;3232;25;10;80800;16160;;;
armee;5;3220;20;10;64400;16100;;;
toujours;8;3200;32;16;102400;25600;;;
petit;5;3191;18;10;57438;15955;;;
region;6;3179;25;12;79475;19074;;;
unis;4;3165;17;8;53805;12660;;;
celle;5;3159;18;10;56862;15795;;;
discussion;10;3156;36;20;113616;31560;;;
pres;4;3147;15;8;47205;12588;;;
h;1;3115;7;2;21805;3115;;;
sera;4;3114;14;8;43596;12456;;;
politique;9;3111;35;18;108885;27999;;;
km;2;3101;14;4;43414;6202;;;
surtout;7;3087;26;14;80262;21609;;;
ne;2;3058;9;4;27522;6116;;;
epoque;6;3047;24;12;73128;18282;;;
effet;5;3043;17;10;51731;15215;;;
gouvernement;12;3037;40;24;121480;36444;;;
animaux;7;3033;26;14;78858;21231;;;
debut;5;3019;20;10;60380;15095;;;
cependant;9;3018;29;18;87522;27162;;;
ouest;5;2997;20;10;59940;14985;;;
mars;4;2986;17;8;50762;11944;;;
age;3;2958;11;6;32538;8874;;;
louis;5;2947;21;10;61887;14735;;;
mai;3;2914;14;6;40796;8742;;;
toute;5;2905;20;10;58100;14525;;;
afin;4;2886;18;8;51948;11544;;;
population;10;2880;36;20;103680;28800;;;
compte;6;2868;22;12;63096;17208;;;
pere;4;2868;19;8;54492;11472;;;
te;2;2851;8;4;22808;5702;;;
juin;4;2850;20;8;57000;11400;;;
hommes;6;2849;29;12;82621;17094;;;
eux;3;2837;9;6;25533;8511;;;
president;9;2820;30;18;84600;25380;;;
voir;4;2805;18;8;50490;11220;;;
mois;4;2804;19;8;53276;11216;;;
suite;5;2791;17;10;47447;13955;;;
nombreuses;10;2788;40;20;111520;27880;;;
nouveau;7;2785;27;14;75195;19495;;;
corps;5;2756;19;10;52364;13780;;;
parfois;7;2751;26;14;71526;19257;;;
octobre;7;2732;25;14;68300;19124;;;
ile;3;2730;14;6;38220;8190;;;
cest;4;2727;15;8;40905;10908;;;
ceux;4;2718;16;8;43488;10872;;;
millions;8;2717;31;16;84227;21736;;;
groupe;6;2712;24;12;65088;16272;;;
republique;10;2712;45;20;122040;27120;;;
pourquoi;8;2711;33;16;89463;21688;;;
certaines;9;2701;28;18;75628;24309;;;
dit;3;2699;9;6;24291;8097;;;
janvier;7;2682;26;14;69732;18774;;;
reste;5;2673;17;10;45441;13365;;;
septembre;9;2648;33;18;87384;23832;;;
nouvelle;8;2641;30;16;79230;21128;;;
grands;6;2632;20;12;52640;15792;;;
des;3;2626;8;6;21008;7878;;;
trop;4;2618;18;8;47124;10472;;;
ensuite;7;2614;23;14;60122;18298;;;
personne;8;2608;25;16;65200;20864;;;
chez;4;2602;20;8;52040;10408;;;
quatre;6;2587;22;12;56914;15522;;;
origine;7;2580;25;14;64500;18060;;;
la;2;2559;7;4;17913;5118;;;
r;1;2550;7;2;17850;2550;;;
allemagne;9;2546;33;18;84018;22914;;;
empereur;8;2519;33;16;83127;20152;;;
article;7;2515;25;14;62875;17605;;;
appelle;7;2496;26;14;64896;17472;;;
general;7;2495;26;14;64870;17465;;;
eu;2;2492;7;4;17444;4984;;;
b;1;2477;7;2;17339;2477;;;
font;4;2476;15;8;37140;9904;;;
jeu;3;2464;15;6;36960;7392;;;
juillet;7;2463;30;14;73890;17241;;;
avril;5;2456;18;10;44208;12280;;;
deja;4;2443;17;8;41531;9772;;;
ca;2;2400;9;4;21600;4800;;;
suis;4;2398;16;8;38368;9592;;;
capitale;8;2393;28;16;67004;19144;;;
centre;6;2340;20;12;46800;14040;;;
petits;6;2331;21;12;48951;13986;;;
veut;4;2329;16;8;37264;9316;;;
tard;4;2312;17;8;39304;9248;;;
anglais;7;2305;25;14;57625;16135;;;
site;4;2292;14;8;32088;9168;;;
tour;4;2290;18;8;41220;9160;;;
ii;2;2284;14;4;31976;4568;;;
droit;5;2280;15;10;34200;11400;;;
etant;5;2271;16;10;36336;11355;;;
dernier;7;2256;22;14;49632;15792;;;
ensemble;8;2216;29;16;64264;17728;;;
especes;7;2215;26;14;57590;15505;;;
decembre;8;2210;29;16;64090;17680;;;
novembre;8;2205;32;16;70560;17640;;;
seul;4;2202;16;8;35232;8808;;;
fevrier;7;2200;30;14;66000;15400;;;
point;5;2188;18;10;39384;10940;;;
langue;6;2188;21;12;45948;13128;;;
aout;4;2187;15;8;32805;8748;;;
italie;6;2185;24;12;52440;13110;;;
jean;4;2183;17;8;37111;8732;;;
notre;5;2171;18;10;39078;10855;;;
travail;7;2169;23;14;49887;15183;;;
grandes;7;2166;22;14;47652;15162;;;
merci;5;2152;22;10;47344;10760;;;
assez;5;2145;20;10;42900;10725;;;
or;2;2133;8;4;17064;4266;;;
ecole;5;2132;17;10;36244;10660;;;
systeme;7;2124;24;14;50976;14868;;;
serie;5;2116;16;10;33856;10580;;;
long;4;2098;15;8;31470;8392;;;
moyen;5;2080;22;10;45760;10400;;;
parti;5;2070;17;10;35190;10350;;;
mere;4;2070;21;8;43470;8280;;;
ier;3;2068;14;6;28952;6204;;;
periode;7;2062;29;14;59798;14434;;;
durant;6;2057;19;12;39083;12342;;;
agit;4;2050;15;8;30750;8200;;;
differentes;11;2044;45;22;91980;22484;;;
ayant;5;2034;18;10;36612;10170;;;
jeux;4;2020;18;8;36360;8080;;;
bonjour;7;2017;28;14;56476;14119;;;
afrique;7;2003;30;14;60090;14021;;;
chef;4;1984;18;8;35712;7936;;;
autour;6;1982;21;12;41622;11892;;;
differents;10;1973;40;20;78920;19730;;;
generalement;12;1972;42;24;82824;23664;;;
x;1;1968;8;2;15744;1968;;;
page;4;1967;15;8;29505;7868;;;
charles;7;1966;29;14;57014;13762;;;
plupart;7;1963;26;14;51038;13741;;;
doivent;7;1962;22;14;43164;13734;;;
jeune;5;1960;20;10;39200;9800;;;
tete;4;1958;18;8;35244;7832;;;
mondiale;8;1955;29;16;56695;15640;;;
villes;6;1953;25;12;48825;11718;;;
rome;4;1953;20;8;39060;7812;;;
mot;3;1952;13;6;25376;5856;;;
part;4;1952;13;8;25376;7808;;;
seconde;7;1952;25;14;48800;13664;;;
petite;6;1943;20;12;38860;11658;;;
metres;6;1935;22;12;42570;11610;;;
dieu;4;1929;17;8;32793;7716;;;
femmes;6;1924;28;12;53872;11544;;;
face;4;1923;15;8;28845;7692;;;
belgique;8;1890;35;16;66150;15120;;;
cause;5;1889;20;10;37780;9445;;;
musique;7;1888;35;14;66080;13216;;;
situee;6;1886;24;12;45264;11316;;;
jeunes;6;1876;23;12;43148;11256;;;
ur;2;1868;9;4;16812;3736;;;
haut;4;1865;17;8;31705;7460;;;
appele;6;1865;22;12;41030;11190;;;
aide;4;1865;15;8;27975;7460;;;
donne;5;1856;16;10;29696;9280;;;
pierre;6;1848;21;12;38808;11088;;;
av;2;1848;7;4;12936;3696;;;
ancien;6;1846;19;12;35074;11076;;;
moment;6;1846;24;12;44304;11076;;;
equipe;6;1831;26;12;47606;10986;;;
ailleurs;8;1828;28;16;51184;14624;;;
russie;6;1827;25;12;45675;10962;;;
important;9;1822;35;18;63770;16398;;;
soleil;6;1816;25;12;45400;10896;;;
regions;7;1815;28;14;50820;12705;;;
utilise;7;1811;28;14;50708;12677;;;
avaient;7;1802;21;14;37842;12614;;;
deuxieme;8;1801;26;16;46826;14408;;;
connu;5;1801;20;10;36020;9005;;;
jamais;6;1789;27;12;48303;10734;;;
parmi;5;1784;20;10;35680;8920;;;
mon;3;1783;14;6;24962;5349;;;
lorsque;7;1780;29;14;51620;12460;;;
ordre;5;1778;17;10;30226;8890;;;
passe;5;1778;16;10;28448;8890;;;
etc;3;1773;10;6;17730;5319;;;
comment;7;1762;26;14;45812;12334;;;
espagne;7;1757;22;14;38654;12299;;;
fille;5;1751;22;10;38522;8755;;;
film;4;1741;21;8;36561;6964;;;
bois;4;1738;18;8;31284;6952;;;
possible;8;1735;29;16;50315;13880;;;
particulier;11;1721;39;22;67119;18931;;;
an;2;1718;6;4;10308;3436;;;
ecrit;5;1706;16;10;27296;8530;;;
angleterre;10;1703;33;20;56199;17030;;;
vient;5;1702;18;10;30636;8510;;;
donne;5;1702;16;10;27232;8510;;;
premiers;8;1700;29;16;49300;13600;;;
niveau;6;1697;23;12;39031;10182;;;
articles;8;1696;28;16;47488;13568;;;
but;3;1691;14;6;23674;5073;;;
bas;3;1688;14;6;23632;5064;;;
territoire;10;1682;31;20;52142;16820;;;
mettre;6;1681;19;12;31939;10086;;;
lorsqu;6;1672;27;12;45144;10032;;;
prend;5;1669;17;10;28373;8345;;;
vit;3;1667;14;6;23338;5001;;;
amerique;8;1666;33;16;54978;13328;;;
titre;5;1663;18;10;29934;8315;;;
membres;7;1656;28;14;46368;11592;;;
prix;4;1650;15;8;24750;6600;;;
hiver;5;1647;21;10;34587;8235;;;
demande;7;1646;21;14;34566;11522;;;
contr;5;1644;15;10;24660;8220;;;
