word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
environ;7;3972;24;11;95328;27804;;;
non;3;3971;13;5;51623;11913;;;
devient;7;3965;27;14;107055;27755;;;
fut;3;3909;19;8;74271;11727;;;
saint;5;3907;21;11;82047;19535;;;
enfants;7;3894;25;14;97350;27258;;;
existe;6;3881;25;11;97025;23286;;;
etats;5;3856;23;11;88688;19280;;;
celui;5;3828;21;11;80388;19140;;;
selon;5;3821;15;5;57315;19105;;;
cas;3;3800;13;9;49400;11400;;;
ci;2;3762;8;6;30096;7524;;;
pouvoir;7;3692;32;14;118144;25844;;;
famille;7;3687;21;11;77427;25809;;;
forme;5;3674;31;14;113894;18370;;;
lors;4;3644;15;5;54660;14576;;;
fils;4;3609;18;8;64962;14436;;;
va;2;3583;11;6;39413;7166;;;
empire;6;3559;27;14;96093;21354;;;
place;5;3539;20;11;70780;17695;;;
nombre;6;3534;22;8;77748;21204;;;
partir;6;3507;34;17;119238;21042;;;
francaise;9;3506;41;27;143746;31554;;;
hui;3;3495;16;9;55920;10485;;;
aujourd;7;3487;37;21;129019;24409;;;
permet;6;3471;29;14;100659;20826;;;
histoire;8;3413;19;8;64847;27304;;;
toutes;6;3380;27;11;91260;20280;;;
notamment;9;3369;26;11;87594;30321;;;
mer;3;3366;16;9;53856;10098;;;
royaume;7;3360;28;11;94080;23520;;;
jours;5;3343;29;15;96947;16715;;;
grace;5;3343;11;5;36773;16715;;;
habitants;9;3290;30;17;98700;29610;;;
cours;5;3260;21;11;68460;16300;;;
jour;4;3258;23;11;74934;13032;;;
me;2;3237;9;6;29133;6474;;;
homme;5;3232;20;8;64640;16160;;;
armee;5;3220;21;11;67620;16100;;;
toujours;8;3200;28;11;89600;25600;;;
petit;5;3191;20;8;63820;15955;;;
region;6;3179;31;18;98549;19074;;;
unis;4;3165;21;12;66465;12660;;;
celle;5;3159;25;14;78975;15795;;;
discussion;10;3156;32;17;100992;31560;;;
pres;4;3147;19;8;59793;12588;;;
h;1;3115;6;3;18690;3115;;;
sera;4;3114;25;11;77850;12456;;;
politique;9;3111;28;14;87108;27999;;;
km;2;3101;13;6;40313;6202;;;
surtout;7;3087;23;8;71001;21609;;;
ne;2;3058;14;5;42812;6116;;;
epoque;6;3047;37;18;112739;18282;;;
effet;5;3043;16;8;48688;15215;;;
gouvernement;12;3037;26;11;78962;36444;;;
animaux;7;3033;21;11;63693;21231;;;
debut;5;3019;25;15;75475;15095;;;
cependant;9;3018;16;8;48288;27162;;;
ouest;5;2997;22;11;65934;14985;;;
mars;4;2986;20;12;59720;11944;;;
age;3;2958;13;9;38454;8874;;;
louis;5;2947;18;8;53046;14735;;;
mai;3;2914;12;9;34968;8742;;;
toute;5;2905;33;14;95865;14525;;;
afin;4;2886;15;8;43290;11544;;;
population;10;2880;27;11;77760;28800;;;
compte;6;2868;27;14;77436;17208;;;
pere;4;2868;22;12;63096;11472;;;
te;2;2851;11;6;31361;5702;;;
juin;4;2850;23;11;65550;11400;;;
hommes;6;2849;24;11;68376;17094;;;
eux;3;2837;20;8;56740;8511;;;
president;9;2820;45;27;126900;25380;;;
voir;4;2805;25;11;70125;11220;;;
mois;4;2804;20;12;56080;11216;;;
suite;5;2791;25;8;69775;13955;;;
nombreuses;10;2788;27;11;75276;27880;;;
nouveau;7;2785;26;11;72410;19495;;;
corps;5;2756;24;11;66144;13780;;;
parfois;7;2751;26;14;71526;19257;;;
octobre;7;2732;24;11;65568;19124;;;
ile;3;2730;13;9;35490;8190;;;
cest;4;2727;19;12;51813;10908;;;
ceux;4;2718;21;11;57078;10872;;;
millions;8;2717;28;14;76076;21736;;;
groupe;6;2712;25;11;67800;16272;;;
republique;10;2712;54;30;146448;27120;;;
pourquoi;8;2711;15;5;40665;21688;;;
certaines;9;2701;21;11;56721;24309;;;
dit;3;2699;14;9;37786;8097;;;
janvier;7;2682;24;11;64368;18774;;;
reste;5;2673;19;5;50787;13365;;;
septembre;9;2648;28;11;74144;23832;;;
nouvelle;8;2641;25;11;66025;21128;;;
grands;6;2632;29;18;76328;15792;;;
des;3;2626;13;5;34138;7878;;;
trop;4;2618;21;8;54978;10472;;;
ensuite;7;2614;20;8;52280;18298;;;
personne;8;2608;19;8;49552;20864;;;
chez;4;2602;14;8;36428;10408;;;
quatre;6;2587;24;11;62088;15522;;;
origine;7;2580;30;14;77400;18060;;;
la;2;2559;12;5;30708;5118;;;
r;1;2550;9;3;22950;2550;;;
allemagne;9;2546;30;17;76380;22914;;;
empereur;8;2519;27;14;68013;20152;;;
article;7;2515;19;8;47785;17605;;;
appelle;7;2496;21;8;52416;17472;;;
general;7;2495;24;11;59880;17465;;;
eu;2;2492;12;6;29904;4984;;;
b;1;2477;5;3;12385;2477;;;
font;4;2476;24;11;59424;9904;;;
jeu;3;2464;16;9;39424;7392;;;
juillet;7;2463;22;11;54186;17241;;;
avril;5;2456;24;11;58944;12280;;;
deja;4;2443;17;12;41531;9772;;;
ca;2;2400;6;6;14400;4800;;;
suis;4;2398;25;12;59950;9592;;;
capitale;8;2393;21;11;50253;19144;;;
centre;6;2340;19;11;44460;14040;;;
petits;6;2331;29;14;67599;13986;;;
veut;4;2329;26;11;60554;9316;;;
tard;4;2312;24;11;55488;9248;;;
anglais;7;2305;24;11;55320;16135;;;
site;4;2292;22;12;50424;9168;;;
tour;4;2290;24;12;54960;9160;;;
ii;2;2284;10;6;22840;4568;;;
droit;5;2280;18;8;41040;11400;;;
etant;5;2271;25;15;56775;11355;;;
dernier;7;2256;23;11;51888;15792;;;
ensemble;8;2216;23;11;50968;17728;;;
especes;7;2215;36;21;79740;15505;;;
decembre;8;2210;34;24;75140;17680;;;
novembre;8;2205;29;11;63945;17640;;;
seul;4;2202;21;8;46242;8808;;;
fevrier;7;2200;39;21;85800;15400;;;
point;5;2188;21;11;45948;10940;;;
langue;6;2188;23;14;50324;13128;;;
aout;4;2187;18;8;39366;8748;;;
italie;6;2185;20;11;43700;13110;;;
jean;4;2183;17;8;37111;8732;;;
notre;5;2171;20;8;43420;10855;;;
travail;7;2169;34;17;73746;15183;;;
grandes;7;2166;34;20;73644;15162;;;
merci;5;2152;12;5;25824;10760;;;
assez;5;2145;18;8;38610;10725;;;
or;2;2133;12;6;25596;4266;;;
ecole;5;2132;24;14;51168;10660;;;
systeme;7;2124;25;8;53100;14868;;;
serie;5;2116;33;14;69828;10580;;;
long;4;2098;24;11;50352;8392;;;
moyen;5;2080;23;11;47840;10400;;;
parti;5;2070;29;14;60030;10350;;;
mere;4;2070;21;12;43470;8280;;;
ier;3;2068;14;8;28952;6204;;;
periode;7;2062;34;21;70108;14434;;;
durant;6;2057;17;8;34969;12342;;;
agit;4;2050;21;11;43050;8200;;;
differentes;11;2044;19;11;38836;22484;;;
ayant;5;2034;17;8;34578;10170;;;
jeux;4;2020;25;11;50500;8080;;;
bonjour;7;2017;13;5;26221;14119;;;
afrique;7;2003;25;14;50075;14021;;;
chef;4;1984;18;11;35712;7936;;;
autour;6;1982;25;11;49550;11892;;;
differents;10;1973;18;11;35514;19730;;;
generalement;12;1972;58;36;114376;23664;;;
x;1;1968;10;3;19680;1968;;;
page;4;1967;19;11;37373;7868;;;
charles;7;1966;15;8;29490;13762;;;
plupart;7;1963;30;14;58890;13741;;;
doivent;7;1962;21;11;41202;13734;;;
jeune;5;1960;19;8;37240;9800;;;
tete;4;1958;22;12;43076;7832;;;
mondiale;8;1955;26;14;50830;15640;;;
villes;6;1953;34;17;66402;11718;;;
rome;4;1953;21;8;41013;7812;;;
mot;3;1952;17;9;33184;5856;;;
part;4;1952;21;12;40992;7808;;;
seconde;7;1952;23;11;44896;13664;;;
petite;6;1943;25;11;48575;11658;;;
metres;6;1935;32;18;61920;11610;;;
dieu;4;1929;16;8;30864;7716;;;
femmes;6;1924;24;11;46176;11544;;;
face;4;1923;15;5;28845;7692;;;
belgique;8;1890;25;14;47250;15120;;;
cause;5;1889;19;11;35891;9445;;;
musique;7;1888;18;8;33984;13216;;;
situee;6;1886;21;8;39606;11316;;;
jeunes;6;1876;26;11;48776;11256;;;
ur;2;1868;12;6;22416;3736;;;
haut;4;1865;21;11;39165;7460;;;
appele;6;1865;31;18;57815;11190;;;
aide;4;1865;21;11;39165;7460;;;
donne;5;1856;28;14;51968;9280;;;
pierre;6;1848;16;8;29568;11088;;;
av;2;1848;12;6;22176;3696;;;
ancien;6;1846;18;11;33228;11076;;;
moment;6;1846;22;11;40612;11076;;;
equipe;6;1831;35;18;64085;10986;;;
ailleurs;8;1828;17;8;31076;14624;;;
russie;6;1827;37;14;67599;10962;;;
important;9;1822;27;11;49194;16398;;;
soleil;6;1816;25;11;45400;10896;;;
regions;7;1815;37;21;67155;12705;;;
utilise;7;1811;14;5;25354;12677;;;
avaient;7;1802;25;11;45050;12614;;;
deuxieme;8;1801;21;11;37821;14408;;;
connu;5;1801;25;14;45025;9005;;;
jamais;6;1789;15;8;26835;10734;;;
parmi;5;1784;17;8;30328;8920;;;
mon;3;1783;13;5;23179;5349;;;
lorsque;7;1780;17;8;30260;12460;;;
ordre;5;1778;21;8;37338;8890;;;
passe;5;1778;23;11;40894;8890;;;
etc;3;1773;19;8;33687;5319;;;
comment;7;1762;15;8;26430;12334;;;
espagne;7;1757;31;17;54467;12299;;;
fille;5;1751;23;11;40273;8755;;;
film;4;1741;20;12;34820;6964;;;
bois;4;1738;20;11;34760;6952;;;
possible;8;1735;25;11;43375;13880;;;
particulier;11;1721;43;23;74003;18931;;;
an;2;1718;9;6;15462;3436;;;
ecrit;5;1706;24;15;40944;8530;;;
angleterre;10;1703;27;14;45981;17030;;;
vient;5;1702;24;11;40848;8510;;;
donne;5;1702;28;14;47656;8510;;;
premiers;8;1700;31;14;52700;13600;;;
niveau;6;1697;24;11;40728;10182;;;
articles;8;1696;28;14;47488;13568;;;
but;3;1691;17;9;28747;5073;;;
bas;3;1688;15;9;25320;5064;;;
territoire;10;1682;31;14;52142;16820;;;
mettre;6;1681;31;14;52111;10086;;;
lorsqu;6;1672;34;18;56848;10032;;;
prend;5;1669;26;15;43394;8345;;;
vit;3;1667;18;9;30006;5001;;;
amerique;8;1666;41;24;68306;13328;;;
titre;5;1663;26;11;43238;8315;;;
membres;7;1656;22;11;36432;11592;;;
prix;4;1650;23;12;37950;6600;;;
hiver;5;1647;23;11;37881;8235;;;
demande;7;1646;21;11;34566;11522;;;
contr;5;1644;25;15;41100;8220;;;
femme;5;1644;23;11;37812;8220;;;
commence;8;1642;27;14;44334;13136;;;
cree;4;1640;16;8;26240;6560;;;
eglise;6;1639;18;8;29502;9834;;;
seulement;9;1635;27;11;44145;14715;;;
vont;4;1633;25;11;40825;6532;;;
te;2;1632;11;6;17952;3264;;;
parce;5;1623;18;8;29214;8115;;;
revolution;10;1603;38;17;60914;16030;;;
bon;3;1598;12;5;19176;4794;;;
parents;7;1592;29;14;46168;11144;;;
lumiere;7;1590;23;11;36570;11130;;;
porte;5;1589;24;11;38136;7945;;;
question;8;1576;29;14;45704;12608;;;
aurait;6;1573;24;11;37752;9438;;;
cinq;4;1571;14;8;21994;6284;;;
possede;7;1566;33;14;51678;10962;;;
college;7;1563;25;14;39075;10941;;;
prendre;7;1559;31;14;48329;10913;;;
fonction;8;1557;28;14;43596;12456;;;
rouge;5;1555;27;11;41985;7775;;;
the;3;1555;18;8;27990;4665;;;
mouvement;9;1548;24;11;37152;13932;;;
tes;3;1546;17;8;26282;4638;;;
seule;5;1543;26;11;40118;7715;;;
departement;11;1543;56;33;86408;16973;;;
couleur;7;1539;25;14;38475;10773;;;
ministre;8;1533;22;11;33726;12264;;;
ligne;5;1530;19;11;29070;7650;;;
devant;6;1516;18;8;27288;9096;;;
romain;6;1513;27;11;40851;9078;;;
succes;6;1507;25;11;37675;9042;;;
mieux;5;1505;16;8;24080;7525;;;
militaire;9;1503;25;14;37575;13527;;;
creer;5;1501;26;15;39026;7505;;;
moi;3;1495;17;8;25415;4485;;;
bonne;5;1488;14;5;20832;7440;;;
mis;3;1487;19;8;28253;4461;;;
chine;5;1487;23;14;34201;7435;;;
abord;5;1486;27;14;40122;7430;;;
savoir;6;1484;25;11;37100;8904;;;
mesure;6;1482;28;14;41496;8892;;;
taille;6;1481;25;14;37025;8886;;;
serait;6;1481;28;14;41468;8886;;;
air;3;1477;15;9;22155;4431;;;
situe;5;1475;22;8;32450;7375;;;
ni;2;1475;11;6;16225;2950;;;
nos;3;1475;21;8;30975;4425;;;
bataille;8;1475;23;14;33925;11800;;;
malgre;6;1474;14;5;20636;8844;;;
milieu;6;1469;27;14;39663;8814;;;
met;3;1457;15;9;21855;4371;;;
raison;6;1455;22;11;32010;8730;;;
mal;3;1455;13;9;18915;4365;;;
donner;6;1447;30;18;43410;8682;;;
union;5;1446;26;14;37596;7230;;;
enfant;6;1441;23;11;33143;8646;;;
produit;7;1440;28;14;40320;10080;;;
animal;6;1440;20;11;28800;8640;;;
trouver;7;1435;32;14;45920;10045;;;
