word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
aujourd;7;3487;37;21;129019;24409
permet;6;3471;27;18;93717;20826
histoire;8;3413;42;24;143346;27304
toutes;6;3380;34;18;114920;20280
notamment;9;3369;47;27;158343;30321
mer;3;3366;15;9;50490;10098
royaume;7;3360;40;21;134400;23520
jours;5;3343;28;15;93604;16715
grace;5;3343;24;15;80232;16715
habitants;9;3290;45;27;148050;29610
cours;5;3260;26;15;84760;16300
jour;4;3258;23;12;74934;13032
me;2;3237;8;6;25896;6474
homme;5;3232;25;15;80800;16160
armee;5;3220;28;15;90160;16100
toujours;8;3200;44;24;140800;25600
petit;5;3191;26;15;82966;15955
region;6;3179;34;18;108086;19074
unis;4;3165;21;12;66465;12660
celle;5;3159;19;15;60021;15795
discussion;10;3156;45;30;142020;31560
pres;4;3147;19;12;59793;12588
h;1;3115;9;3;28035;3115
sera;4;3114;20;12;62280;12456
politique;9;3111;43;27;133773;27999
km;2;3101;17;6;52717;6202
surtout;7;3087;43;21;132741;21609
ne;2;3058;13;6;39754;6116
epoque;6;3047;36;18;109692;18282
effet;5;3043;22;15;66946;15215
gouvernement;12;3037;61;36;185257;36444
animaux;7;3033;36;21;109188;21231
debut;5;3019;24;15;72456;15095
cependant;9;3018;41;27;123738;27162
ouest;5;2997;30;15;89910;14985
mars;4;2986;20;12;59720;11944
age;3;2958;17;9;50286;8874
louis;5;2947;24;15;70728;14735
mai;3;2914;13;9;37882;8742
toute;5;2905;29;15;84245;14525
afin;4;2886;23;12;66378;11544
population;10;2880;52;30;149760;28800
compte;6;2868;28;18;80304;17208
pere;4;2868;23;12;65964;11472
te;2;2851;11;6;31361;5702
juin;4;2850;22;12;62700;11400
hommes;6;2849;31;18;88319;17094
eux;3;2837;17;9;48229;8511
president;9;2820;40;27;112800;25380
voir;4;2805;22;12;61710;11220
mois;4;2804;20;12;56080;11216
suite;5;2791;27;15;75357;13955
nombreuses;10;2788;49;30;136612;27880
nouveau;7;2785;39;21;108615;19495
corps;5;2756;27;15;74412;13780
parfois;7;2751;34;21;93534;19257
octobre;7;2732;34;21;92888;19124
ile;3;2730;14;9;38220;8190
cest;4;2727;19;12;51813;10908
ceux;4;2718;21;12;57078;10872
millions;8;2717;36;24;97812;21736
groupe;6;2712;32;18;86784;16272
republique;10;2712;51;30;138312;27120
pourquoi;8;2711;44;24;119284;21688
certaines;9;2701;40;27;108040;24309
dit;3;2699;13;9;35087;8097
janvier;7;2682;34;21;91188;18774
reste;5;2673;27;15;72171;13365
septembre;9;2648;43;27;113864;23832
nouvelle;8;2641;41;24;108281;21128
grands;6;2632;29;18;76328;15792
des;3;2626;11;9;28886;7878
trop;4;2618;23;12;60214;10472
ensuite;7;2614;34;21;88876;18298
personne;8;2608;37;24;96496;20864
chez;4;2602;18;12;46836;10408
quatre;6;2587;31;18;80197;15522
origine;7;2580;34;21;87720;18060
la;2;2559;8;6;20472;5118
r;1;2550;10;3;25500;2550
allemagne;9;2546;40;27;101840;22914
empereur;8;2519;37;24;93203;20152
article;7;2515;34;21;85510;17605
appelle;7;2496;34;21;84864;17472
general;7;2495;36;21;89820;17465
eu;2;2492;11;6;27412;4984
b;1;2477;8;3;19816;2477
font;4;2476;24;12;59424;9904
jeu;3;2464;16;9;39424;7392
juillet;7;2463;35;21;86205;17241
avril;5;2456;29;15;71224;12280
deja;4;2443;19;12;46417;9772
ca;2;2400;9;6;21600;4800
suis;4;2398;23;12;55154;9592
capitale;8;2393;37;24;88541;19144
centre;6;2340;29;18;67860;14040
petits;6;2331;31;18;72261;13986
veut;4;2329;23;12;53567;9316
tard;4;2312;21;12;48552;9248
anglais;7;2305;33;21;76065;16135
site;4;2292;20;12;45840;9168
tour;4;2290;24;12;54960;9160
ii;2;2284;15;6;34260;4568
droit;5;2280;24;15;54720;11400
etant;5;2271;26;15;59046;11355
dernier;7;2256;30;21;67680;15792
ensemble;8;2216;33;24;73128;17728
especes;7;2215;33;21;73095;15505
decembre;8;2210;32;24;70720;17680
novembre;8;2205;41;24;90405;17640
seul;4;2202;21;12;46242;8808
fevrier;7;2200;39;21;85800;15400
point;5;2188;27;15;59076;10940
langue;6;2188;26;18;56888;13128
aout;4;2187;29;12;63423;8748
italie;6;2185;29;18;63365;13110
jean;4;2183;19;12;41477;8732
notre;5;2171;30;15;65130;10855
travail;7;2169;33;21;71577;15183
grandes;7;2166;32;21;69312;15162
merci;5;2152;22;15;47344;10760
assez;5;2145;28;15;60060;10725
or;2;2133;14;6;29862;4266
ecole;5;2132;21;15;44772;10660
systeme;7;2124;37;21;78588;14868
serie;5;2116;24;15;50784;10580
long;4;2098;18;12;37764;8392
moyen;5;2080;26;15;54080;10400
parti;5;2070;23;15;47610;10350
mere;4;2070;22;12;45540;8280
ier;3;2068;15;9;31020;6204
periode;7;2062;33;21;68046;14434
durant;6;2057;29;18;59653;12342
agit;4;2050;24;12;49200;8200
differentes;11;2044;54;33;110376;22484
ayant;5;2034;30;15;61020;10170
jeux;4;2020;22;12;44440;8080
bonjour;7;2017;42;21;84714;14119
afrique;7;2003;37;21;74111;14021
chef;4;1984;16;12;31744;7936
autour;6;1982;37;18;73334;11892
differents;10;1973;48;30;94704;19730
generalement;12;1972;59;36;116348;23664
x;1;1968;12;3;23616;1968
page;4;1967;15;12;29505;7868
charles;7;1966;33;21;64878;13762
plupart;7;1963;35;21;68705;13741
doivent;7;1962;33;21;64746;13734
jeune;5;1960;24;15;47040;9800
tete;4;1958;24;12;46992;7832
mondiale;8;1955;32;24;62560;15640
villes;6;1953;28;18;54684;11718
rome;4;1953;24;12;46872;7812
mot;3;1952;17;9;33184;5856
part;4;1952;19;12;37088;7808
seconde;7;1952;34;21;66368;13664
petite;6;1943;29;18;56347;11658
metres;6;1935;28;18;54180;11610
dieu;4;1929;20;12;38580;7716
femmes;6;1924;28;18;53872;11544
face;4;1923;15;12;28845;7692
belgique;8;1890;39;24;73710;15120
cause;5;1889;24;15;45336;9445
musique;7;1888;35;21;66080;13216
situee;6;1886;33;18;62238;11316
jeunes;6;1876;29;18;54404;11256
ur;2;1868;11;6;20548;3736
haut;4;1865;25;12;46625;7460
appele;6;1865;30;18;55950;11190
aide;4;1865;19;12;35435;7460
donne;5;1856;21;15;38976;9280
pierre;6;1848;26;18;48048;11088
av;2;1848;15;6;27720;3696
ancien;6;1846;27;18;49842;11076
moment;6;1846;29;18;53534;11076
equipe;6;1831;33;18;60423;10986
ailleurs;8;1828;38;24;69464;14624
russie;6;1827;35;18;63945;10962
important;9;1822;48;27;87456;16398
soleil;6;1816;29;18;52664;10896
regions;7;1815;39;21;70785;12705
utilise;7;1811;33;21;59763;12677
avaient;7;1802;36;21;64872;12614
deuxieme;8;1801;33;24;59433;14408
connu;5;1801;27;15;48627;9005
jamais;6;1789;27;18;48303;10734
parmi;5;1784;23;15;41032;8920
mon;3;1783;15;9;26745;5349
lorsque;7;1780;34;21;60520;12460
ordre;5;1778;25;15;44450;8890
passe;5;1778;22;15;39116;8890
etc;3;1773;16;9;28368;5319
comment;7;1762;32;21;56384;12334
espagne;7;1757;31;21;54467;12299
fille;5;1751;22;15;38522;8755
film;4;1741;20;12;34820;6964
bois;4;1738;25;12;43450;6952
possible;8;1735;35;24;60725;13880
particulier;11;1721;48;33;82608;18931
an;2;1718;12;6;20616;3436
ecrit;5;1706;24;15;40944;8530
angleterre;10;1703;48;30;81744;17030
vient;5;1702;26;15;44252;8510
donne;5;1702;21;15;35742;8510
premiers;8;1700;34;24;57800;13600
niveau;6;1697;32;18;54304;10182
articles;8;1696;39;24;66144;13568
but;3;1691;20;9;33820;5073
bas;3;1688;18;9;30384;5064
territoire;10;1682;48;30;80736;16820
mettre;6;1681;28;18;47068;10086
lorsqu;6;1672;31;18;51832;10032
prend;5;1669;21;15;35049;8345
vit;3;1667;18;9;30006;5001
amerique;8;1666;43;24;71638;13328
titre;5;1663;25;15;41575;8315
membres;7;1656;28;21;46368;11592
prix;4;1650;21;12;34650;6600
hiver;5;1647;28;15;46116;8235
demande;7;1646;24;21;39504;11522
contr;5;1644;26;15;42744;8220
femme;5;1644;22;15;36168;8220
commence;8;1642;32;24;52544;13136
cree;4;1640;19;12;31160;6560
eglise;6;1639;29;18;47531;9834
seulement;9;1635;42;27;68670;14715
vont;4;1633;24;12;39192;6532
te;2;1632;11;6;17952;3264
parce;5;1623;22;15;35706;8115
revolution;10;1603;57;30;91371;16030
bon;3;1598;19;9;30362;4794
parents;7;1592;34;21;54128;11144
lumiere;7;1590;31;21;49290;11130
porte;5;1589;26;15;41314;7945
question;8;1576;40;24;63040;12608
aurait;6;1573;33;18;51909;9438
cinq;4;1571;22;12;34562;6284
possede;7;1566;36;21;56376;10962
college;7;1563;29;21;45327;10941
prendre;7;1559;29;21;45211;10913
fonction;8;1557;42;24;65394;12456
rouge;5;1555;29;15;45095;7775
the;3;1555;15;9;23325;4665
mouvement;9;1548;44;27;68112;13932
tes;3;1546;17;9;26282;4638
seule;5;1543;24;15;37032;7715
departement;11;1543;51;33;78693;16973
couleur;7;1539;35;21;53865;10773
ministre;8;1533;37;24;56721;12264
ligne;5;1530;20;15;30600;7650
devant;6;1516;27;18;40932;9096
romain;6;1513;34;18;51442;9078
succes;6;1507;28;18;42196;9042
mieux;5;1505;24;15;36120;7525
militaire;9;1503;40;27;60120;13527
creer;5;1501;27;15;40527;7505
moi;3;1495;14;9;20930;4485
bonne;5;1488;27;15;40176;7440
mis;3;1487;15;9;22305;4461
chine;5;1487;21;15;31227;7435
abord;5;1486;25;15;37150;7430
savoir;6;1484;33;18;48972;8904
mesure;6;1482;28;18;41496;8892
taille;6;1481;27;18;39987;8886
serait;6;1481;30;18;44430;8886
air;3;1477;17;9;25109;4431
situe;5;1475;27;15;39825;7375
ni;2;1475;13;6;19175;2950
nos;3;1475;22;9;32450;4425
bataille;8;1475;36;24;53100;11800
malgre;6;1474;27;18;39798;8844
milieu;6;1469;27;18;39663;8814
met;3;1457;14;9;20398;4371
raison;6;1455;35;18;50925;8730
mal;3;1455;14;9;20370;4365
donner;6;1447;27;18;39069;8682
union;5;1446;27;15;39042;7230
enfant;6;1441;31;18;44671;8646
produit;7;1440;36;21;51840;10080
animal;6;1440;27;18;38880;8640
trouver;7;1435;37;21;53095;10045
sol;3;1432;18;9;25776;4296
theatre;7;1429;35;21;50015;10003
aller;5;1429;25;15;35725;7145
rien;4;1428;22;12;31416;5712
