word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
titre;5;1663;21;10;34923;8315;;
membres;7;1656;23;14;38088;11592;;
prix;4;1650;17;8;28050;6600;;
hiver;5;1647;23;10;37881;8235;;
demande;7;1646;17;14;27982;11522;;
contr;5;1644;21;10;34524;8220;;
femme;5;1644;17;10;27948;8220;;
commence;8;1642;24;16;39408;13136;;
cree;4;1640;14;8;22960;6560;;
eglise;6;1639;24;12;39336;9834;;
seulement;9;1635;33;18;53955;14715;;
vont;4;1633;22;8;35926;6532;;
te;2;1632;9;4;14688;3264;;
parce;5;1623;16;10;25968;8115;;
revolution;10;1603;47;20;75341;16030;;
bon;3;1598;17;6;27166;4794;;
parents;7;1592;27;14;42984;11144;;
lumiere;7;1590;23;14;36570;11130;;
porte;5;1589;20;10;31780;7945;;
question;8;1576;33;16;52008;12608;;
aurait;6;1573;26;12;40898;9438;;
cinq;4;1571;17;8;26707;6284;;
possede;7;1566;31;14;48546;10962;;
college;7;1563;22;14;34386;10941;;
prendre;7;1559;22;14;34298;10913;;
fonction;8;1557;34;16;52938;12456;;
rouge;5;1555;21;10;32655;7775;;
the;3;1555;13;6;20215;4665;;
mouvement;9;1548;35;18;54180;13932;;
tes;3;1546;14;6;21644;4638;;
seule;5;1543;19;10;29317;7715;;
departement;11;1543;38;22;58634;16973;;
couleur;7;1539;28;14;43092;10773;;
ministre;8;1533;30;16;45990;12264;;
ligne;5;1530;16;10;24480;7650;;
devant;6;1516;22;12;33352;9096;;
romain;6;1513;26;12;39338;9078;;
succes;6;1507;24;12;36168;9042;;
mieux;5;1505;20;10;30100;7525;;
militaire;9;1503;31;18;46593;13527;;
creer;5;1501;20;10;30020;7505;;
moi;3;1495;11;6;16445;4485;;
bonne;5;1488;23;10;34224;7440;;
mis;3;1487;12;6;17844;4461;;
chine;5;1487;16;10;23792;7435;;
abord;5;1486;20;10;29720;7430;;
savoir;6;1484;26;12;38584;8904;;
mesure;6;1482;22;12;32604;8892;;
taille;6;1481;21;12;31101;8886;;
serait;6;1481;22;12;32582;8886;;
air;3;1477;13;6;19201;4431;;
situe;5;1475;22;10;32450;7375;;
ni;2;1475;10;4;14750;2950;;
nos;3;1475;19;6;28025;4425;;
bataille;8;1475;28;16;41300;11800;;
malgre;6;1474;19;12;28006;8844;;
milieu;6;1469;21;12;30849;8814;;
met;3;1457;12;6;17484;4371;;
raison;6;1455;28;12;40740;8730;;
mal;3;1455;11;6;16005;4365;;
donner;6;1447;20;12;28940;8682;;
union;5;1446;21;10;30366;7230;;
enfant;6;1441;23;12;33143;8646;;
produit;7;1440;29;14;41760;10080;;
animal;6;1440;21;12;30240;8640;;
trouver;7;1435;31;14;44485;10045;;
sol;3;1432;14;6;20048;4296;;
theatre;7;1429;28;14;40012;10003;;
aller;5;1429;20;10;28580;7145;;
rien;4;1428;17;8;24276;5712;;
type;4;1422;19;8;27018;5688;;
maison;6;1420;23;12;32660;8520;;
livre;5;1420;19;10;26980;7100;;
ma;2;1407;7;4;9849;2814;;
energie;7;1406;26;14;36556;9842;;
vu;2;1405;13;4;18265;2810;;
soldats;7;1403;29;14;40687;9821;;
palais;6;1403;20;12;28060;8418;;
napoleon;8;1401;38;16;53238;11208;;
frere;5;1398;20;10;27960;6990;;
commune;7;1391;26;14;36166;9737;;
importante;10;1389;40;20;55560;13890;;
espace;6;1386;19;12;26334;8316;;
celebre;7;1382;21;14;29022;9674;;
loi;3;1381;10;6;13810;4143;;
chateau;7;1380;25;14;34500;9660;;
as;2;1378;13;4;17914;2756;;
base;4;1373;18;8;24714;5492;;
meurt;5;1373;22;10;30206;6865;;
parle;5;1367;16;10;21872;6835;;
gens;4;1366;19;8;25954;5464;;
art;3;1365;16;6;21840;4095;;
plut;4;1362;18;8;24516;5448;;
marie;5;1352;17;10;22984;6760;;
films;5;1348;21;10;28308;6740;;
argent;6;1343;27;12;36261;8058;;
droite;6;1342;21;12;28182;8052;;
mes;3;1342;11;6;14762;4026;;
ados;4;1341;22;8;29502;5364;;
ici;3;1341;11;6;14751;4023;;
devenir;7;1339;25;14;33475;9373;;
chose;5;1332;18;10;23976;6660;;
besoin;6;1330;27;12;35910;7980;;
appelee;7;1327;31;14;41137;9289;;
principalement;14;1325;45;28;59625;18550;;
romains;7;1322;32;14;42304;9254;;
longtemps;9;1318;33;18;43494;11862;;
seront;6;1318;25;12;32950;7908;;
coree;5;1315;18;10;23670;6575;;
scientifique;12;1315;45;24;59175;15780;;
espece;6;1314;19;12;24966;7884;;
heures;6;1313;25;12;32825;7878;;
laquelle;8;1310;27;16;35370;10480;;
troisieme;9;1310;34;18;44540;11790;;
uvre;4;1310;18;8;23580;5240;;
rapidement;10;1307;38;20;49666;13070;;
enfin;5;1303;19;10;24757;6515;;
force;5;1302;18;10;23436;6510;;
conseil;7;1301;26;14;33826;9107;;
proche;6;1300;19;12;24700;7800;;
duc;3;1299;9;6;11691;3897;;
nomme;5;1297;20;10;25940;6485;;
produits;8;1296;34;16;44064;10368;;
vivent;6;1294;29;12;37526;7764;;
societe;7;1293;25;14;32325;9051;;
ton;3;1287;17;6;21879;3861;;
texte;5;1286;22;10;28292;6430;;
nationale;9;1279;35;18;44765;11511;;
presente;8;1277;33;16;42141;10216;;
plantes;7;1275;25;14;31875;8925;;
vote;4;1270;20;8;25400;5080;;
er;2;1267;8;4;10136;2534;;
idee;4;1263;16;8;20208;5052;;
allemand;8;1257;28;16;35196;10056;;
parler;6;1255;20;12;25100;7530;;
derniere;8;1253;25;16;31325;10024;;
nouvelles;9;1253;37;18;46361;11277;;
dessus;6;1252;25;12;31300;7512;;
nuit;4;1246;23;8;28658;4984;;
religion;8;1241;30;16;37230;9928;;
saison;6;1241;26;12;32266;7446;;
utilise;7;1240;28;14;34720;8680;;
presque;7;1240;26;14;32240;8680;;
rapport;7;1239;33;14;40887;8673;;
public;6;1238;19;12;23522;7428;;
japon;5;1238;22;10;27236;6190;;
interieur;9;1238;38;18;47044;11142;;
peuple;6;1237;22;12;27214;7422;;
regime;6;1237;23;12;28451;7422;;
maniere;7;1233;25;14;30825;8631;;
arrive;6;1231;25;12;30775;7386;;
reine;5;1229;21;10;25809;6145;;
super;5;1228;24;10;29472;6140;;
sert;4;1227;18;8;22086;4908;;
passer;6;1222;22;12;26884;7332;;
naissance;9;1222;37;18;45214;10998;;
pris;4;1221;16;8;19536;4884;;
plein;5;1213;17;10;20621;6065;;
politiques;10;1211;39;20;47229;12110;;
droits;6;1207;24;12;28968;7242;;
eleves;6;1205;24;12;28920;7230;;
pape;4;1197;14;8;16758;4788;;
xixe;4;1193;19;8;22667;4772;;
simple;6;1192;21;12;25032;7152;;
tant;4;1191;19;8;22629;4764;;
asie;4;1186;18;8;21348;4744;;
latin;5;1185;19;10;22515;5925;;
surface;7;1185;28;14;33180;8295;;
autriche;8;1184;32;16;37888;9472;;
education;9;1183;34;18;40222;10647;;
europeenne;10;1181;40;20;47240;11810;;
nouveaux;8;1180;37;16;43660;9440;;
philippe;8;1180;28;16;33040;9440;;
regne;5;1180;23;10;27140;5900;;
sens;4;1178;19;8;22382;4712;;
noir;4;1172;19;8;22268;4688;;
points;6;1171;27;12;31617;7026;;
utiliser;8;1170;32;16;37440;9360;;
celles;6;1168;19;12;22192;7008;;
service;7;1166;24;14;27984;8162;;
memes;5;1164;19;10;22116;5820;;
uni;3;1162;13;6;15106;3486;;
iles;4;1162;15;8;17430;4648;;
situation;9;1161;37;18;42957;10449;;
construction;12;1161;50;24;58050;13932;;
petites;7;1159;29;14;33611;8113;;
projet;6;1157;22;12;25454;6942;;
gros;4;1156;21;8;24276;4624;;
signifie;8;1151;28;16;32228;9208;;
photo;5;1150;22;10;25300;5750;;
henri;5;1147;21;10;24087;5735;;
vite;4;1146;19;8;21774;4584;;
action;6;1145;24;12;27480;6870;;
displaystyle;12;1139;48;24;54672;13668;;
gauche;6;1135;23;12;26105;6810;;
blanc;5;1132;20;10;22640;5660;;
catholique;10;1129;37;20;41773;11290;;
russe;5;1125;27;10;30375;5625;;
musee;5;1124;21;10;23604;5620;;
facon;5;1123;17;10;19091;5615;;
americain;9;1123;32;18;35936;10107;;
club;4;1123;16;8;17968;4492;;
compose;7;1117;27;14;30159;7819;;
rencontre;9;1112;37;18;41144;10008;;
production;10;1112;39;20;43368;11120;;
date;4;1109;12;8;13308;4436;;
rendre;6;1109;22;12;24398;6654;;
conditions;10;1109;40;20;44360;11090;;
decide;6;1109;13;12;14417;6654;;
retour;6;1108;30;12;33240;6648;;
choses;6;1106;23;12;25438;6636;;
vivre;5;1105;24;10;26520;5525;;
semaine;7;1101;24;14;26424;7707;;
coupe;5;1099;20;10;21980;5495;;
objets;6;1098;26;12;28548;6588;;
fort;4;1096;19;8;20824;4384;;
construit;9;1093;40;18;43720;9837;;
cm;2;1092;11;4;12012;2184;;
allemands;9;1091;33;18;36003;9819;;
terme;5;1084;18;10;19512;5420;;
pu;2;1084;9;4;9756;2168;;
personnage;10;1078;35;20;37730;10780;;
grec;4;1078;16;8;17248;4312;;
culture;7;1078;29;14;31262;7546;;
creation;8;1077;34;16;36618;8616;;
main;4;1075;14;8;15050;4300;;
appeles;7;1073;30;14;32190;7511;;
voit;4;1067;20;8;21340;4268;;
ancienne;8;1063;27;16;28701;8504;;
genre;5;1063;19;10;20197;5315;;
economique;10;1061;36;20;38196;10610;;
romaine;7;1061;28;14;29708;7427;;
aucun;5;1060;23;10;24380;5300;;
forment;7;1060;30;14;31800;7420;;
permettent;10;1057;38;20;40166;10570;;
troupes;7;1056;31;14;32736;7392;;
juste;5;1056;23;10;24288;5280;;
zone;4;1055;18;8;18990;4220;;
mise;4;1055;14;8;14770;4220;;
printemps;9;1051;34;18;35734;9459;;
vitesse;7;1050;31;14;32550;7350;;
majorite;8;1047;30;16;31410;8376;;
vue;3;1047;15;6;15705;3141;;
desormais;9;1043;33;18;34419;9387;;
six;3;1042;15;6;15630;3126;;
elu;3;1041;13;6;13533;3123;;
national;8;1040;33;16;34320;8320;;
vraiment;8;1038;33;16;34254;8304;;
pense;5;1036;19;10;19684;5180;;
actuellement;12;1035;42;24;43470;12420;;
difficile;9;1033;24;18;24792;9297;;
climat;6;1033;22;12;22726;6198;;
classe;6;1033;23;12;23759;6198;;
feu;3;1032;16;6;16512;3096;;
objet;5;1030;21;10;21630;5150;;
idees;5;1030;21;10;21630;5150;;
haute;5;1029;22;10;22638;5145;;
lyon;4;1029;17;8;17493;4116;;
pourrait;8;1027;32;16;32864;8216;;
retrouve;8;1026;36;16;36936;8208;;
coup;4;1025;18;8;18450;4100;;
recherche;9;1023;28;18;28644;9207;;
