word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;
etats;5;3856;18;10;69408;19280;;
celui;5;3828;14;10;53592;19140;;
selon;5;3821;18;10;68778;19105;;
cas;3;3800;16;6;60800;11400;;
ci;2;3762;9;4;33858;7524;;
pouvoir;7;3692;22;14;81224;25844;;
famille;7;3687;22;14;81114;25809;;
forme;5;3674;18;10;66132;18370;;
lors;4;3644;12;8;43728;14576;;
fils;4;3609;14;8;50526;14436;;
va;2;3583;15;4;53745;7166;;
empire;6;3559;19;12;67621;21354;;
place;5;3539;13;10;46007;17695;;
nombre;6;3534;24;12;84816;21204;;
partir;6;3507;17;12;59619;21042;;
francaise;9;3506;31;18;108686;31554;;
hui;3;3495;19;6;66405;10485;;
aujourd;7;3487;28;14;97636;24409;;
permet;6;3471;16;12;55536;20826;;
histoire;8;3413;34;16;116042;27304;;
toutes;6;3380;23;12;77740;20280;;
notamment;9;3369;33;18;111177;30321;;
mer;3;3366;15;6;50490;10098;;
royaume;7;3360;32;14;107520;23520;;
jours;5;3343;22;10;73546;16715;;
grace;5;3343;27;10;90261;16715;;
habitants;9;3290;36;18;118440;29610;;
cours;5;3260;18;10;58680;16300;;
jour;4;3258;19;8;61902;13032;;
me;2;3237;10;4;32370;6474;;
homme;5;3232;22;10;71104;16160;;
armee;5;3220;28;10;90160;16100;;
toujours;8;3200;29;16;92800;25600;;
petit;5;3191;18;10;57438;15955;;
region;6;3179;28;12;89012;19074;;
unis;4;3165;14;8;44310;12660;;
celle;5;3159;13;10;41067;15795;;
discussion;10;3156;28;20;88368;31560;;
pres;4;3147;12;8;37764;12588;;
h;1;3115;13;2;40495;3115;;
sera;4;3114;13;8;40482;12456;;
politique;9;3111;24;18;74664;27999;;
km;2;3101;21;4;65121;6202;;
surtout;7;3087;28;14;86436;21609;;
ne;2;3058;11;4;33638;6116;;
epoque;6;3047;33;12;100551;18282;;
effet;5;3043;18;10;54774;15215;;
gouvernement;12;3037;43;24;130591;36444;;
animaux;7;3033;27;14;81891;21231;;
debut;5;3019;22;10;66418;15095;;
cependant;9;3018;29;18;87522;27162;;
ouest;5;2997;22;10;65934;14985;;
mars;4;2986;18;8;53748;11944;;
age;3;2958;15;6;44370;8874;;
louis;5;2947;16;10;47152;14735;;
mai;3;2914;13;6;37882;8742;;
