word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
moussay;7;1;50;14;50;7
agrandira;9;5;39;18;195;45
saladine;8;1;41;16;41;8
exempter;8;2;55;16;110;16
delie;5;2;30;10;60;10
comprehensive;13;2;79;26;158;26
teuton;6;1;31;12;31;6
ichtus;6;2;33;12;66;12
iesou;5;1;31;10;31;5
theou;5;1;26;10;26;5
