word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
moussay;7;1;48;21;48;7
agrandira;9;5;45;26;225;45
saladine;8;1;39;24;39;8
exempter;8;2;46;23;92;16
delie;5;2;25;15;50;10
comprehensive;13;2;72;39;144;26
teuton;6;1;28;11;28;6
ichtus;6;2;44;18;88;12
iesou;5;1;30;15;30;5
theou;5;1;37;15;37;5
