word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
reves;5;109;24;10;2616;545
pourras;7;128;38;14;4864;896
etudier;7;281;36;14;10116;1967
arrive;6;1231;30;12;36930;7386
conseillons;11;14;69;22;966;154
www;3;364;27;6;9828;1092
cfwb;4;1;26;8;26;4
inscriptions;12;76;71;24;5396;912
effet;5;3043;26;10;79118;15215
ouvertes;8;101;45;16;4545;808
avril;5;2456;29;10;71224;12280
arrive;6;322;30;12;9660;1932
servi;5;279;26;10;7254;1395
souhaites;9;76;53;18;4028;684
situe;5;637;29;10;18473;3185
camarades;9;114;43;18;4902;1026
classe;6;1033;31;12;32023;6198
vont;4;1633;28;8;45724;6532
hesite;6;229;32;12;7328;1374
original;8;166;50;16;8300;1328
nineteen;8;1;48;16;48;8
eighty;6;1;39;12;39;6
four;4;167;25;8;4175;668
roman;5;870;30;10;26100;4350
george;6;403;33;12;13299;2418
orwell;6;28;38;12;1064;168
indique;7;472;44;14;20768;3304
uvre;4;1310;23;8;30130;5240
parue;5;21;26;10;546;105
anticipation;12;11;73;24;803;132
forme;5;3674;27;10;99198;18370
critique;8;315;47;16;14805;2520
severe;6;112;28;12;3136;672
communisme;10;135;61;20;8235;1350
urss;4;770;22;8;16940;3080
auteur;6;842;35;12;29470;5052
denonca;7;7;41;14;287;49
sa;2;18696;10;4;186960;37392
injustices;10;21;61;20;1281;210
corruption;10;124;60;20;7440;1240
ferme;5;341;24;10;8184;1705
animaux;7;3033;48;14;145584;21231
recourt;7;31;38;14;1178;217
procede;7;203;33;14;6699;1421
fable;5;48;28;10;1344;240
parvenir;8;129;43;16;5547;1032
memes;5;1164;25;10;29100;5820
fins;4;155;25;8;3875;620
considere;9;947;47;18;44509;8523
divisee;7;331;36;14;11916;2317
trois;5;4965;28;10;139020;24825
etats;5;3856;26;10;100256;19280
constamment;11;100;66;22;6600;1100
guerre;6;7165;31;12;222115;42990
oceania;7;5;40;14;200;35
ameriques;9;28;50;18;1400;252
australie;9;560;50;18;28000;5040
grande;6;6074;32;12;194368;36444
bretagne;8;854;44;16;37576;6832
eurasia;7;2;37;14;74;14
russie;6;1827;32;12;58464;10962
estasia;7;2;36;14;72;14
revendique;10;29;57;20;1653;290
puissances;10;209;56;20;11704;2090
londres;7;878;39;14;34242;6146
decrite;7;71;33;14;2343;497
societe;7;1293;37;14;47841;9051
soumise;7;105;41;14;4305;735
puissant;8;402;48;16;19296;3216
regime;6;1237;31;12;38347;7422
totalitaire;11;49;62;22;3038;539
libertes;8;151;42;16;6342;1208
abolies;7;10;40;14;400;70
catchphrase;11;1;58;22;58;11
literally;9;1;55;18;55;9
litteralement;13;128;73;26;9344;1664
devenu;6;1005;35;12;35175;6030
meme;4;11;20;8;220;44
internet;8;792;46;16;36432;6336
critiquer;9;56;51;18;2856;504
lois;4;996;25;8;24900;3984
regles;6;806;31;12;24986;4836
strictes;8;49;41;16;2009;392
site;4;2292;21;8;48132;9168
actu;4;165;24;8;3960;660
question;8;1576;52;16;81952;12608
youtube;7;327;48;14;15696;2289
posent;6;99;35;12;3465;594
celle;5;3159;27;10;85293;15795
proche;6;1300;32;12;41600;7800
actualite;9;171;52;18;8892;1539
journaliste;11;359;68;22;24412;3949
explore;7;34;41;14;1394;238
franck;6;25;38;12;950;150
narrateur;9;34;48;18;1632;306
azam;4;2;25;8;50;8
dessinateur;11;149;59;22;8791;1639
dessins;7;352;37;14;13024;2464
expriment;9;53;53;18;2809;477
humour;6;224;40;12;8960;1344
theme;5;284;27;10;7668;1420
bruiteur;8;5;46;16;230;40
miaou;5;25;32;10;800;125
episode;7;414;35;14;14490;2898
vivant;6;872;39;12;34008;5232
specialistes;12;179;63;24;11277;2148
assembler;9;26;46;18;1196;234
creer;5;1501;21;10;31521;7505
video;5;845;28;10;23660;4225
ca;2;2400;10;4;24000;4800
record;6;418;28;12;11704;2508
pourra;6;494;33;12;16302;2964
notre;5;2171;29;10;62959;10855
dessin;6;504;32;12;16128;3024
anime;5;170;29;10;4930;850
france;6;10672;32;12;341504;64032
tv;2;105;13;4;1365;210
milan;5;222;32;10;7104;1110
presse;6;592;27;12;15984;3552
dirigent;8;85;45;16;3825;680
possede;7;1566;34;14;53244;10962
espace;6;1386;28;12;38808;8316
enseignants;11;185;66;22;12210;2035
permet;6;3471;29;12;100659;20826
instituteurs;12;25;72;24;1800;300
calendrier;10;459;51;20;23409;4590
gregorien;9;81;51;18;4131;729
xxie;4;85;30;8;2550;340
iiie;4;252;22;8;5544;1008
millenaire;10;172;57;20;9804;1720
marquee;7;196;39;14;7644;1372
attentats;9;235;51;18;11985;2115
septembre;9;2648;44;18;116512;23832
meurtriers;10;23;51;20;1173;230
touche;6;140;37;12;5180;840
fete;4;54;20;8;1080;216
date;4;1109;19;8;21071;4436
integration;11;78;67;22;5226;858
grece;5;703;24;10;16872;3515
zone;4;1055;28;8;29540;4220
w;1;428;9;2;3852;428
bush;4;43;26;8;1118;172
fonctions;9;734;58;18;42572;6606
president;9;2820;46;18;129720;25380
elu;3;1041;19;6;19779;3123
gloria;6;22;36;12;792;132
arroyo;6;2;36;12;72;12
nommee;6;388;35;12;13580;2328
presidente;10;98;50;20;4900;980
philippines;11;159;64;22;10176;1749
landry;6;1;37;12;37;6
ministre;8;1533;45;16;68985;12264
canadien;8;92;45;16;4140;736
bouddhas;8;11;46;16;506;88
bamiyan;7;7;45;14;315;49
gigantesques;12;88;73;24;6424;1056
statues;7;213;39;14;8307;1491
avaient;7;1802;41;14;73882;12614
sculptees;9;42;49;18;2058;378
quinze;6;198;43;12;8514;1188
siecles;7;885;36;14;31860;6195
environ;7;3972;44;14;174768;27804
sous;4;8064;25;8;201600;32256
mollah;6;2;39;12;78;12
mohammed;8;104;45;16;4680;832
omar;4;78;22;8;1716;312
furent;6;955;36;12;34380;5730
detruites;9;78;47;18;3666;702
talibans;8;101;48;16;4848;808
classees;8;79;40;16;3160;632
patrimoine;10;371;57;20;21147;3710
detruit;7;442;38;14;16796;3094
presque;7;1240;38;14;47120;8680
rien;4;1428;22;8;31416;5712
destruction;11;330;63;22;20790;3630
reflete;7;49;35;14;1715;343
obscurantisme;13;8;75;26;600;104
irrespect;9;6;43;18;258;54
cultures;8;329;47;16;15463;2632
anticipait;10;2;58;20;116;20
marquerent;10;2;57;20;114;20
terroristes;11;156;55;22;8580;1716
al;2;584;12;4;7008;1168
qaida;5;17;28;10;476;85
detournent;10;6;59;20;354;60
quatre;6;2587;35;12;90545;15522
avions;6;528;38;12;20064;3168
civils;6;252;36;12;9072;1512
ecrasent;8;18;41;16;738;144
tours;5;563;30;10;16890;2815
jumelles;8;48;49;16;2352;384
new;3;871;21;6;18291;2613
york;4;737;30;8;22110;2948
ville;5;8242;31;10;255502;41210
pentagone;9;17;54;18;918;153
washington;10;196;68;20;13328;1960
capitale;8;2393;43;16;102899;19144
federale;8;115;38;16;4370;920
medias;6;272;30;12;8160;1632
diffusent;9;30;53;18;1590;270
images;6;806;33;12;26598;4836
world;5;234;31;10;7254;1170
trade;5;30;23;10;690;150
center;6;57;31;12;1767;342
feu;3;1032;18;6;18576;3096
effondrent;10;12;57;20;684;120
morts;5;884;28;10;24752;4420
particulierement;16;802;88;32;70576;12832
endeuille;9;2;52;18;104;18
marque;6;339;35;12;11865;2034
durablement;11;41;62;22;2542;451
esprit;6;480;30;12;14400;2880
americains;10;771;54;20;41634;7710
part;4;1952;20;8;39040;7808
reactions;9;186;50;18;9300;1674
immediates;10;9;52;20;468;90
condamner;9;48;51;18;2448;432
actes;5;339;25;10;8475;1695
chefs;5;547;27;10;14769;2735
etat;4;4129;21;8;86709;16516
chirac;6;123;32;12;3936;738
gerhard;7;4;35;14;140;28
schroder;8;2;40;16;80;16
allemagne;9;2546;53;18;134938;22914
exprime;7;36;39;14;1404;252
compassion;10;9;59;20;531;90
familles;8;800;46;16;36800;6400
victimes;8;551;45;16;24795;4408
reaction;8;401;45;16;18045;3208
revise;6;6;30;12;180;36
legislations;12;2;73;24;146;24
terrorisme;10;101;50;20;5050;1010
contr;5;1644;30;10;49320;8220
aeroports;9;57;47;18;2679;513
renforces;9;35;47;18;1645;315
octobre;7;2732;39;14;106548;19124
attaquent;9;246;56;18;13776;2214
alors;5;9631;28;10;269668;48155
mains;5;641;30;10;19230;3205
invasion;8;371;52;16;19292;2968
justifiee;9;14;53;18;742;126
territoires;11;810;56;22;45360;8910
formes;6;190;32;12;6080;1140
kaboul;6;34;43;12;1462;204
prise;5;930;24;10;22320;4650
soldats;7;1403;39;14;54717;9821
armee;5;3220;23;10;74060;16100
americaine;10;845;53;20;44785;8450
rapidement;10;1307;52;20;67964;13070
soutenue;8;86;50;16;4300;688
troupes;7;1056;39;14;41184;7392
francaises;10;609;53;20;32277;6090
allemandes;10;290;55;20;15950;2900
anglaises;9;97;52;18;5044;873
espagnoles;10;80;57;20;4560;800
debloquee;9;5;52;18;260;45
lance;5;523;29;10;15167;2615
construit;9;1093;55;18;60115;9837
cuba;4;105;24;8;2520;420
camp;4;642;21;8;13482;2568
detention;9;57;53;18;3021;513
guantanamo;10;4;65;20;260;40
suivantes;9;290;54;18;15660;2610
enfermera;9;2;45;18;90;18
jugement;8;199;51;16;10149;1592
centaines;9;429;51;18;21879;3861
suspectees;10;5;51;20;255;50
emblematiques;13;44;75;26;3300;572
odyssee;7;91;38;14;3458;637
film;4;1741;25;8;43525;6964
britanno;8;1;50;16;50;8
americain;9;1123;49;18;55027;10107
fiction;7;271;44;14;11924;1897
realise;7;531;35;14;18585;3717
stanley;7;39;44;14;1716;273
kubrick;7;17;49;14;833;119
arthur;6;242;34;12;8228;1452
clarke;6;7;35;12;245;42
carl;4;78;21;8;1638;312
ordinateur;10;485;56;20;27160;4850
pilote;6;252;35;12;8820;1512
vaisseau;8;139;45;16;6255;1112
spatial;7;157;39;14;6123;1099
intelligence;12;226;72;24;16272;2712
artificielle;12;121;66;24;7986;1452
reflechir;9;141;47;18;6627;1269
scenes;6;235;31;12;7285;1410
voit;4;1067;26;8;27742;4268
jouer;5;863;31;10;26753;4315
echecs;6;129;30;12;3870;774
poole;5;3;30;10;90;15
humain;6;734;40;12;29360;4404
serie;5;2116;23;10;48668;10580
coups;5;318;30;10;9540;1590
permettre;9;685;43;18;29455;6165
intelligemment;14;5;85;28;425;70
glisse;6;47;34;12;1598;282
erreur;6;357;28;12;9996;2142
annonces;8;29;50;16;1450;232
verifier;8;301;41;16;12341;2408
entierement;11;481;60;22;28860;5291
confiance;9;351;54;18;18954;3159
corrige;7;30;37;14;1110;210
sait;4;856;22;8;18832;3424
aveuglement;11;5;66;22;330;55
utilisera;9;28;51;18;1428;252
devrait;7;401;36;14;14436;2807
chaude;6;198;33;12;6534;1188
meteorologique;14;30;85;28;2550;420
omm;3;6;19;6;114;18
battre;6;354;31;12;10974;2124
chaleur;7;573;40;14;22920;4011
surpassant;10;3;56;20;168;30
conference;10;257;55;20;14135;2570
internationale;14;640;84;28;53760;8960
cl;2;155;12;4;1860;310
turee;5;7;26;10;182;35
vendredi;8;407;41;16;16687;3256
soir;4;503;22;8;11066;2012
marrakech;9;28;50;18;1400;252
maroc;5;332;27;10;8964;1660
avancees;8;78;43;16;3354;624
visant;6;111;37;12;4107;666
oeuvre;6;82;34;12;2788;492
objectif;8;525;48;16;25200;4200
limiter;7;247;39;14;9633;1729
deca;4;5;18;8;90;20
rendez;6;270;33;12;8910;1620
rassemble;9;36;46;18;1656;324
depend;6;367;29;12;10643;2202
lequel;6;935;38;12;35530;5610
pointe;6;248;36;12;8928;1488
temperature;11;911;56;22;51016;10021
moyenne;7;972;46;14;44712;6804
superieure;10;298;52;20;15496;2980
niveau;6;1697;38;12;64486;10182
pre;3;100;13;6;1300;300
industrielle;12;354;69;24;24426;4248
revolution;10;1603;64;20;102592;16030
dominante;9;54;54;18;2916;486
agraire;7;44;35;14;1540;308
artisanale;10;26;55;20;1430;260
basculer;8;24;44;16;1056;192
vers;4;5257;20;8;105140;21028
commerciale;11;143;59;22;8437;1573
confirmait;10;4;59;20;236;40
compterait;10;3;54;20;162;30
chaudes;7;161;38;14;6118;1127
constatees;10;7;55;20;385;70
debut;5;3019;28;10;84532;15095
releves;7;38;35;14;1330;266
affirme;7;48;37;14;1776;336
augmentation;12;394;76;24;29944;4728
temperatures;12;313;61;24;19093;3756
el;2;276;11;4;3036;552
ni;2;1475;14;4;20650;2950
courant;7;997;43;14;42871;6979
equatorial;10;55;60;20;3300;550
chaud;5;501;29;10;14529;2505
pacifique;9;476;53;18;25228;4284
intensifie;10;2;59;20;118;20
revient;7;527;39;14;20553;3689
present;7;788;36;14;28368;5516
train;5;722;29;10;20938;3610
dissiper;8;10;39;16;390;80
laisser;7;603;36;14;21708;4221
froid;5;644;27;10;17388;3220
fonte;5;167;31;10;5177;835
glaces;6;93;33;12;3069;558
etendue;7;226;38;14;8588;1582
ocean;5;998;29;10;28942;4990
arctique;8;166;46;16;7636;1328
kilometres;10;760;59;20;44840;7600
diminution;10;78;65;20;5070;780
centre;6;2340;31;12;72540;14040
national;8;1040;52;16;54080;8320
neige;5;444;29;10;12876;2220
glace;5;338;28;10;9464;1690
groenland;9;134;54;18;7236;1206
records;7;148;33;14;4884;1036
battus;6;111;36;12;3996;666
oceaniques;10;29;60;20;1740;290
elevees;7;120;35;14;4200;840
genere;6;27;31;12;837;162
phenomene;9;477;53;18;25281;4293
blanchissement;14;5;82;28;410;70
coraux;6;96;39;12;3744;576
parties;7;910;35;14;31850;6370
barriere;8;114;37;16;4218;912
corail;6;100;34;12;3400;600
alerte;6;16;30;12;480;96
absolus;7;15;43;14;645;105
pretoria;8;14;41;16;574;112
johannesbourg;13;11;84;26;924;143
thailande;9;80;52;18;4160;720
inde;4;734;22;8;16148;2936
donnees;7;572;40;14;22880;4004
font;4;2476;27;8;66852;9904
cause;5;120;27;10;3240;600
phenomenes;10;212;58;20;12296;2120
meteorologiques;15;62;90;30;5580;930
extremes;8;74;43;16;3182;592
etudies;7;48;37;14;1776;336
dernieres;9;433;43;18;18619;3897
scouts;6;38;36;12;1368;228
rassemblent;11;87;60;22;5220;957
louvain;7;39;48;14;1872;273
neuve;5;72;31;10;2232;360
vas;3;137;17;6;2329;411
rejoindre;9;468;49;18;22932;4212
passer;6;1222;28;12;34216;7332
nature;6;981;35;12;34335;5886
oui;3;583;21;6;12243;1749
rendre;6;1109;28;12;31052;6654
rassemblement;13;98;70;26;6860;1274
appele;6;1865;30;12;55950;11190
bescout;7;1;41;14;41;7
fier;4;91;20;8;1820;364
scout;5;20;31;10;620;100
membres;7;1656;35;14;57960;11592
baden;5;24;27;10;648;120
powell;6;19;39;12;741;114
unites;6;330;37;12;12210;1980
retrouver;9;604;48;18;28992;5436
diverses;8;529;39;16;20631;4232
journee;7;892;43;14;38356;6244
participants;12;214;66;24;14124;2568
fiers;5;29;25;10;725;145
appartenir;10;35;52;20;1820;350
federation;10;303;54;20;16362;3030
scoute;6;4;35;12;140;24
montrer;7;450;39;14;17550;3150
scoutisme;9;22;52;18;1144;198
