word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
moussay;7;1;28;14;28;7
agrandira;9;5;33;18;165;45
saladine;8;1;28;16;28;8
exempter;8;2;27;16;54;16
delie;5;2;19;10;38;10
comprehensive;13;2;47;26;94;26
teuton;6;1;27;12;27;6
ichtus;6;2;32;12;64;12
iesou;5;1;22;10;22;5
theou;5;1;25;10;25;5
