word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,
prix ,5,1650,51,10,84150,8250,,
hiver ,6,1647,55,12,90585,9882,,
demande ,8,1646,49,16,80654,13168,,
contr ,6,1644,47,12,77268,9864,,
femme ,6,1644,43,12,70692,9864,,
commence ,9,1642,59,18,96878,14778,,
cree ,5,1640,39,10,63960,8200,,
eglise ,7,1639,51,14,83589,11473,,
seulement ,10,1635,63,20,103005,16350,,
vont ,5,1633,39,10,63687,8165,,
te ,3,1632,23,6,37536,4896,,
parce ,6,1623,44,12,71412,9738,,
revolution ,11,1603,85,22,136255,17633,,
bon ,4,1598,30,8,47940,6392,,
parents ,8,1592,56,16,89152,12736,,
lumiere ,8,1590,62,16,98580,12720,,
porte ,6,1589,51,12,81039,9534,,
question ,9,1576,68,18,107168,14184,,
aurait ,7,1573,48,14,75504,11011,,
cinq ,5,1571,43,10,67553,7855,,
possede ,8,1566,54,16,84564,12528,,
college ,8,1563,54,16,84402,12504,,
prendre ,8,1559,67,16,104453,12472,,
fonction ,9,1557,68,18,105876,14013,,
rouge ,6,1555,51,12,79305,9330,,
the ,4,1555,32,8,49760,6220,,
mouvement ,10,1548,69,20,106812,15480,,
tes ,4,1546,27,8,41742,6184,,
seule ,6,1543,39,12,60177,9258,,
departement ,12,1543,80,24,123440,18516,,
couleur ,8,1539,58,16,89262,12312,,
ministre ,9,1533,71,18,108843,13797,,
ligne ,6,1530,48,12,73440,9180,,
devant ,7,1516,44,14,66704,10612,,
romain ,7,1513,56,14,84728,10591,,
succes ,7,1507,40,14,60280,10549,,
mieux ,6,1505,49,12,73745,9030,,
militaire ,10,1503,77,20,115731,15030,,
creer ,6,1501,50,12,75050,9006,,
moi ,4,1495,36,8,53820,5980,,
bonne ,6,1488,43,12,63984,8928,,
mis ,4,1487,32,8,47584,5948,,
chine ,6,1487,48,12,71376,8922,,
abord ,6,1486,41,12,60926,8916,,
savoir ,7,1484,54,14,80136,10388,,
mesure ,7,1482,51,14,75582,10374,,
taille ,7,1481,45,14,66645,10367,,
serait ,7,1481,50,14,74050,10367,,
air ,4,1477,35,8,51695,5908,,
situe ,6,1475,43,12,63425,8850,,
ni ,3,1475,29,6,42775,4425,,
