word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,
chaque ,7,4001,82,7,328082,28007,,
annee ,6,3983,66,6,262878,23898,,
europe ,7,3982,107,7,426074,27874,,
environ ,8,3972,124,8,492528,31776,,
non ,4,3971,70,4,277970,15884,,
devient ,8,3965,106,8,420290,31720,,
fut ,4,3909,74,4,289266,15636,,
saint ,6,3907,90,6,351630,23442,,
enfants ,8,3894,106,8,412764,31152,,
existe ,7,3881,109,7,423029,27167,,
etats ,6,3856,92,6,354752,23136,,
celui ,6,3828,77,6,294756,22968,,
selon ,6,3821,92,6,351532,22926,,
cas ,4,3800,50,4,190000,15200,,
ci ,3,3762,39,3,146718,11286,,
pouvoir ,8,3692,143,8,527956,29536,,
famille ,8,3687,85,8,313395,29496,,
forme ,6,3674,84,6,308616,22044,,
lors ,5,3644,91,5,331604,18220,,
fils ,5,3609,73,5,263457,18045,,
va ,3,3583,50,3,179150,10749,,
empire ,7,3559,93,7,330987,24913,,
place ,6,3539,64,6,226496,21234,,
nombre ,7,3534,94,7,332196,24738,,
partir ,7,3507,109,7,382263,24549,,
francaise ,10,3506,103,10,361118,35060,,
hui ,4,3495,65,4,227175,13980,,
aujourd ,8,3487,117,8,407979,27896,,
permet ,7,3471,104,7,360984,24297,,
histoire ,9,3413,130,9,443690,30717,,
toutes ,7,3380,127,7,429260,23660,,
notamment ,10,3369,142,10,478398,33690,,
mer ,4,3366,63,4,212058,13464,,
royaume ,8,3360,125,8,420000,26880,,
jours ,6,3343,110,6,367730,20058,,
grace ,6,3343,61,6,203923,20058,,
habitants ,10,3290,121,10,398090,32900,,
cours ,6,3260,103,6,335780,19560,,
jour ,5,3258,91,5,296478,16290,,
me ,3,3237,45,3,145665,9711,,
homme ,6,3232,81,6,261792,19392,,
armee ,6,3220,69,6,222180,19320,,
toujours ,9,3200,166,9,531200,28800,,
petit ,6,3191,97,6,309527,19146,,
region ,7,3179,95,7,302005,22253,,
unis ,5,3165,90,5,284850,15825,,
celle ,6,3159,64,6,202176,18954,,
discussion ,11,3156,159,11,501804,34716,,
pres ,5,3147,85,5,267495,15735,,
h ,2,3115,35,2,109025,6230,,
sera ,5,3114,70,5,217980,15570,,
politique ,10,3111,151,10,469761,31110,,
km ,3,3101,51,3,158151,9303,,
surtout ,8,3087,161,8,497007,24696,,
ne ,3,3058,46,3,140668,9174,,
epoque ,7,3047,106,7,322982,21329,,
effet ,6,3043,69,6,209967,18258,,
gouvernement ,13,3037,186,13,564882,39481,,
animaux ,8,3033,110,8,333630,24264,,
debut ,6,3019,79,6,238501,18114,,
cependant ,10,3018,109,10,328962,30180,,
ouest ,6,2997,107,6,320679,17982,,
mars ,5,2986,78,5,232908,14930,,
age ,4,2958,40,4,118320,11832,,
louis ,6,2947,103,6,303541,17682,,
mai ,4,2914,50,4,145700,11656,,
toute ,6,2905,108,6,313740,17430,,
afin ,5,2886,57,5,164502,14430,,
population ,11,2880,166,11,478080,31680,,
compte ,7,2868,99,7,283932,20076,,
pere ,5,2868,71,5,203628,14340,,
te ,3,2851,52,3,148252,8553,,
juin ,5,2850,81,5,230850,14250,,
hommes ,7,2849,100,7,284900,19943,,
eux ,4,2837,77,4,218449,11348,,
president ,10,2820,137,10,386340,28200,,
voir ,5,2805,91,5,255255,14025,,
mois ,5,2804,83,5,232732,14020,,
suite ,6,2791,101,6,281891,16746,,
nombreuses ,11,2788,158,11,440504,30668,,
nouveau ,8,2785,126,8,350910,22280,,
corps ,6,2756,98,6,270088,16536,,
parfois ,8,2751,111,8,305361,22008,,
octobre ,8,2732,105,8,286860,21856,,
ile ,4,2730,53,4,144690,10920,,
cest ,5,2727,74,5,201798,13635,,
ceux ,5,2718,80,5,217440,13590,,
millions ,9,2717,130,9,353210,24453,,
groupe ,7,2712,109,7,295608,18984,,
republique ,11,2712,153,11,414936,29832,,
pourquoi ,9,2711,159,9,431049,24399,,
certaines ,10,2701,121,10,326821,27010,,
dit ,4,2699,60,4,161940,10796,,
janvier ,8,2682,106,8,284292,21456,,
reste ,6,2673,94,6,251262,16038,,
septembre ,10,2648,130,10,344240,26480,,
nouvelle ,9,2641,133,9,351253,23769,,
grands ,7,2632,90,7,236880,18424,,
des ,4,2626,55,4,144430,10504,,
trop ,5,2618,96,5,251328,13090,,
ensuite ,8,2614,120,8,313680,20912,,
personne ,9,2608,133,9,346864,23472,,
chez ,5,2602,69,5,179538,13010,,
quatre ,7,2587,109,7,281983,18109,,
origine ,8,2580,104,8,268320,20640,,
la ,3,2559,40,3,102360,7677,,
r ,2,2550,45,2,114750,5100,,
allemagne ,10,2546,97,10,246962,25460,,
empereur ,9,2519,128,9,322432,22671,,
article ,8,2515,95,8,238925,20120,,
appelle ,8,2496,94,8,234624,19968,,
general ,8,2495,89,8,222055,19960,,
eu ,3,2492,53,3,132076,7476,,
b ,2,2477,29,2,71833,4954,,
font ,5,2476,82,5,203032,12380,,
jeu ,4,2464,63,4,155232,9856,,
juillet ,8,2463,116,8,285708,19704,,
avril ,6,2456,89,6,218584,14736,,
deja ,5,2443,47,5,114821,12215,,
ca ,3,2400,31,3,74400,7200,,
suis ,5,2398,95,5,227810,11990,,
capitale ,9,2393,94,9,224942,21537,,
centre ,7,2340,92,7,215280,16380,,
petits ,7,2331,116,7,270396,16317,,
veut ,5,2329,95,5,221255,11645,,
tard ,5,2312,70,5,161840,11560,,
anglais ,8,2305,90,8,207450,18440,,
site ,5,2292,80,5,183360,11460,,
tour ,5,2290,101,5,231290,11450,,
ii ,3,2284,45,3,102780,6852,,
droit ,6,2280,93,6,212040,13680,,
etant ,6,2271,87,6,197577,13626,,
dernier ,8,2256,100,8,225600,18048,,
ensemble ,9,2216,102,9,226032,19944,,
especes ,8,2215,99,8,219285,17720,,
decembre ,9,2210,82,9,181220,19890,,
novembre ,9,2205,121,9,266805,19845,,
seul ,5,2202,84,5,184968,11010,,
fevrier ,8,2200,110,8,242000,17600,,
point ,6,2188,101,6,220988,13128,,
langue ,7,2188,87,7,190356,15316,,
aout ,5,2187,84,5,183708,10935,,
italie ,7,2185,83,7,181355,15295,,
jean ,5,2183,57,5,124431,10915,,
notre ,6,2171,99,6,214929,13026,,
travail ,8,2169,110,8,238590,17352,,
grandes ,8,2166,95,8,205770,17328,,
merci ,6,2152,75,6,161400,12912,,
assez ,6,2145,97,6,208065,12870,,
or ,3,2133,60,3,127980,6399,,
ecole ,6,2132,67,6,142844,12792,,
systeme ,8,2124,133,8,282492,16992,,
serie ,6,2116,83,6,175628,12696,,
long ,5,2098,75,5,157350,10490,,
moyen ,6,2080,99,6,205920,12480,,
parti ,6,2070,91,6,188370,12420,,
mere ,5,2070,68,5,140760,10350,,
ier ,4,2068,59,4,122012,8272,,
periode ,8,2062,99,8,204138,16496,,
durant ,7,2057,105,7,215985,14399,,
agit ,5,2050,64,5,131200,10250,,
differentes ,12,2044,138,12,282072,24528,,
ayant ,6,2034,88,6,178992,12204,,
jeux ,5,2020,87,5,175740,10100,,
bonjour ,8,2017,122,8,246074,16136,,
afrique ,8,2003,104,8,208312,16024,,
chef ,5,1984,49,5,97216,9920,,
autour ,7,1982,123,7,243786,13874,,
differents ,11,1973,133,11,262409,21703,,
generalement ,13,1972,146,13,287912,25636,,
x ,2,1968,51,2,100368,3936,,
page ,5,1967,56,5,110152,9835,,
charles ,8,1966,93,8,182838,15728,,
plupart ,8,1963,131,8,257153,15704,,
doivent ,8,1962,116,8,227592,15696,,
jeune ,6,1960,82,6,160720,11760,,
tete ,5,1958,77,5,150766,9790,,
mondiale ,9,1955,100,9,195500,17595,,
villes ,7,1953,106,7,207018,13671,,
rome ,5,1953,78,5,152334,9765,,
mot ,4,1952,75,4,146400,7808,,
part ,5,1952,82,5,160064,9760,,
seconde ,8,1952,92,8,179584,15616,,
petite ,7,1943,102,7,198186,13601,,
metres ,7,1935,107,7,207045,13545,,
dieu ,5,1929,66,5,127314,9645,,
femmes ,7,1924,88,7,169312,13468,,
face ,5,1923,42,5,80766,9615,,
belgique ,9,1890,105,9,198450,17010,,
cause ,6,1889,76,6,143564,11334,,
musique ,8,1888,132,8,249216,15104,,
situee ,7,1886,106,7,199916,13202,,
jeunes ,7,1876,101,7,189476,13132,,
ur ,3,1868,66,3,123288,5604,,
haut ,5,1865,77,5,143605,9325,,
appele ,7,1865,82,7,152930,13055,,
aide ,5,1865,46,5,85790,9325,,
donne ,6,1856,79,6,146624,11136,,
pierre ,7,1848,98,7,181104,12936,,
av ,3,1848,50,3,92400,5544,,
ancien ,7,1846,73,7,134758,12922,,
moment ,7,1846,107,7,197522,12922,,
equipe ,7,1831,100,7,183100,12817,,
ailleurs ,9,1828,124,9,226672,16452,,
russie ,7,1827,118,7,215586,12789,,
important ,10,1822,153,10,278766,18220,,
soleil ,7,1816,99,7,179784,12712,,
regions ,8,1815,114,8,206910,14520,,
utilise ,8,1811,122,8,220942,14488,,
avaient ,8,1802,99,8,178398,14416,,
deuxieme ,9,1801,113,9,203513,16209,,
connu ,6,1801,94,6,169294,10806,,
jamais ,7,1789,80,7,143120,12523,,
parmi ,6,1784,84,6,149856,10704,,
mon ,4,1783,69,4,123027,7132,,
lorsque ,8,1780,134,8,238520,14240,,
ordre ,6,1778,87,6,154686,10668,,
passe ,6,1778,87,6,154686,10668,,
