word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,
europe ,7,3982,47,21,187154,27874,,
environ ,8,3972,54,24,214488,31776,,
non ,4,3971,28,12,111188,15884,,
devient ,8,3965,48,24,190320,31720,,
fut ,4,3909,28,12,109452,15636,,
saint ,6,3907,36,18,140652,23442,,
enfants ,8,3894,46,24,179124,31152,,
existe ,7,3881,45,21,174645,27167,,
etats ,6,3856,34,18,131104,23136,,
celui ,6,3828,39,18,149292,22968,,
selon ,6,3821,38,18,145198,22926,,
cas ,4,3800,22,12,83600,15200,,
ci ,3,3762,21,9,79002,11286,,
pouvoir ,8,3692,57,24,210444,29536,,
famille ,8,3687,47,24,173289,29496,,
forme ,6,3674,40,18,146960,22044,,
lors ,5,3644,35,15,127540,18220,,
fils ,5,3609,33,15,119097,18045,,
va ,3,3583,18,9,64494,10749,,
empire ,7,3559,45,21,160155,24913,,
place ,6,3539,34,18,120326,21234,,
nombre ,7,3534,44,21,155496,24738,,
partir ,7,3507,47,21,164829,24549,,
francaise ,10,3506,57,30,199842,35060,,
hui ,4,3495,29,12,101355,13980,,
aujourd ,8,3487,49,24,170863,27896,,
permet ,7,3471,44,21,152724,24297,,
histoire ,9,3413,60,27,204780,30717,,
toutes ,7,3380,45,21,152100,23660,,
notamment ,10,3369,58,30,195402,33690,,
mer ,4,3366,27,12,90882,13464,,
royaume ,8,3360,51,24,171360,26880,,
jours ,6,3343,40,18,133720,20058,,
grace ,6,3343,35,18,117005,20058,,
habitants ,10,3290,55,30,180950,32900,,
cours ,6,3260,41,18,133660,19560,,
jour ,5,3258,35,15,114030,16290,,
me ,3,3237,19,9,61503,9711,,
homme ,6,3232,37,18,119584,19392,,
armee ,6,3220,35,18,112700,19320,,
toujours ,9,3200,60,27,192000,28800,,
petit ,6,3191,39,18,124449,19146,,
region ,7,3179,47,21,149413,22253,,
unis ,5,3165,34,15,107610,15825,,
celle ,6,3159,36,18,113724,18954,,
discussion ,11,3156,67,33,211452,34716,,
pres ,5,3147,33,15,103851,15735,,
h ,2,3115,15,6,46725,6230,,
sera ,5,3114,30,15,93420,15570,,
politique ,10,3111,67,30,208437,31110,,
km ,3,3101,19,9,58919,9303,,
surtout ,8,3087,55,24,169785,24696,,
ne ,3,3058,20,9,61160,9174,,
epoque ,7,3047,46,21,140162,21329,,
effet ,6,3043,37,18,112591,18258,,
gouvernement ,13,3037,80,39,242960,39481,,
animaux ,8,3033,48,24,145584,24264,,
debut ,6,3019,35,18,105665,18114,,
cependant ,10,3018,55,30,165990,30180,,
ouest ,6,2997,39,18,116883,17982,,
mars ,5,2986,30,15,89580,14930,,
age ,4,2958,22,12,65076,11832,,
louis ,6,2947,41,18,120827,17682,,
mai ,4,2914,24,12,69936,11656,,
toute ,6,2905,40,18,116200,17430,,
afin ,5,2886,31,15,89466,14430,,
population ,11,2880,70,33,201600,31680,,
compte ,7,2868,43,21,123324,20076,,
pere ,5,2868,33,15,94644,14340,,
te ,3,2851,20,9,57020,8553,,
juin ,5,2850,33,15,94050,14250,,
hommes ,7,2849,42,21,119658,19943,,
eux ,4,2837,29,12,82273,11348,,
president ,10,2820,61,30,172020,28200,,
voir ,5,2805,37,15,103785,14025,,
mois ,5,2804,33,15,92532,14020,,
suite ,6,2791,39,18,108849,16746,,
nombreuses ,11,2788,66,33,184008,30668,,
nouveau ,8,2785,50,24,139250,22280,,
corps ,6,2756,40,18,110240,16536,,
parfois ,8,2751,51,24,140301,22008,,
octobre ,8,2732,51,24,139332,21856,,
ile ,4,2730,27,12,73710,10920,,
cest ,5,2727,30,15,81810,13635,,
ceux ,5,2718,34,15,92412,13590,,
millions ,9,2717,58,27,157586,24453,,
groupe ,7,2712,47,21,127464,18984,,
republique ,11,2712,71,33,192552,29832,,
pourquoi ,9,2711,65,27,176215,24399,,
certaines ,10,2701,59,30,159359,27010,,
dit ,4,2699,26,12,70174,10796,,
janvier ,8,2682,48,24,128736,21456,,
reste ,6,2673,38,18,101574,16038,,
septembre ,10,2648,58,30,153584,26480,,
nouvelle ,9,2641,57,27,150537,23769,,
grands ,7,2632,40,21,105280,18424,,
des ,4,2626,23,12,60398,10504,,
trop ,5,2618,36,15,94248,13090,,
ensuite ,8,2614,50,24,130700,20912,,
personne ,9,2608,57,27,148656,23472,,
chez ,5,2602,33,15,85866,13010,,
quatre ,7,2587,45,21,116415,18109,,
origine ,8,2580,54,24,139320,20640,,
la ,3,2559,18,9,46062,7677,,
r ,2,2550,17,6,43350,5100,,
allemagne ,10,2546,53,30,134938,25460,,
empereur ,9,2519,58,27,146102,22671,,
article ,8,2515,49,24,123235,20120,,
appelle ,8,2496,46,24,114816,19968,,
general ,8,2495,47,24,117265,19960,,
eu ,3,2492,21,9,52332,7476,,
b ,2,2477,13,6,32201,4954,,
font ,5,2476,34,15,84184,12380,,
jeu ,4,2464,25,12,61600,9856,,
juillet ,8,2463,50,24,123150,19704,,
avril ,6,2456,39,18,95784,14736,,
deja ,5,2443,25,15,61075,12215,,
ca ,3,2400,17,9,40800,7200,,
suis ,5,2398,33,15,79134,11990,,
capitale ,9,2393,50,27,119650,21537,,
centre ,7,2340,44,21,102960,16380,,
petits ,7,2331,44,21,102564,16317,,
veut ,5,2329,33,15,76857,11645,,
tard ,5,2312,30,15,69360,11560,,
anglais ,8,2305,44,24,101420,18440,,
site ,5,2292,32,15,73344,11460,,
tour ,5,2290,37,15,84730,11450,,
ii ,3,2284,23,9,52532,6852,,
droit ,6,2280,41,18,93480,13680,,
etant ,6,2271,35,18,79485,13626,,
dernier ,8,2256,52,24,117312,18048,,
ensemble ,9,2216,50,27,110800,19944,,
especes ,8,2215,45,24,99675,17720,,
decembre ,9,2210,50,27,110500,19890,,
novembre ,9,2205,55,27,121275,19845,,
seul ,5,2202,32,15,70464,11010,,
fevrier ,8,2200,54,24,118800,17600,,
point ,6,2188,41,18,89708,13128,,
langue ,7,2188,41,21,89708,15316,,
aout ,5,2187,32,15,69984,10935,,
italie ,7,2185,43,21,93955,15295,,
jean ,5,2183,27,15,58941,10915,,
notre ,6,2171,41,18,89011,13026,,
travail ,8,2169,48,24,104112,17352,,
grandes ,8,2166,45,24,97470,17328,,
merci ,6,2152,39,18,83928,12912,,
assez ,6,2145,35,18,75075,12870,,
or ,3,2133,24,9,51192,6399,,
ecole ,6,2132,37,18,78884,12792,,
systeme ,8,2124,47,24,99828,16992,,
serie ,6,2116,39,18,82524,12696,,
long ,5,2098,33,15,69234,10490,,
moyen ,6,2080,39,18,81120,12480,,
parti ,6,2070,39,18,80730,12420,,
mere ,5,2070,32,15,66240,10350,,
ier ,4,2068,29,12,59972,8272,,
periode ,8,2062,51,24,105162,16496,,
durant ,7,2057,43,21,88451,14399,,
agit ,5,2050,30,15,61500,10250,,
differentes ,12,2044,72,36,147168,24528,,
ayant ,6,2034,34,18,69156,12204,,
jeux ,5,2020,33,15,66660,10100,,
bonjour ,8,2017,52,24,104884,16136,,
afrique ,8,2003,52,24,104156,16024,,
chef ,5,1984,31,15,61504,9920,,
autour ,7,1982,47,21,93154,13874,,
differents ,11,1973,67,33,132191,21703,,
generalement ,13,1972,74,39,145928,25636,,
x ,2,1968,17,6,33456,3936,,
page ,5,1967,28,15,55076,9835,,
charles ,8,1966,47,24,92402,15728,,
plupart ,8,1963,51,24,100113,15704,,
doivent ,8,1962,50,24,98100,15696,,
jeune ,6,1960,36,18,70560,11760,,
tete ,5,1958,31,15,60698,9790,,
mondiale ,9,1955,52,27,101660,17595,,
villes ,7,1953,44,21,85932,13671,,
rome ,5,1953,34,15,66402,9765,,
mot ,4,1952,27,12,52704,7808,,
part ,5,1952,32,15,62464,9760,,
seconde ,8,1952,46,24,89792,15616,,
petite ,7,1943,44,21,85492,13601,,
metres ,7,1935,43,21,83205,13545,,
dieu ,5,1929,32,15,61728,9645,,
femmes ,7,1924,40,21,76960,13468,,
face ,5,1923,28,15,53844,9615,,
belgique ,9,1890,55,27,103950,17010,,
cause ,6,1889,34,18,64226,11334,,
musique ,8,1888,52,24,98176,15104,,
situee ,7,1886,44,21,82984,13202,,
jeunes ,7,1876,41,21,76916,13132,,
ur ,3,1868,24,9,44832,5604,,
haut ,5,1865,31,15,57815,9325,,
appele ,7,1865,40,21,74600,13055,,
aide ,5,1865,28,15,52220,9325,,
donne ,6,1856,37,18,68672,11136,,
pierre ,7,1848,48,21,88704,12936,,
av ,3,1848,18,9,33264,5544,,
ancien ,7,1846,41,21,75686,12922,,
moment ,7,1846,43,21,79378,12922,,
equipe ,7,1831,46,21,84226,12817,,
ailleurs ,9,1828,56,27,102368,16452,,
russie ,7,1827,46,21,84042,12789,,
important ,10,1822,63,30,114786,18220,,
soleil ,7,1816,45,21,81720,12712,,
regions ,8,1815,52,24,94380,14520,,
utilise ,8,1811,52,24,94172,14488,,
avaient ,8,1802,45,24,81090,14416,,
deuxieme ,9,1801,55,27,99055,16209,,
connu ,6,1801,40,18,72040,10806,,
jamais ,7,1789,36,21,64404,12523,,
parmi ,6,1784,38,18,67792,10704,,
mon ,4,1783,27,12,48141,7132,,
lorsque ,8,1780,54,24,96120,14240,,
ordre ,6,1778,41,18,72898,10668,,
passe ,6,1778,33,18,58674,10668,,
etc ,4,1773,25,12,44325,7092,,
comment ,8,1762,48,24,84576,14096,,
espagne ,8,1757,44,24,77308,14056,,
fille ,6,1751,39,18,68289,10506,,
film ,5,1741,33,15,57453,8705,,
bois ,5,1738,32,15,55616,8690,,
possible ,9,1735,54,27,93690,15615,,
particulier ,12,1721,77,36,132517,20652,,
an ,3,1718,18,9,30924,5154,,
ecrit ,6,1706,40,18,68240,10236,,
angleterre ,11,1703,66,33,112398,18733,,
vient ,6,1702,39,18,66378,10212,,
donne ,6,1702,37,18,62974,10212,,
premiers ,9,1700,58,27,98600,15300,,
niveau ,7,1697,43,21,72971,11879,,
articles ,9,1696,54,27,91584,15264,,
but ,4,1691,26,12,43966,6764,,
bas ,4,1688,21,12,35448,6752,,
territoire ,11,1682,76,33,127832,18502,,
mettre ,7,1681,44,21,73964,11767,,
lorsqu ,7,1672,49,21,81928,11704,,
prend ,6,1669,38,18,63422,10014,,
vit ,4,1667,28,12,46676,6668,,
amerique ,9,1666,56,27,93296,14994,,
titre ,6,1663,41,18,68183,9978,,
membres ,8,1656,46,24,76176,13248,,
prix ,5,1650,38,15,62700,8250,,
hiver ,6,1647,41,18,67527,9882,,
demande ,8,1646,41,24,67486,13168,,
contr ,6,1644,41,18,67404,9864,,
femme ,6,1644,35,18,57540,9864,,
commence ,9,1642,52,27,85384,14778,,
cree ,5,1640,32,15,52480,8200,,
eglise ,7,1639,42,21,68838,11473,,
seulement ,10,1635,59,30,96465,16350,,
vont ,5,1633,34,15,55522,8165,,
te ,3,1632,20,9,32640,4896,,
parce ,6,1623,36,18,58428,9738,,
revolution ,11,1603,74,33,118622,17633,,
bon ,4,1598,26,12,41548,6392,,
parents ,8,1592,48,24,76416,12736,,
lumiere ,8,1590,52,24,82680,12720,,
porte ,6,1589,41,18,65149,9534,,
question ,9,1576,59,27,92984,14184,,
aurait ,7,1573,43,21,67639,11011,,
cinq ,5,1571,34,15,53414,7855,,
possede ,8,1566,46,24,72036,12528,,
college ,8,1563,48,24,75024,12504,,
prendre ,8,1559,51,24,79509,12472,,
fonction ,9,1557,59,27,91863,14013,,
rouge ,6,1555,41,18,63755,9330,,
the ,4,1555,26,12,40430,6220,,
mouvement ,10,1548,61,30,94428,15480,,
tes ,4,1546,25,12,38650,6184,,
seule ,6,1543,37,18,57091,9258,,
departement ,12,1543,68,36,104924,18516,,
couleur ,8,1539,54,24,83106,12312,,
ministre ,9,1533,58,27,88914,13797,,
ligne ,6,1530,38,18,58140,9180,,
devant ,7,1516,39,21,59124,10612,,
romain ,7,1513,45,21,68085,10591,,
succes ,7,1507,41,21,61787,10549,,
mieux ,6,1505,41,18,61705,9030,,
militaire ,10,1503,63,30,94689,15030,,
creer ,6,1501,40,18,60040,9006,,
moi ,4,1495,28,12,41860,5980,,
bonne ,6,1488,37,18,55056,8928,,
mis ,4,1487,26,12,38662,5948,,
chine ,6,1487,38,18,56506,8922,,
abord ,6,1486,35,18,52010,8916,,
savoir ,7,1484,45,21,66780,10388,,
mesure ,7,1482,44,21,65208,10374,,
taille ,7,1481,42,21,62202,10367,,
serait ,7,1481,43,21,63683,10367,,
air ,4,1477,27,12,39879,5908,,
situe ,6,1475,39,18,57525,8850,,
ni ,3,1475,22,9,32450,4425,,
nos ,4,1475,27,12,39825,5900,,
bataille ,9,1475,49,27,72275,13275,,
malgre ,7,1474,41,21,60434,10318,,
milieu ,7,1469,46,21,67574,10283,,
met ,4,1457,25,12,36425,5828,,
raison ,7,1455,45,21,65475,10185,,
mal ,4,1455,23,12,33465,5820,,
donner ,7,1447,45,21,65115,10129,,
union ,6,1446,42,18,60732,8676,,
enfant ,7,1441,41,21,59081,10087,,
produit ,8,1440,54,24,77760,11520,,
animal ,7,1440,39,21,56160,10080,,
trouver ,8,1435,56,24,80360,11480,,
sol ,4,1432,27,12,38664,5728,,
theatre ,8,1429,48,24,68592,11432,,
aller ,6,1429,37,18,52873,8574,,
rien ,5,1428,35,15,49980,7140,,
type ,5,1422,33,15,46926,7110,,
maison ,7,1420,42,21,59640,9940,,
livre ,6,1420,41,18,58220,8520,,
ma ,3,1407,17,9,23919,4221,,
energie ,8,1406,50,24,70300,11248,,
vu ,3,1405,22,9,30910,4215,,
soldats ,8,1403,45,24,63135,11224,,
palais ,7,1403,39,21,54717,9821,,
napoleon ,9,1401,55,27,77055,12609,,
frere ,6,1398,41,18,57318,8388,,
commune ,8,1391,49,24,68159,11128,,
importante ,11,1389,68,33,94452,15279,,
espace ,7,1386,38,21,52668,9702,,
celebre ,8,1382,47,24,64954,11056,,
loi ,4,1381,29,12,40049,5524,,
chateau ,8,1380,44,24,60720,11040,,
as ,3,1378,17,9,23426,4134,,
base ,5,1373,26,15,35698,6865,,
meurt ,6,1373,40,18,54920,8238,,
parle ,6,1367,37,18,50579,8202,,
gens ,5,1366,30,15,40980,6830,,
art ,4,1365,26,12,35490,5460,,
plut ,5,1362,34,15,46308,6810,,
marie ,6,1352,37,18,50024,8112,,
films ,6,1348,38,18,51224,8088,,
argent ,7,1343,42,21,56406,9401,,
droite ,7,1342,46,21,61732,9394,,
mes ,4,1342,24,12,32208,5368,,
ados ,5,1341,28,15,37548,6705,,
ici ,4,1341,28,12,37548,5364,,
devenir ,8,1339,50,24,66950,10712,,
chose ,6,1332,37,18,49284,7992,,
besoin ,7,1330,43,21,57190,9310,,
appelee ,8,1327,45,24,59715,10616,,
principalement ,15,1325,90,45,119250,19875,,
romains ,8,1322,50,24,66100,10576,,
longtemps ,10,1318,60,30,79080,13180,,
seront ,7,1318,46,21,60628,9226,,
coree ,6,1315,39,18,51285,7890,,
scientifique ,13,1315,82,39,107830,17095,,
espece ,7,1314,40,21,52560,9198,,
heures ,7,1313,45,21,59085,9191,,
laquelle ,9,1310,54,27,70740,11790,,
troisieme ,10,1310,64,30,83840,13100,,
uvre ,5,1310,35,15,45850,6550,,
rapidement ,11,1307,64,33,83648,14377,,
enfin ,6,1303,39,18,50817,7818,,
force ,6,1302,40,18,52080,7812,,
conseil ,8,1301,50,24,65050,10408,,
proche ,7,1300,46,21,59800,9100,,
duc ,4,1299,25,12,32475,5196,,
nomme ,6,1297,37,18,47989,7782,,
produits ,9,1296,59,27,76464,11664,,
vivent ,7,1294,45,21,58230,9058,,
societe ,8,1293,49,24,63357,10344,,
ton ,4,1287,28,12,36036,5148,,
texte ,6,1286,39,18,50154,7716,,
nationale ,10,1279,58,30,74182,12790,,
presente ,9,1277,55,27,70235,11493,,
plantes ,8,1275,46,24,58650,10200,,
vote ,5,1270,33,15,41910,6350,,
er ,3,1267,22,9,27874,3801,,
idee ,5,1263,30,15,37890,6315,,
allemand ,9,1257,47,27,59079,11313,,
parler ,7,1255,45,21,56475,8785,,
derniere ,9,1253,57,27,71421,11277,,
nouvelles ,10,1253,62,30,77686,12530,,
dessus ,7,1252,40,21,50080,8764,,
nuit ,5,1246,35,15,43610,6230,,
religion ,9,1241,60,27,74460,11169,,
saison ,7,1241,42,21,52122,8687,,
utilise ,8,1240,52,24,64480,9920,,
presque ,8,1240,52,24,64480,9920,,
rapport ,8,1239,53,24,65667,9912,,
public ,7,1238,44,21,54472,8666,,
japon ,6,1238,35,18,43330,7428,,
interieur ,10,1238,68,30,84184,12380,,
peuple ,7,1237,44,21,54428,8659,,
regime ,7,1237,44,21,54428,8659,,
maniere ,8,1233,48,24,59184,9864,,
arrive ,7,1231,46,21,56626,8617,,
reine ,6,1229,40,18,49160,7374,,
super ,6,1228,40,18,49120,7368,,
sert ,5,1227,33,15,40491,6135,,
passer ,7,1222,41,21,50102,8554,,
naissance ,10,1222,54,30,65988,12220,,
pris ,5,1221,35,15,42735,6105,,
plein ,6,1213,39,18,47307,7278,,
politiques ,11,1211,72,33,87192,13321,,
droits ,7,1207,46,21,55522,8449,,
eleves ,7,1205,41,21,49405,8435,,
pape ,5,1197,29,15,34713,5985,,
xixe ,5,1193,37,15,44141,5965,,
simple ,7,1192,43,21,51256,8344,,
tant ,5,1191,30,15,35730,5955,,
asie ,5,1186,29,15,34394,5930,,
latin ,6,1185,37,18,43845,7110,,
surface ,8,1185,48,24,56880,9480,,
autriche ,9,1184,56,27,66304,10656,,
education ,10,1183,59,30,69797,11830,,
europeenne ,11,1181,69,33,81489,12991,,
nouveaux ,9,1180,58,27,68440,10620,,
philippe ,9,1180,58,27,68440,10620,,
regne ,6,1180,38,18,44840,7080,,
sens ,5,1178,30,15,35340,5890,,
noir ,5,1172,37,15,43364,5860,,
points ,7,1171,46,21,53866,8197,,
utiliser ,9,1170,60,27,70200,10530,,
celles ,7,1168,41,21,47888,8176,,
service ,8,1166,50,24,58300,9328,,
memes ,6,1164,34,18,39576,6984,,
uni ,4,1162,29,12,33698,4648,,
iles ,5,1162,32,15,37184,5810,,
situation ,10,1161,63,30,73143,11610,,
construction ,13,1161,84,39,97524,15093,,
petites ,8,1159,49,24,56791,9272,,
projet ,7,1157,45,21,52065,8099,,
gros ,5,1156,34,15,39304,5780,,
signifie ,9,1151,57,27,65607,10359,,
photo ,6,1150,41,18,47150,6900,,
henri ,6,1147,41,18,47027,6882,,
vite ,5,1146,33,15,37818,5730,,
action ,7,1145,43,21,49235,8015,,
displaystyle ,13,1139,76,39,86564,14807,,
gauche ,7,1135,40,21,45400,7945,,
blanc ,6,1132,33,18,37356,6792,,
catholique ,11,1129,68,33,76772,12419,,
russe ,6,1125,39,18,43875,6750,,
musee ,6,1124,36,18,40464,6744,,
facon ,6,1123,36,18,40428,6738,,
americain ,10,1123,58,30,65134,11230,,
club ,5,1123,31,15,34813,5615,,
compose ,8,1117,49,24,54733,8936,,
