word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,,
chose ,6,1332,19,12,25308,7992,,,
besoin ,7,1330,28,14,37240,9310,,,
appelee ,8,1327,34,16,45118,10616,,,
principalement ,15,1325,48,30,63600,19875,,,
romains ,8,1322,34,16,44948,10576,,,
longtemps ,10,1318,35,20,46130,13180,,,
seront ,7,1318,28,14,36904,9226,,,
coree ,6,1315,21,12,27615,7890,,,
scientifique ,13,1315,47,26,61805,17095,,,
espece ,7,1314,22,14,28908,9198,,,
heures ,7,1313,27,14,35451,9191,,,
laquelle ,9,1310,30,18,39300,11790,,,
troisieme ,10,1310,34,20,44540,13100,,,
uvre ,5,1310,20,10,26200,6550,,,
rapidement ,11,1307,42,22,54894,14377,,,
enfin ,6,1303,23,12,29969,7818,,,
force ,6,1302,20,12,26040,7812,,,
conseil ,8,1301,26,16,33826,10408,,,
proche ,7,1300,21,14,27300,9100,,,
duc ,4,1299,13,8,16887,5196,,,
nomme ,6,1297,24,12,31128,7782,,,
produits ,9,1296,35,18,45360,11664,,,
vivent ,7,1294,29,14,37526,9058,,,
societe ,8,1293,28,16,36204,10344,,,
ton ,4,1287,18,8,23166,5148,,,
texte ,6,1286,24,12,30864,7716,,,
nationale ,10,1279,40,20,51160,12790,,,
presente ,9,1277,37,18,47249,11493,,,
plantes ,8,1275,27,16,34425,10200,,,
vote ,5,1270,21,10,26670,6350,,,
er ,3,1267,11,6,13937,3801,,,
idee ,5,1263,20,10,25260,6315,,,
allemand ,9,1257,32,18,40224,11313,,,
parler ,7,1255,22,14,27610,8785,,,
derniere ,9,1253,29,18,36337,11277,,,
nouvelles ,10,1253,39,20,48867,12530,,,
dessus ,7,1252,23,14,28796,8764,,,
nuit ,5,1246,25,10,31150,6230,,,
religion ,9,1241,34,18,42194,11169,,,
saison ,7,1241,27,14,33507,8687,,,
utilise ,8,1240,28,16,34720,9920,,,
presque ,8,1240,29,16,35960,9920,,,
rapport ,8,1239,38,16,47082,9912,,,
public ,7,1238,22,14,27236,8666,,,
japon ,6,1238,25,12,30950,7428,,,
interieur ,10,1238,41,20,50758,12380,,,
peuple ,7,1237,24,14,29688,8659,,,
regime ,7,1237,27,14,33399,8659,,,
maniere ,8,1233,28,16,34524,9864,,,
arrive ,7,1231,27,14,33237,8617,,,
reine ,6,1229,25,12,30725,7374,,,
super ,6,1228,26,12,31928,7368,,,
sert ,5,1227,21,10,25767,6135,,,
passer ,7,1222,23,14,28106,8554,,,
naissance ,10,1222,40,20,48880,12220,,,
pris ,5,1221,18,10,21978,6105,,,
plein ,6,1213,20,12,24260,7278,,,
politiques ,11,1211,40,22,48440,13321,,,
droits ,7,1207,25,14,30175,8449,,,
eleves ,7,1205,26,14,31330,8435,,,
pape ,5,1197,17,10,20349,5985,,,
xixe ,5,1193,24,10,28632,5965,,,
simple ,7,1192,24,14,28608,8344,,,
tant ,5,1191,21,10,25011,5955,,,
asie ,5,1186,19,10,22534,5930,,,
latin ,6,1185,21,12,24885,7110,,,
surface ,8,1185,29,16,34365,9480,,,
autriche ,9,1184,34,18,40256,10656,,,
education ,10,1183,37,20,43771,11830,,,
europeenne ,11,1181,44,22,51964,12991,,,
nouveaux ,9,1180,39,18,46020,10620,,,
philippe ,9,1180,30,18,35400,10620,,,
regne ,6,1180,29,12,34220,7080,,,
sens ,5,1178,21,10,24738,5890,,,
noir ,5,1172,25,10,29300,5860,,,
points ,7,1171,28,14,32788,8197,,,
utiliser ,9,1170,32,18,37440,10530,,,
celles ,7,1168,20,14,23360,8176,,,
service ,8,1166,27,16,31482,9328,,,
memes ,6,1164,20,12,23280,6984,,,
uni ,4,1162,16,8,18592,4648,,,
iles ,5,1162,17,10,19754,5810,,,
situation ,10,1161,39,20,45279,11610,,,
construction ,13,1161,50,26,58050,15093,,,
petites ,8,1159,29,16,33611,9272,,,
projet ,7,1157,24,14,27768,8099,,,
gros ,5,1156,21,10,24276,5780,,,
signifie ,9,1151,28,18,32228,10359,,,
photo ,6,1150,24,12,27600,6900,,,
henri ,6,1147,26,12,29822,6882,,,
vite ,5,1146,19,10,21774,5730,,,
action ,7,1145,27,14,30915,8015,,,
displaystyle ,13,1139,46,26,52394,14807,,,
gauche ,7,1135,25,14,28375,7945,,,
blanc ,6,1132,22,12,24904,6792,,,
catholique ,11,1129,39,22,44031,12419,,,
russe ,6,1125,27,12,30375,6750,,,
musee ,6,1124,24,12,26976,6744,,,
facon ,6,1123,20,12,22460,6738,,,
americain ,10,1123,36,20,40428,11230,,,
club ,5,1123,18,10,20214,5615,,,
compose ,8,1117,28,16,31276,8936,,,
rencontre ,10,1112,41,20,45592,11120,,,
production ,11,1112,41,22,45592,12232,,,
date ,5,1109,15,10,16635,5545,,,
rendre ,7,1109,26,14,28834,7763,,,
conditions ,11,1109,41,22,45469,12199,,,
decide ,7,1109,16,14,17744,7763,,,
retour ,7,1108,32,14,35456,7756,,,
choses ,7,1106,23,14,25438,7742,,,
vivre ,6,1105,24,12,26520,6630,,,
semaine ,8,1101,27,16,29727,8808,,,
coupe ,6,1099,23,12,25277,6594,,,
