word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
lors ;5;3644;36;10;131184;18220
fils ;5;3609;33;10;119097;18045
va ;3;3583;18;6;64494;10749
empire ;7;3559;45;14;160155;24913
place ;6;3539;35;12;123865;21234
nombre ;7;3534;41;14;144894;24738
partir ;7;3507;46;14;161322;24549
francaise ;10;3506;53;20;185818;35060
hui ;4;3495;24;8;83880;13980
aujourd ;8;3487;50;16;174350;27896
permet ;7;3471;46;14;159666;24297
histoire ;9;3413;54;18;184302;30717
toutes ;7;3380;44;14;148720;23660
notamment ;10;3369;52;20;175188;33690
mer ;4;3366;27;8;90882;13464
royaume ;8;3360;48;16;161280;26880
jours ;6;3343;41;12;137063;20058
grace ;6;3343;32;12;106976;20058
habitants ;10;3290;46;20;151340;32900
cours ;6;3260;39;12;127140;19560
jour ;5;3258;36;10;117288;16290
me ;3;3237;18;6;58266;9711
homme ;6;3232;32;12;103424;19392
armee ;6;3220;35;12;112700;19320
toujours ;9;3200;60;18;192000;28800
petit ;6;3191;38;12;121258;19146
region ;7;3179;42;14;133518;22253
unis ;5;3165;30;10;94950;15825
celle ;6;3159;40;12;126360;18954
discussion ;11;3156;60;22;189360;34716
pres ;5;3147;35;10;110145;15735
h ;2;3115;12;4;37380;6230
sera ;5;3114;30;10;93420;15570
politique ;10;3111;66;20;205326;31110
km ;3;3101;19;6;58919;9303
surtout ;8;3087;54;16;166698;24696
ne ;3;3058;19;6;58102;9174
epoque ;7;3047;48;14;146256;21329
effet ;6;3043;40;12;121720;18258
gouvernement ;13;3037;79;26;239923;39481
animaux ;8;3033;43;16;130419;24264
debut ;6;3019;35;12;105665;18114
cependant ;10;3018;54;20;162972;30180
ouest ;6;2997;38;12;113886;17982
mars ;5;2986;28;10;83608;14930
age ;4;2958;19;8;56202;11832
louis ;6;2947;39;12;114933;17682
mai ;4;2914;19;8;55366;11656
toute ;6;2905;39;12;113295;17430
afin ;5;2886;27;10;77922;14430
population ;11;2880;67;22;192960;31680
compte ;7;2868;41;14;117588;20076
pere ;5;2868;36;10;103248;14340
te ;3;2851;20;6;57020;8553
juin ;5;2850;31;10;88350;14250
hommes ;7;2849;37;14;105413;19943
eux ;4;2837;31;8;87947;11348
president ;10;2820;62;20;174840;28200
voir ;5;2805;36;10;100980;14025
mois ;5;2804;28;10;78512;14020
suite ;6;2791;37;12;103267;16746
nombreuses ;11;2788;64;22;178432;30668
nouveau ;8;2785;49;16;136465;22280
corps ;6;2756;39;12;107484;16536
parfois ;8;2751;49;16;134799;22008
octobre ;8;2732;48;16;131136;21856
ile ;4;2730;27;8;73710;10920
cest ;5;2727;29;10;79083;13635
ceux ;5;2718;35;10;95130;13590
millions ;9;2717;54;18;146718;24453
groupe ;7;2712;46;14;124752;18984
republique ;11;2712;74;22;200688;29832
pourquoi ;9;2711;63;18;170793;24399
certaines ;10;2701;56;20;151256;27010
dit ;4;2699;24;8;64776;10796
janvier ;8;2682;49;16;131418;21456
reste ;6;2673;40;12;106920;16038
septembre ;10;2648;60;20;158880;26480
nouvelle ;9;2641;62;18;163742;23769
grands ;7;2632;37;14;97384;18424
des ;4;2626;24;8;63024;10504
trop ;5;2618;36;10;94248;13090
ensuite ;8;2614;48;16;125472;20912
personne ;9;2608;57;18;148656;23472
chez ;5;2602;29;10;75458;13010
quatre ;7;2587;46;14;119002;18109
origine ;8;2580;47;16;121260;20640
la ;3;2559;18;6;46062;7677
r ;2;2550;17;4;43350;5100
allemagne ;10;2546;52;20;132392;25460
empereur ;9;2519;62;18;156178;22671
article ;8;2515;48;16;120720;20120
appelle ;8;2496;52;16;129792;19968
general ;8;2495;47;16;117265;19960
eu ;3;2492;21;6;52332;7476
b ;2;2477;11;4;27247;4954
font ;5;2476;32;10;79232;12380
jeu ;4;2464;27;8;66528;9856
juillet ;8;2463;54;16;133002;19704
avril ;6;2456;40;12;98240;14736
deja ;5;2443;27;10;65961;12215
ca ;3;2400;14;6;33600;7200
suis ;5;2398;30;10;71940;11990
capitale ;9;2393;48;18;114864;21537
centre ;7;2340;44;14;102960;16380
petits ;7;2331;43;14;100233;16317
veut ;5;2329;35;10;81515;11645
tard ;5;2312;30;10;69360;11560
anglais ;8;2305;38;16;87590;18440
site ;5;2292;30;10;68760;11460
tour ;5;2290;36;10;82440;11450
ii ;3;2284;18;6;41112;6852
droit ;6;2280;39;12;88920;13680
etant ;6;2271;33;12;74943;13626
dernier ;8;2256;53;16;119568;18048
ensemble ;9;2216;51;18;113016;19944
especes ;8;2215;47;16;104105;17720
decembre ;9;2210;51;18;112710;19890
novembre ;9;2205;55;18;121275;19845
seul ;5;2202;34;10;74868;11010
fevrier ;8;2200;58;16;127600;17600
point ;6;2188;37;12;80956;13128
langue ;7;2188;39;14;85332;15316
aout ;5;2187;29;10;63423;10935
italie ;7;2185;40;14;87400;15295
jean ;5;2183;27;10;58941;10915
notre ;6;2171;40;12;86840;13026
travail ;8;2169;48;16;104112;17352
grandes ;8;2166;43;16;93138;17328
merci ;6;2152;36;12;77472;12912
assez ;6;2145;33;12;70785;12870
or ;3;2133;23;6;49059;6399
ecole ;6;2132;38;12;81016;12792
systeme ;8;2124;46;16;97704;16992
serie ;6;2116;39;12;82524;12696
long ;5;2098;30;10;62940;10490
moyen ;6;2080;35;12;72800;12480
parti ;6;2070;37;12;76590;12420
mere ;5;2070;33;10;68310;10350
ier ;4;2068;28;8;57904;8272
periode ;8;2062;52;16;107224;16496
durant ;7;2057;42;14;86394;14399
agit ;5;2050;24;10;49200;10250
differentes ;12;2044;75;24;153300;24528
ayant ;6;2034;29;12;58986;12204
jeux ;5;2020;37;10;74740;10100
bonjour ;8;2017;50;16;100850;16136
afrique ;8;2003;52;16;104156;16024
chef ;5;1984;29;10;57536;9920
autour ;7;1982;45;14;89190;13874
differents ;11;1973;69;22;136137;21703
generalement ;13;1972;74;26;145928;25636
x ;2;1968;18;4;35424;3936
page ;5;1967;26;10;51142;9835
charles ;8;1966;46;16;90436;15728
plupart ;8;1963;54;16;106002;15704
doivent ;8;1962;49;16;96138;15696
jeune ;6;1960;38;12;74480;11760
tete ;5;1958;32;10;62656;9790
mondiale ;9;1955;49;18;95795;17595
villes ;7;1953;48;14;93744;13671
