word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
lors ;5;3644;26;10;94744;18220
fils ;5;3609;27;10;97443;18045
va ;3;3583;15;6;53745;10749
empire ;7;3559;32;14;113888;24913
place ;6;3539;29;12;102631;21234
nombre ;7;3534;38;14;134292;24738
partir ;7;3507;33;14;115731;24549
francaise ;10;3506;51;20;178806;35060
hui ;4;3495;24;8;83880;13980
aujourd ;8;3487;47;16;163889;27896
permet ;7;3471;32;14;111072;24297
histoire ;9;3413;48;18;163824;30717
toutes ;7;3380;39;14;131820;23660
notamment ;10;3369;59;20;198771;33690
mer ;4;3366;17;8;57222;13464
royaume ;8;3360;46;16;154560;26880
jours ;6;3343;35;12;117005;20058
grace ;6;3343;28;12;93604;20058
habitants ;10;3290;57;20;187530;32900
cours ;6;3260;32;12;104320;19560
jour ;5;3258;30;10;97740;16290
me ;3;3237;13;6;42081;9711
homme ;6;3232;33;12;106656;19392
armee ;6;3220;26;12;83720;19320
toujours ;9;3200;56;18;179200;28800
petit ;6;3191;30;12;95730;19146
region ;7;3179;39;14;123981;22253
unis ;5;3165;30;10;94950;15825
celle ;6;3159;30;12;94770;18954
discussion ;11;3156;62;22;195672;34716
pres ;5;3147;21;10;66087;15735
h ;2;3115;10;4;31150;6230
sera ;5;3114;21;10;65394;15570
politique ;10;3111;60;20;186660;31110
km ;3;3101;19;6;58919;9303
surtout ;8;3087;47;16;145089;24696
ne ;3;3058;15;6;45870;9174
epoque ;7;3047;39;14;118833;21329
effet ;6;3043;29;12;88247;18258
gouvernement ;13;3037;76;26;230812;39481
animaux ;8;3033;51;16;154683;24264
debut ;6;3019;31;12;93589;18114
cependant ;10;3018;52;20;156936;30180
ouest ;6;2997;33;12;98901;17982
mars ;5;2986;23;10;68678;14930
age ;4;2958;19;8;56202;11832
louis ;6;2947;36;12;106092;17682
mai ;4;2914;20;8;58280;11656
toute ;6;2905;34;12;98770;17430
afin ;5;2886;28;10;80808;14430
population ;11;2880;67;22;192960;31680
compte ;7;2868;36;14;103248;20076
pere ;5;2868;20;10;57360;14340
te ;3;2851;13;6;37063;8553
juin ;5;2850;33;10;94050;14250
hommes ;7;2849;38;14;108262;19943
eux ;4;2837;25;8;70925;11348
president ;10;2820;49;20;138180;28200
voir ;5;2805;27;10;75735;14025
mois ;5;2804;27;10;75708;14020
suite ;6;2791;32;12;89312;16746
nombreuses ;11;2788;60;22;167280;30668
nouveau ;8;2785;50;16;139250;22280
corps ;6;2756;29;12;79924;16536
parfois ;8;2751;41;16;112791;22008
octobre ;8;2732;42;16;114744;21856
ile ;4;2730;20;8;54600;10920
cest ;5;2727;23;10;62721;13635
ceux ;5;2718;30;10;81540;13590
millions ;9;2717;55;18;149435;24453
groupe ;7;2712;38;14;103056;18984
republique ;11;2712;63;22;170856;29832
pourquoi ;9;2711;56;18;151816;24399
certaines ;10;2701;50;20;135050;27010
dit ;4;2699;19;8;51281;10796
janvier ;8;2682;45;16;120690;21456
reste ;6;2673;26;12;69498;16038
septembre ;1
