word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,
europe ,7,3982,49,21,195118,27874,,
environ ,8,3972,60,24,238320,31776,,
non ,4,3971,30,12,119130,15884,,
devient ,8,3965,58,24,229970,31720,,
fut ,4,3909,26,12,101634,15636,,
saint ,6,3907,38,18,148466,23442,,
enfants ,8,3894,50,24,194700,31152,,
existe ,7,3881,47,21,182407,27167,,
etats ,6,3856,36,18,138816,23136,,
celui ,6,3828,41,18,156948,22968,,
selon ,6,3821,40,18,152840,22926,,
cas ,4,3800,22,12,83600,15200,,
ci ,3,3762,21,9,79002,11286,,
pouvoir ,8,3692,55,24,203060,29536,,
famille ,8,3687,49,24,180663,29496,,
forme ,6,3674,40,18,146960,22044,,
lors ,5,3644,33,15,120252,18220,,
fils ,5,3609,31,15,111879,18045,,
va ,3,3583,20,9,71660,10749,,
empire ,7,3559,51,21,181509,24913,,
place ,6,3539,36,18,127404,21234,,
nombre ,7,3534,48,21,169632,24738,,
partir ,7,3507,47,21,164829,24549,,
francaise ,10,3506,59,30,206854,35060,,
hui ,4,3495,29,12,101355,13980,,
aujourd ,8,3487,49,24,170863,27896,,
permet ,7,3471,50,21,173550,24297,,
histoire ,9,3413,60,27,204780,30717,,
toutes ,7,3380,45,21,152100,23660,,
notamment ,10,3369,66,30,222354,33690,,
mer ,4,3366,31,12,104346,13464,,
royaume ,8,3360,53,24,178080,26880,,
jours ,6,3343,38,18,127034,20058,,
grace ,6,3343,37,18,123691,20058,,
habitants ,10,3290,57,30,187530,32900,,
cours ,6,3260,39,18,127140,19560,,
jour ,5,3258,33,15,107514,16290,,
me ,3,3237,23,9,74451,9711,,
homme ,6,3232,41,18,132512,19392,,
armee ,6,3220,41,18,132020,19320,,
toujours ,9,3200,56,27,179200,28800,,
petit ,6,3191,41,18,130831,19146,,
region ,7,3179,49,21,155771,22253,,
unis ,5,3165,36,15,113940,15825,,
celle ,6,3159,40,18,126360,18954,,
discussion ,11,3156,69,33,217764,34716,,
