word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,
etats,5,3856,18,5,69408,19280,,
celui,5,3828,20,5,76560,19140,,
selon,5,3821,18,5,68778,19105,,
cas,3,3800,19,3,72200,11400,,
ci,2,3762,12,2,45144,7524,,
pouvoir,7,3692,12,7,44304,25844,,
famille,7,3687,21,7,77427,25809,,
forme,5,3674,17,5,62458,18370,,
lors,4,3644,10,4,36440,14576,,
fils,4,3609,16,4,57744,14436,,
va,2,3583,24,2,85992,7166,,
empire,6,3559,27,6,96093,21354,,
place,5,3539,12,5,42468,17695,,
nombre,6,3534,30,6,106020,21204,,
partir,6,3507,13,6,45591,21042,,
francaise,9,3506,32,9,112192,31554,,
hui,3,3495,29,3,101355,10485,,
aujourd,7,3487,30,7,104610,24409,,
permet,6,3471,12,6,41652,20826,,
histoire,8,3413,34,8,116042,27304,,
toutes,6,3380,25,6,84500,20280,,
notamment,9,3369,34,9,114546,30321,,
mer,3,3366,16,3,53856,10098,,
royaume,7,3360,46,7,154560,23520,,
jours,5,3343,21,5,70203,16715,,
grace,5,3343,34,5,113662,16715,,
habitants,9,3290,38,9,125020,29610,,
cours,5,3260,14,5,45640,16300,,
jour,4,3258,20,4,65160,13032,,
me,2,3237,12,2,38844,6474,,
homme,5,3232,29,5,93728,16160,,
armee,5,3220,39,5,125580,16100,,
toujours,8,3200,28,8,89600,25600,,
petit,5,3191,17,5,54247,15955,,
region,6,3179,39,6,123981,19074,,
unis,4,3165,11,4,34815,12660,,
celle,5,3159,18,5,56862,15795,,
discussion,10,3156,15,10,47340,31560,,
pres,4,3147,10,4,31470,12588,,
h,1,3115,23,1,71645,3115,,
sera,4,3114,13,4,40482,12456,,
politique,9,3111,16,9,49776,27999,,
km,2,3101,37,2,114737,6202,,
surtout,7,3087,22,7,67914,21609,,
ne,2,3058,18,2,55044,6116,,
epoque,6,3047,35,6,106645,18282,,
effet,5,3043,25,5,76075,15215,,
gouvernement,12,3037,34,12,103258,36444,,
animaux,7,3033,26,7,78858,21231,,
debut,5,3019,26,5,78494,15095,,
cependant,9,3018,25,9,75450,27162,,
ouest,5,2997,26,5,77922,14985,,
mars,4,2986,19,4,56734,11944,,
age,3,2958,23,3,68034,8874,,
louis,5,2947,17,5,50099,14735,,
mai,3,2914,14,3,40796,8742,,
toute,5,2905,23,5,66815,14525,,
afin,4,2886,30,4,86580,11544,,
population,10,2880,20,10,57600,28800,,
compte,6,2868,15,6,43020,17208,,
pere,4,2868,24,4,68832,11472,,
te,2,2851,15,2,42765,5702,,
juin,4,2850,22,4,62700,11400,,
hommes,6,2849,32,6,91168,17094,,
eux,3,2837,15,3,42555,8511,,
president,9,2820,20,9,56400,25380,,
voir,4,2805,27,4,75735,11220,,
mois,4,2804,19,4,53276,11216,,
suite,5,2791,18,5,50238,13955,,
nombreuses,10,2788,36,10,100368,27880,,
nouveau,7,2785,32,7,89120,19495,,
corps,5,2756,18,5,49608,13780,,
parfois,7,2751,17,7,46767,19257,,
octobre,7,2732,31,7,84692,19124,,
ile,3,2730,25,3,68250,8190,,
cest,4,2727,17,4,46359,10908,,
ceux,4,2718,20,4,54360,10872,,
millions,8,2717,22,8,59774,21736,,
groupe,6,2712,24,6,65088,16272,,
republique,10,2712,41,10,111192,27120,,
pourquoi,8,2711,17,8,46087,21688,,
certaines,9,2701,21,9,56721,24309,,
dit,3,2699,6,3,16194,8097,,
janvier,7,2682,25,7,67050,18774,,
reste,5,2673,27,5,72171,13365,,
septembre,9,2648,24,9,63552,23832,,
nouvelle,8,2641,32,8,84512,21128,,
grands,6,2632,25,6,65800,15792,,
des,3,2626,5,3,13130,7878,,
trop,4,2618,24,4,62832,10472,,
ensuite,7,2614,22,7,57508,18298,,
personne,8,2608,13,8,33904,20864,,
chez,4,2602,17,4,44234,10408,,
quatre,6,2587,14,6,36218,15522,,
origine,7,2580,24,7,61920,18060,,
la,2,2559,3,2,7677,5118,,
r,1,2550,20,1,51000,2550,,
allemagne,9,2546,29,9,73834,22914,,
empereur,8,2519,30,8,75570,20152,,
article,7,2515,22,7,55330,17605,,
appelle,7,2496,28,7,69888,17472,,
general,7,2495,32,7,79840,17465,,
eu,2,2492,13,2,32396,4984,,
b,1,2477,18,1,44586,2477,,
font,4,2476,18,4,44568,9904,,
jeu,3,2464,19,3,46816,7392,,
juillet,7,2463,29,7,71427,17241,,
avril,5,2456,26,5,63856,12280,,
deja,4,2443,28,4,68404,9772,,
ca,2,2400,13,2,31200,4800,,
suis,4,2398,18,4,43164,9592,,
capitale,8,2393,27,8,64611,19144,,
centre,6,2340,18,6,42120,14040,,
petits,6,2331,20,6,46620,13986,,
veut,4,2329,32,4,74528,9316,,
tard,4,2312,26,4,60112,9248,,
anglais,7,2305,23,7,53015,16135,,
site,4,2292,15,4,34380,9168,,
tour,4,2290,22,4,50380,9160,,
ii,2,2284,38,2,86792,4568,,
droit,5,2280,13,5,29640,11400,,
etant,5,2271,20,5,45420,11355,,
dernier,7,2256,12,7,27072,15792,,
ensemble,8,2216,22,8,48752,17728,,
especes,7,2215,29,7,64235,15505,,
decembre,8,2210,32,8,70720,17680,,
novembre,8,2205,35,8,77175,17640,,
seul,4,2202,16,4,35232,8808,,
fevrier,7,2200,46,7,101200,15400,,
point,5,2188,14,5,30632,10940,,
langue,6,2188,12,6,26256,13128,,
aout,4,2187,37,4,80919,8748,,
italie,6,2185,25,6,54625,13110,,
jean,4,2183,22,4,48026,8732,,
notre,5,2171,31,5,67301,10855,,
travail,7,2169,25,7,54225,15183,,
grandes,7,2166,25,7,54150,15162,,
merci,5,2152,19,5,40888,10760,,
assez,5,2145,25,5,53625,10725,,
or,2,2133,15,2,31995,4266,,
ecole,5,2132,25,5,53300,10660,,
systeme,7,2124,26,7,55224,14868,,
serie,5,2116,22,5,46552,10580,,
long,4,2098,10,4,20980,8392,,
moyen,5,2080,25,5,52000,10400,,
parti,5,2070,8,5,16560,10350,,
